"TOR201903280",42,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"TOR201903280",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",2

"TOR201903290",31,"Mound Visit"2019TOR.EVA.regular.comment.csv",3

"TOR201903290",42,"Mound Visit"2019TOR.EVA.regular.comment.csv",4

"TOR201903290",50,"Injury Delay"2019TOR.EVA.regular.comment.csv",5

"TOR201903300",19,"Mound Visit"2019TOR.EVA.regular.comment.csv",6

"TOR201903300",29,"Mound Visit"2019TOR.EVA.regular.comment.csv",7

"TOR201903300",43,"Injury Delay $Cabrera hit on hand and left game; X-rays negative"2019TOR.EVA.regular.comment.csv",8

"TOR201903300",43,"Mound Visit"2019TOR.EVA.regular.comment.csv",9

"TOR201903300",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",10

"TOR201903300",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",11

"TOR201903300",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",12

"TOR201903310",40,"Mound Visit"2019TOR.EVA.regular.comment.csv",13

"TOR201903310",44,"Mound Visit"2019TOR.EVA.regular.comment.csv",14

"TOR201903310",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",15

"TOR201903310",47,"Mound Visit"2019TOR.EVA.regular.comment.csv",16

"TOR201903310",48,"Mound Visit"2019TOR.EVA.regular.comment.csv",17

"TOR201903310",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",18

"TOR201903310",60,"Mound Visit"2019TOR.EVA.regular.comment.csv",19

"TOR201903310",78,"Mound Visit"2019TOR.EVA.regular.comment.csv",20

"TOR201903310",84,"Mound Visit"2019TOR.EVA.regular.comment.csv",21

"TOR201903310",88,"Mound Visit"2019TOR.EVA.regular.comment.csv",22

"TOR201904010",6,"Mound Visit"2019TOR.EVA.regular.comment.csv",23

"TOR201904010",30,"$Orioles challenged call that Martin was out at 2nd; call was upheld - out advancing"2019TOR.EVA.regular.comment.csv",24

"TOR201904010",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",25

"TOR201904010",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",26

"TOR201904010",72,"Injury Delay"2019TOR.EVA.regular.comment.csv",27

"TOR201904010",75,"Mound Visit"2019TOR.EVA.regular.comment.csv",28

"TOR201904020",5,"Injury Delay"2019TOR.EVA.regular.comment.csv",29

"TOR201904020",40,"Mound Visit"2019TOR.EVA.regular.comment.csv",30

"TOR201904020",43,"Mound Visit"2019TOR.EVA.regular.comment.csv",31

"TOR201904020",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",32

"TOR201904020",63,"Mound Visit"2019TOR.EVA.regular.comment.csv",33

"TOR201904020",66,"$Fan interference"2019TOR.EVA.regular.comment.csv",34

"TOR201904030",10,"On-field Delay"2019TOR.EVA.regular.comment.csv",35

"TOR201904030",36,"Mound Visit"2019TOR.EVA.regular.comment.csv",36

"TOR201904030",59,"Mound Visit"2019TOR.EVA.regular.comment.csv",37

"TOR201904030",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",38

"TOR201904120",20,"Mound Visit"2019TOR.EVA.regular.comment.csv",39

"TOR201904120",22,"Mound Visit"2019TOR.EVA.regular.comment.csv",40

"TOR201904120",28,"Mound Visit"2019TOR.EVA.regular.comment.csv",41

"TOR201904120",40,"$Rays challenged call that Urena was safe at 2nd; call was overturned - single and out stretching"2019TOR.EVA.regular.comment.csv",42

"TOR201904120",53,"Injury Delay Mound Visit"2019TOR.EVA.regular.comment.csv",43

"TOR201904120",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",44

"TOR201904120",57,"$Rays challenged call that Meadows was out at first; call was upheld - out to complete double play"2019TOR.EVA.regular.comment.csv",45

"TOR201904120",58,"Mound Visit"2019TOR.EVA.regular.comment.csv",46

"TOR201904120",64,"Mound Visit"2019TOR.EVA.regular.comment.csv",47

"TOR201904120",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",48

"TOR201904120",75,"Mound Visit"2019TOR.EVA.regular.comment.csv",49

"TOR201904120",85,"Mound Visit Injury Delay"2019TOR.EVA.regular.comment.csv",50

"TOR201904130",28,"$Blue Jays challenged call that Hernandez was out at 1st to complete double play; call was overturned - force out, no DP"2019TOR.EVA.regular.comment.csv",51

"TOR201904130",46,"$Rays challenged call that Garcias was out at home, claiming plate was illegally blocked; call was upheld - out at home - DP"2019TOR.EVA.regular.comment.csv",52

"TOR201904130",49,"Mound Visit"2019TOR.EVA.regular.comment.csv",53

"TOR201904130",51,"Mound Visit"2019TOR.EVA.regular.comment.csv",54

"TOR201904130",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",55

"TOR201904130",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",56

"TOR201904130",61,"Mound Visit"2019TOR.EVA.regular.comment.csv",57

"TOR201904130",67,"Mound Visit"2019TOR.EVA.regular.comment.csv",58

"TOR201904140",7,"$Rays challenged call that Smoak was hit by pitch; call was upheld - hit by pitch"2019TOR.EVA.regular.comment.csv",59

"TOR201904140",22,"Mound Visit"2019TOR.EVA.regular.comment.csv",60

"TOR201904140",30,"Mound Visit"2019TOR.EVA.regular.comment.csv",61

"TOR201904140",36,"Mound Visit"2019TOR.EVA.regular.comment.csv",62

"TOR201904140",38,"Mound Visit"2019TOR.EVA.regular.comment.csv",63

"TOR201904140",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",64

"TOR201904140",47,"Mound Visit"2019TOR.EVA.regular.comment.csv",65

"TOR201904140",53,"Mound Visit"2019TOR.EVA.regular.comment.csv",66

"TOR201904140",61,"Mound Visit"2019TOR.EVA.regular.comment.csv",67

"TOR201904140",64,"$Rays challenged call that Garcia was safe at 3rd; call was upheld - safe advancing on fly ball"2019TOR.EVA.regular.comment.csv",68

"TOR201904140",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",69

"TOR201904140",71,"Mound Visit"2019TOR.EVA.regular.comment.csv",70

"TOR201904230",14,"Mound Visit"2019TOR.EVA.regular.comment.csv",71

"TOR201904230",44,"Mound Visit"2019TOR.EVA.regular.comment.csv",72

"TOR201904230",49,"Mound Visit"2019TOR.EVA.regular.comment.csv",73

"TOR201904230",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",74

"TOR201904230",60,"Mound Visit"2019TOR.EVA.regular.comment.csv",75

"TOR201904230",65,"Mound Visit"2019TOR.EVA.regular.comment.csv",76

"TOR201904230",66,"Mound Visit"2019TOR.EVA.regular.comment.csv",77

"TOR201904230",72,"Mound Visit"2019TOR.EVA.regular.comment.csv",78

"TOR201904240",37,"Mound Visit"2019TOR.EVA.regular.comment.csv",79

"TOR201904240",40,"Mound Visit"2019TOR.EVA.regular.comment.csv",80

"TOR201904240",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",81

"TOR201904240",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",82

"TOR201904260",32,"Mound Visit"2019TOR.EVA.regular.comment.csv",83

"TOR201904260",50,"Mound Visit"2019TOR.EVA.regular.comment.csv",84

"TOR201904260",54,"Mound Visit"2019TOR.EVA.regular.comment.csv",85

"TOR201904260",56,"Mound Visit"2019TOR.EVA.regular.comment.csv",86

"TOR201904260",57,"Mound Visit"2019TOR.EVA.regular.comment.csv",87

"TOR201904260",59,"Mound Visit"2019TOR.EVA.regular.comment.csv",88

"TOR201904270",8,"$Blue Jays challenged call that slide interference had occurred and result was double play; call was overturned - no interference"2019TOR.EVA.regular.comment.csv",89

"TOR201904270",20,"Mound Visit"2019TOR.EVA.regular.comment.csv",90

"TOR201904270",37,"$fan interference"2019TOR.EVA.regular.comment.csv",91

"TOR201904270",38,"Mound Visit"2019TOR.EVA.regular.comment.csv",92

"TOR201904270",39,"$Blue Jays challenged call that there was no slide interference; call was upheld - no interference"2019TOR.EVA.regular.comment.csv",93

"TOR201904270",40,"Mound Visit"2019TOR.EVA.regular.comment.csv",94

"TOR201904270",45,"Mound Visit"2019TOR.EVA.regular.comment.csv",95

"TOR201904270",46,"Mound Visit"2019TOR.EVA.regular.comment.csv",96

"TOR201904280",5,"Mound Visit"2019TOR.EVA.regular.comment.csv",97

"TOR201904280",59,"Mound Visit"2019TOR.EVA.regular.comment.csv",98

