"SFN200904070",34,"Debut game for Joe Martinez","FILENAME_TX","LINE_NUMBER_CT"
"SFN200904080",37,"$first pitcher to homer off Randy Johnson","2009SFN.EVN.regular.comment.csv",2
"SFN200904090",72,"$Cameron's line drive hit Martinez on side of head and he reached second as ball bounced away.  Martinez left with cut on head","2009SFN.EVN.regular.comment.csv",3
"SFN200904170",24,"Diamondbacks shortstop Stephen Drew left the game due to an injured knee","2009SFN.EVN.regular.comment.csv",4
"SFN200904210",28,"$on Kouzmanoff's hit, Gonzalez held up to see if the ball would be caught, while Headley ran on the hit because he knew it would fall in; Headley caught up to Gonzalez and they ran towards home in close tandem; Gonzalez avoided the tag by catcher Bengie Molina and later ran back to tag the plate; Headley tried to jump over Molina but was tagged in mid-flight; HP umpire Jeff Nelson pointed at Headley and indicated 'out' and pointed at Gonzalez and indicated 'safe'","2009SFN.EVN.regular.comment.csv",5
"SFN200904270",5,"Originally ruled double, changed on appeal on 5-07","2009SFN.EVN.regular.comment.csv",6
"SFN200904290",28,"Giants third baseman Pablo Sandoval left the game due to an injured groin","2009SFN.EVN.regular.comment.csv",7
"SFN200905120",3,"$30-game hitting streak for Zimmerman","2009SFN.EVN.regular.comment.csv",8
"SFN200905120",62,"$Sandoval tripped and landed face-first trying for a triple","2009SFN.EVN.regular.comment.csv",9
"SFN200905140",32,"fan interference","2009SFN.EVN.regular.comment.csv",10
"SFN200905150",71,"ej,bochb002,M,eddid901,Balls and strikes Giants Manager Bruce Bochy ejected by HP umpire Doug Eddings","2009SFN.EVN.regular.comment.csv",11
"SFN200905150",74,"ej,manuj101,M,eddid901,Balls and strikes Mets Manager Jerry Manuel ejected by HP umpire Doug Eddings","2009SFN.EVN.regular.comment.csv",12
"SFN200905170",23,"Mets second baseman Alex Cora left the game due to an injured hand/wrist","2009SFN.EVN.regular.comment.csv",13
"SFN200906150",35,"Angels center fielder Torii Hunter left the game due to an injured chest","2009SFN.EVN.regular.comment.csv",14
"SFN200906160",1,"Debut game for Sean O'Sullivan","2009SFN.EVN.regular.comment.csv",15
"SFN200906160",25,"Debut game for Matt Downs","2009SFN.EVN.regular.comment.csv",16
"SFN200906200",77,"fan interference","2009SFN.EVN.regular.comment.csv",17
"SFN200907030",24,"replay,2,ishit001,SFN,marsr901,SFO03,O,Y,I,,H $Travis Ishikawa's fly ball to right center hit at the top of the wall and was ruled in play for a double; Giants manager Bruce Bochy talked to crew chief and plate umpire Randy Marsh about the play; the umpires huddled and then watched the replay; the play was reversed to a home run for Ishikawa since the ball hit the protective railing on top of the wall","2009SFN.EVN.regular.comment.csv",18
"SFN200907050",28,"Giants pitcher Randy Johnson left the game due to an injured neck/shoulder","2009SFN.EVN.regular.comment.csv",19
"SFN200907070",56,"fan interference","2009SFN.EVN.regular.comment.csv",20
"SFN200907100",6,"Giants right fielder Randy Winn left the game due to an injured foot/ankle","2009SFN.EVN.regular.comment.csv",21
"SFN200907300",20,"Giants left fielder Andres Torres left the game due to an injured leg","2009SFN.EVN.regular.comment.csv",22
"SFN200908080",47,"$Adam Rowand got tangled with Bronson Arroyo and was called for interference","2009SFN.EVN.regular.comment.csv",23
"SFN200908090",54,"ej,gonza002,P,reybd901,Balls and strikes Reds shortstop Alex Gonzalez ejected by HP umpire D. J. Reyburn","2009SFN.EVN.regular.comment.csv",24
"SFN200908100",23,"$the Giants argued the call on Sanchez","2009SFN.EVN.regular.comment.csv",25
"SFN200908100",42,"ej,bochb002,M,hohnb901,Call at 1B Giants Manager Bruce Bochy, already upset about the call on Sanchez in the third inning, argued the call on the double play after Dodgers first baseman Mark Loretta fumbled the throw; Bochy was ejected by 1B umpire Bill Hohn","2009SFN.EVN.regular.comment.csv",26
"SFN200908120",8,"ej,bochb002,M,darlg901,Call at 1B $Giants catcher Bengie Molina tried to pick off Manny Ramirez at 1B; the throw was there in plenty of time and Ramirez fell well short of the bag; however, Travis Ishikawa never tagged Ramirez and he was called safe by 1B umpire Gary Darling; Giants Manager Bruce Bochy ejected by 1B umpire Gary Darling for arguing the call","2009SFN.EVN.regular.comment.csv",27
"SFN200908120",36,"$the throw home was very high; catcher Russell Martin jumped trying to catch the ball and got tangled with the runner as he landed; Martin landed on his tailbone and left shoulder; the first pitch to Sandoval was inside; he thought he was hit and started yelling at pitcher James McDonald, but umpire ruled that ball hit knob of bat; Russell Martin started going at Sandoval and the benches cleared","2009SFN.EVN.regular.comment.csv",28
"SFN200908120",39,"Dodger 2B Juan Castro fielded the grounder, took the ball out of the glove to throw to 1B but then tried to tag Pablo Sandoval, who did the splits trying to avoid the tag; 2B umpire ruled Sandoval out but he was overruled by 1B umpire Gary Darling because there was no ball in the glove; Dodgers manager Joe Torre came out to ask about the play","2009SFN.EVN.regular.comment.csv",29
"SFN200908120",65,"ej,wotur001,C,darlg901,Call at 1B Giants Bench Coach (and acting manager) Ron Wotus ejected by 1B umpire Gary Darling for arguing the call at 1B","2009SFN.EVN.regular.comment.csv",30
"SFN200909080",1,"Debut game for Madison Bumgarner","2009SFN.EVN.regular.comment.csv",31
"SFN200909110",61,"Debut game for Buster Posey","2009SFN.EVN.regular.comment.csv",32
"SFN200909240",36,"Giants catcher Bengie Molina left the game due to an injured hand/wrist","2009SFN.EVN.regular.comment.csv",33
"SFN200909260",36,"originally FLE2 on second foul ball, removed next day","2009SFN.EVN.regular.comment.csv",34
"SFN200909290",35,"replay,4,rober002,ARI,demud901,SFO03,O,Y,I,,H $Ryan Roberts hit a fly ball to LF that Andres Torres jumped for and caught over the top of the wall; the ball flew up out of the glove as Torres started back to the ground, hit the top of the wall and bounced back onto the field, where Torres, while lying on the ground, caught; since the ball did not go over the fence, it was still in play; since it hit the fence it was not a catch; the play was ruled a homer at first but crew chief Dana DeMuth watched the replay and overturned it to a double","2009SFN.EVN.regular.comment.csv",35
"SFN200910010",31,"ej,stotm001,C,wendh902,Balls and strikes ej,hinca001,M,wendh902,Balls and strikes $Diamondbacks pitcher Dan Haren objected to the call on ball four; pitching coach Mel Stottlemyre, Jr. went to the mound to talk with Haren; HP umpire Hunter Wendelstedt walked to the mound to break up the meeting and Stottlemyre started talking with Wendelstedt; as they walked towards the plate, Wendelstedt ejected Stottlemyre; Diamondbacks manager A.J. Hinch went to the plate to talk with Wendelstedt; after a brief time, Wendelstedt ejected Hinch","2009SFN.EVN.regular.comment.csv",36
