"CIN198704060",1,"Debut game for Alonzo Powell"FILENAME_TX","LINE_NUMBER_CT"

"CIN198704060",27,"Debut game for Leo Garcia"1987CIN.EVN.regular.comment.csv",2

"CIN198704060",72,"Debut game for Lloyd McClendon"1987CIN.EVN.regular.comment.csv",3

"CIN198704100",42,"$Ron Oester was caught in a rundown but back got back to 2B; then he stepped off the bag and was tagged out"1987CIN.EVN.regular.comment.csv",4

"CIN198704120",2,"$Barry Larkin injured"1987CIN.EVN.regular.comment.csv",5

"CIN198704180",36,"$Nolan Ryan injured"1987CIN.EVN.regular.comment.csv",6

"CIN198704300",98,"Debut game for Steve Ziem"1987CIN.EVN.regular.comment.csv",7

"CIN198705100",1,"$Game delayed 17 minutes to kill bees."1987CIN.EVN.regular.comment.csv",8

"CIN198705110",17,"$Buddy Bell pulled hamstring rounding 2B"1987CIN.EVN.regular.comment.csv",9

"CIN198705120",5,"$the throw bounced off Kevin McReynolds's back"1987CIN.EVN.regular.comment.csv",10

"CIN198705120",36,"$Keith Hernandez turned 1B towards 2B and was tagged out"1987CIN.EVN.regular.comment.csv",11

"CIN198705220",4,"$Eric Davis caught the ball over the wall"1987CIN.EVN.regular.comment.csv",12

"CIN198705230",1,"Debut game for Pat Pacillo"1987CIN.EVN.regular.comment.csv",13

"CIN198706010",55,"$Vince Coleman rounded 2B too far"1987CIN.EVN.regular.comment.csv",14

"CIN198706020",40,"ej,rosep001,M,wendh901,Balls and strikes Reds manager Pete Rose ejected by HP umpire Harry Wendelstedt"1987CIN.EVN.regular.comment.csv",15

"CIN198706020",42,"$Eric Davis caught the ball over the wall"1987CIN.EVN.regular.comment.csv",16

"CIN198706030",29,"$Eric Davis caught the ball over the wall"1987CIN.EVN.regular.comment.csv",17

"CIN198706080",77,"$pitch-out on attempted squeeze"1987CIN.EVN.regular.comment.csv",18

"CIN198706090",33,"ej,parkd001,P,willc901,Called third strike Dave Parker ejected by HP umpire Charlie Williams"1987CIN.EVN.regular.comment.csv",19

"CIN198706100",17,"$failed safety squeeze"1987CIN.EVN.regular.comment.csv",20

"CIN198707020",33,"$Kal Daniels injured"1987CIN.EVN.regular.comment.csv",21

"CIN198707020",44,"$Lenny Dykstra missed bunt on squeeze play"1987CIN.EVN.regular.comment.csv",22

"CIN198707050",20,"$Kal Daniels injured"1987CIN.EVN.regular.comment.csv",23

"CIN198707110",61,"ej,rosep101,M,mcshj901,Fair/foul call $Reds manager Rose ejected by HP umpire McSherry for arguing that Webster's double was foul"1987CIN.EVN.regular.comment.csv",24

"CIN198707110",73,"Debut game for Terry McGriff"1987CIN.EVN.regular.comment.csv",25

"CIN198707310",0,"80s 33 minute rain delay before start of game"1987CIN.EVN.regular.comment.csv",26

"CIN198707310",30,"$flare that skipped past Chili Davis on wet outfield"1987CIN.EVN.regular.comment.csv",27

"CIN198708010",0,"90s Rain in 5th"1987CIN.EVN.regular.comment.csv",28

"CIN198708010",39,"65-minute rain delay following the 1st pitch to Rob Thompson, which was a called strike"1987CIN.EVN.regular.comment.csv",29

"CIN198708010",45,"Debut game for Jeff Montgomery"1987CIN.EVN.regular.comment.csv",30

"CIN198708020",85,"$pitchout on the caught stealing"1987CIN.EVN.regular.comment.csv",31

"CIN198708040",0,"1:23 rain delay at start"1987CIN.EVN.regular.comment.csv",32

"CIN198708180",68,"LaValliere switch-hitting"1987CIN.EVN.regular.comment.csv",33

"CIN198708180",72,"$Dave Collins didn't touch 2B on way back to 1B"1987CIN.EVN.regular.comment.csv",34

"CIN198708190",71,"$Failed suicide attempt"1987CIN.EVN.regular.comment.csv",35

"CIN198708200",79,"ej,reynr001,P,darlg901,Called third strike R.J. Reynolds ejected by HP umpire Gary Darling"1987CIN.EVN.regular.comment.csv",36

"CIN198708210",47,"ej,parkd001,P,monte901,Called third strike Dave Parker ejected by HP umpire Ed Montague"1987CIN.EVN.regular.comment.csv",37

"CIN198709090",57,"John Shelby injured"1987CIN.EVN.regular.comment.csv",38

"CIN198709240",64,"ej,bowal001,M,palld901,Check swing $Padres manager Bowa ejected by 1B umpire Pallone for arguing check swing strike 3 to Santiago"1987CIN.EVN.regular.comment.csv",39

"CIN198709260",31,"ej,parkd001,P,kiblj901,Charging the mound $Parker ejected by HP umpire John Kibler for charging mound after inside pitch"1987CIN.EVN.regular.comment.csv",40

"CIN198709260",37,"ej,robir001,P,kiblj901,Throwing at batter $Reds Robinson ejected by HP umpire Kibler for threwing a pitch behind Darwin and was ejected"1987CIN.EVN.regular.comment.csv",41

"CIN198709290",50,"ej,jonet001,P,grege901,Call at 1B Tracy Jones ejected by 1B umpire Eric Gregg"1987CIN.EVN.regular.comment.csv",42

