"TEX199704060",46,"Debut game for Mike Johnson"FILENAME_TX","LINE_NUMBER_CT"

"TEX199704060",77,"Debut game for Julio Santana"1997TEX.EVA.regular.comment.csv",2

"TEX199704150",16,"Debut game for Marc Sagmoen"1997TEX.EVA.regular.comment.csv",3

"TEX199704240",48,"ej,bellb001,M,fordd901,Check swing $Tigers manager Bell ejected by HP Umpire Ford for arguing check swing strike 3 to Casanova"1997TEX.EVA.regular.comment.csv",4

"TEX199706190",37,"ej,oatej101,M,culbf901,Call at 1B $Rangers manager Oates ejected by 1B umpire Culbreth for arguing that Cruz was out at 1st"1997TEX.EVA.regular.comment.csv",5

"TEX199706210",95,"Debut game for Henley Frias"1997TEX.EVA.regular.comment.csv",6

"TEX199708030",40,"Debut game for Eric Moody"1997TEX.EVA.regular.comment.csv",7

"TEX199708060",71,"umpchange,8,umphome,barnl901 umpchange,8,ump2b,(None) $HP umpire Hendry left after being hit in head by discarded mask of catcher; 2B umpire Barnett went behind plate and game finished with 3 umpires"1997TEX.EVA.regular.comment.csv",8

"TEX199709130",73,"Debut game for Javier Valentin"1997TEX.EVA.regular.comment.csv",9

"TEX199709180",29,"ej,oatej101,M,phild901,Call at 2B Rangers manager Johnny Oates ejected by 2B umpire Dave Phillips"1997TEX.EVA.regular.comment.csv",10

