"TBA201304040",75,"$Evan Longoria called out for passing Ben Zobrist","FILENAME_TX","LINE_NUMBER_CT"
"TBA201304060",32,"$Marson left the game due to an injured neck","2013TBA.EVA.regular.comment.csv",2
"TBA201304060",55,"ej,albem001,P,buckc901,Call at 2B $Pitcher Albers ejected by 2B umpire Bucknor at end of inning for arguing safe call on Escobar's double to start inning","2013TBA.EVA.regular.comment.csv",3
"TBA201304190",18,"Athletics pitcher Brett Anderson left the game due to an injured ankle","2013TBA.EVA.regular.comment.csv",4
"TBA201304240",47,"Rays shortstop Yunel Escobar left the game due to an injured leg","2013TBA.EVA.regular.comment.csv",5
"TBA201305060",25,"replay,3,johnk003,TBA,welkt901,STP01,O,N,I,,H $Kelly Johnson hit a high fly to CF that fell behind Colby Rasmus; Desmond Jennings held near 1B to see if the ball would be caught; the ball was ruled in play but Rays manager Joe Maddon asked about the call; crew chief Tim Welke watched the replay and upheld the call","2013TBA.EVA.regular.comment.csv",6
"TBA201305070",3,"replay,1,bautj002,TOR,welkt901,STP01,O,N,I,,H $Jose Bautista's fly ball struck the top of the padding beneath the yellow stripe in left center and was ruled in play; Blue Jays manager John Gibbons asked about the call so crew chief Tim Welke watched the replay and upheld the call","2013TBA.EVA.regular.comment.csv",7
"TBA201305070",17,"ej,maddj801,M,fostm901,Call at HP Rays Manager Joe Maddon ejected by HP umpire Marty Foster; Sean Rodrigguez slid around catcher J.P. Arencibia; Foster said Rodriguez missed HP","2013TBA.EVA.regular.comment.csv",8
"TBA201305070",20,"$A.J. Happ struck by line drive on the left side of his head; he was carried from the field","2013TBA.EVA.regular.comment.csv",9
"TBA201305070",78,"ej,encae001,P,fostm901,Balls and strikes (Threw bat) Blue Jays first baseman Edwin Encarnacion ejected by HP umpire Marty Foster; Encarnacion threw his bat down after striking out; Foster warned Encarnacion, who then threw his helmet down","2013TBA.EVA.regular.comment.csv",10
"TBA201305080",53,"ej,maddj801,M,barrs901,Fair/foul call $Maicer Izturis hit a ground ball to 1B that was ruled foul because it struck the batter; Rays manager argued the call and was ejected by HP umpire Scott Barry","2013TBA.EVA.regular.comment.csv",11
"TBA201305090",67,"Rays catcher Jose Molina left the game due to an injured knee","2013TBA.EVA.regular.comment.csv",12
"TBA201305150",23,"Rays pitcher David Price left the game due to an injured arm","2013TBA.EVA.regular.comment.csv",13
"TBA201305240",7,"fan interference","2013TBA.EVA.regular.comment.csv",14
"TBA201305240",43,"Yankees center fielder Curtis Granderson left the game due to an injured hand","2013TBA.EVA.regular.comment.csv",15
"TBA201305260",13,"originally scored as FC, changed to single on May 28, 2013","2013TBA.EVA.regular.comment.csv",16
"TBA201306100",60,"$Matt Joyce threw his bat onto the field and yelled at John Lackey; Jarrod Saltalamacchia got in front of Joyce and pushed him down the 1B line; HP umpire Tom Hallion ran onto the field to get between Joyce and Lackey, who remained on the mound; both benches cleared and there was a lot of yelling and pushing in the scrum","2013TBA.EVA.regular.comment.csv",17
"TBA201306100",63,"$the infield shifted for David Ortiz","2013TBA.EVA.regular.comment.csv",18
"TBA201306100",108,"Rays pitcher Kyle Farnsworth left the game due to an injured arm","2013TBA.EVA.regular.comment.csv",19
"TBA201306110",72,"originally scored E4, changed to single on 6-17-2013","2013TBA.EVA.regular.comment.csv",20
"TBA201306150",39,"$Alex Cobb was struck on the right ear by a line drive; he was carried off the field on a stretcher and taken to a hospital suffering from a mild concussion","2013TBA.EVA.regular.comment.csv",21
"TBA201306280",14,"Rays third baseman Evan Longoria left the game due to an injured foot","2013TBA.EVA.regular.comment.csv",22
"TBA201306300",6,"$both teams warned by HP umpire Vic Carapazza; this might have been retaliation for an inside pitch to Miguel Cabrera the previous day","2013TBA.EVA.regular.comment.csv",23
"TBA201307080",17,"fan interference","2013TBA.EVA.regular.comment.csv",24
"TBA201308140",75,"replay,9,zobrb001,TBA,bellw901,STP01,O,N,I,,H $Ben Zobrist's fly ball struck the yellow-painted railing at the top of the fence; the ball was ruled in play; acting crew chief Wally Bell watched the replay and upheld the call","2013TBA.EVA.regular.comment.csv",25
"TBA201308160",20,"originally scored a triple, changed to double plus E8 on 08-22-2013","2013TBA.EVA.regular.comment.csv",26
"TBA201308180",6,"replay,1,longe001,TBA,laynj901,STP01,I,N,I,,H $Evan Longoria's fly ball to RF was caught just over the top of the wall by a fan; it was ruled a home run; crew chief Jerry Layne watched the replay and upheld the call","2013TBA.EVA.regular.comment.csv",27
"TBA201308180",62,"$Edwin Encarnacion's fly ball struck the yellow stripe at the top of the padded wall and caromed back onto the field; it was ruled in play by 3B umpire Jerry Layne; the Blue Jays questioned the call by Layne did not watch the replay","2013TBA.EVA.regular.comment.csv",28
"TBA201308270",81,"originally two base E8, changed to double on 09-09-2013, both runs in inning now earned","2013TBA.EVA.regular.comment.csv",29
"TBA201308280",55,"Angels third baseman Chris Nelson left the game due to an injured leg","2013TBA.EVA.regular.comment.csv",30
"TBA201309220",43,"Rays center fielder Desmond Jennings left the game due to an injured leg","2013TBA.EVA.regular.comment.csv",31
"TBA201309230",54,"$Machado hit the back corner of the base and twisted his knee badly, falling in tremendous pain; after several minutes during which he was attended to by medical staff, he was removed from the field on a stretcher","2013TBA.EVA.regular.comment.csv",32
