"SLN191804160",16,"$Deal let pop up drop to start double play","FILENAME_TX","LINE_NUMBER_CT"
"SLN191804160",49,"pbp account ends here, rest deduced","1918SLN.EVN.regular.comment.csv",2
"SLN191804180",56,"pbp account ends here, rest deduced","1918SLN.EVN.regular.comment.csv",3
"SLN191804180",66,"$ML debut for Howard","1918SLN.EVN.regular.comment.csv",4
"SLN191806270",50,"Botched squeeze play.","1918SLN.EVN.regular.comment.csv",5
"SLN191806270",69,"Not clear when Archer went in.","1918SLN.EVN.regular.comment.csv",6
"SLN191806280",36,"ej,mckeb101,P,morac102,Arguing game should be called for darkness Time called due to dark skies.  McKechnie ejected by Moran.","1918SLN.EVN.regular.comment.csv",7
"SLN191806302",11,"Sac per Times, maybe","1918SLN.EVN.regular.comment.csv",8
"SLN191807101",33,"Oeschger relieved with 1-0 count on Grimm.","1918SLN.EVN.regular.comment.csv",9
"SLN191807131",49,"Into the stands.","1918SLN.EVN.regular.comment.csv",10
"SLN191808261",13,"Harrison ejected Hornsby for arguing third strike.","1918SLN.EVN.regular.comment.csv",11
