"CHN196104260",37,"$Glen Hobbie called for interference for running into his own batted ball","FILENAME_TX","LINE_NUMBER_CT"
"CHN196107092",31,"ej,johnd106,P,dascf901,Call at HP ej,maucg101,M,dascf901,Call at HP Darrell Johnson and Phillies Manager Gene Mauch ejected by HP umpire Frank Dascoli","1961CHN.EVN.regular.comment.csv",23
"CHN196107092",70,"$Robin Roberts hurt his knee trying to field ball","1961CHN.EVN.regular.comment.csv",24
"CHN196107092",81,"$Game called due to darkness","1961CHN.EVN.regular.comment.csv",25
"CHN196107270",71,"$George Altman's line drive caromed off of Bill White's glove into the Cardinal dugout","1961CHN.EVN.regular.comment.csv",26
"CHN196107280",75,"$Billy Williams beaned","1961CHN.EVN.regular.comment.csv",27
"CHN196108022",98,"$game called due to darkness; tie game to be replayed in its entirety on 9/3","1961CHN.EVN.regular.comment.csv",28
"CHN196108140",62,"Debut game for Al Kenders","1961CHN.EVN.regular.comment.csv",29
"CHN196108171",3,"Glen Hobbie left with a sore back","1961CHN.EVN.regular.comment.csv",30
"CHN196108180",82,"$Ron Santo struck on the neck by the ball","1961CHN.EVN.regular.comment.csv",31
"CHN196108300",55,"$Andre Rodgers struck out but 3B umpire Ed Sudol had called time to remove a ball from Maury Wills' pocket","1961CHN.EVN.regular.comment.csv",32
"CHN196108300",57,"ej,durol101,C,donaa901,Argument over too many players on mound Dodgers Coach Leo Durocher ejected by HP umpire Augie Donatelli","1961CHN.EVN.regular.comment.csv",33
"CHN196109010",16,"Debut game for Cuno Barragan","1961CHN.EVN.regular.comment.csv",34
"CHN196109010",111,"$Don Elston thought he had struck out Ernie Bowman","1961CHN.EVN.regular.comment.csv",35
"CHN196109010",113,"ej,elstd101,P,burkk101,Balls and strikes Don Elston ejected by HP umpire Ken Burkhart","1961CHN.EVN.regular.comment.csv",36
"CHN196109032",53,"$Game called due to darkness","1961CHN.EVN.regular.comment.csv",37
"CHN196109060",61,"$Bob Skinner's liner hit Don Cardwell on the foot","1961CHN.EVN.regular.comment.csv",38
"CHN196109070",18,"Debut game for Moe Morhardt","1961CHN.EVN.regular.comment.csv",39
"CHN196109070",25,"$Moe Morhardt fumbled Ernie Banks' throw","1961CHN.EVN.regular.comment.csv",40
"CHN196109070",55,"$Al McBean struck on the foot by the line drive","1961CHN.EVN.regular.comment.csv",41
"CHN196109100",5,"Debut game for Lou Brock","1961CHN.EVN.regular.comment.csv",42
"CHN196109100",6,"Debut game for Ken Hubbs","1961CHN.EVN.regular.comment.csv",43
"CHN196109100",70,"ej,barrc101,P,lands901,Call at 3B Cuno Barragan ejected by HP umpire Stan Landes sometime in eighth","1961CHN.EVN.regular.comment.csv",44
"CHN196109270",15,"$Ernie Banks left with a stiff neck","1961CHN.EVN.regular.comment.csv",45
"CHN196109300",38,"Game stopped by rain","1961CHN.EVN.regular.comment.csv",46
"CHN196110010",48,"$the ball was lost in the ivy","1961CHN.EVN.regular.comment.csv",47
