"CIN197010100",49,"$Elrod Hendricks tagged Bernie Carbo with an empty glove, but HP umpire Ken Burkhart, blocked off the play, ruled Carbo out"FILENAME_TX","LINE_NUMBER_CT"

"BAL197010140",50,"$the throw went into the Oriole dugout"1970WS.EVE.post.comment.csv",2

"BAL197010140",51,"$Mark Belanger popped out to Tony Perez but the play was negated because LF umpire John Flaherty had called time when a souvenir bat had fallen out of the LF bleachers onto the field"1970WS.EVE.post.comment.csv",3

