"NYA192104130",1,"1st pitch","FILENAME_TX","LINE_NUMBER_CT"
"NYA192104130",7,"0-1 count","1921NYA.EVA.regular.comment.csv",2
"NYA192104140",59,"pbp account ends here, rest deduced","1921NYA.EVA.regular.comment.csv",3
"NYA192104200",56,"pbp account ends here, rest deduced","1921NYA.EVA.regular.comment.csv",4
"NYA192104260",69,"pbp account ends here, rest deduced","1921NYA.EVA.regular.comment.csv",5
"NYA192104270",62,"pbp account ends here, rest deduced","1921NYA.EVA.regular.comment.csv",6
"NYA192104280",53,"pbp account ends here, rest deduced","1921NYA.EVA.regular.comment.csv",7
"NYA192105080",120,"$Walker hit in back, was knocked out, but recovered","1921NYA.EVA.regular.comment.csv",8
"NYA192105290",28,"over the roof","1921NYA.EVA.regular.comment.csv",9
"NYA192106020",63,"Evening Journal account ends here, rest from Post-Dispatch","1921NYA.EVA.regular.comment.csv",10
"NYA192106030",82,"Evening Journal account ends here, rest from Post-Dispatch","1921NYA.EVA.regular.comment.csv",11
"NYA192106060",6,"attempted double steal","1921NYA.EVA.regular.comment.csv",12
"NYA192106060",74,"Tobin ejected for complaining about the 3rd strike","1921NYA.EVA.regular.comment.csv",13
"NYA192106080",0,"$Ruth was in prison for his second speeding violation, arriving at ballpark in 6th inning","1921NYA.EVA.regular.comment.csv",14
"NYA192106080",77,"$Baker injured ankle when he caught a spike going to 3rd","1921NYA.EVA.regular.comment.csv",15
"NYA192106100",34,"Ward is ejected for complaining about the cs but doesn't  know it until...","1921NYA.EVA.regular.comment.csv",16
"NYA192106100",35,"he comes to take the field at the top of the inning. another huge argument ensues....","1921NYA.EVA.regular.comment.csv",17
"NYA192106100",76,"$Bagby took the throw at the plate and was knocked out by it","1921NYA.EVA.regular.comment.csv",18
"NYA192106120",42,"Bush ejected by Dineen","1921NYA.EVA.regular.comment.csv",19
"NYA192106130",81,"$1st HR in CF seats in Polo Grounds","1921NYA.EVA.regular.comment.csv",20
"NYA192106160",57,"$Collins tries to stop the throw at first, hurts hand.","1921NYA.EVA.regular.comment.csv",21
"NYA192106180",17,"attempted double steal","1921NYA.EVA.regular.comment.csv",22
"NYA192107050",34,"fan swats back the ball at the top of the fence, Ruth pulls up at third.  Yanks claim HR; A's say Double....","1921NYA.EVA.regular.comment.csv",23
"NYA192107050",64,"Take THAT,Mr. Mack","1921NYA.EVA.regular.comment.csv",24
"NYA192107280",25,"Severied blows the return throw back to Davis","1921NYA.EVA.regular.comment.csv",25
"NYA192107280",59,"rain...","1921NYA.EVA.regular.comment.csv",26
"NYA192108070",15,"rain begins...","1921NYA.EVA.regular.comment.csv",27
"NYA192108070",38,"Game is called at this point by umpire Chill.  Is this  half-inning legal or not?  RGF doesn't know so it's up to you Dave to make the call.... I don't understand the rule then or now  The paper seems to think the 2-0 score is  legit. Game Called on account of Rain.","1921NYA.EVA.regular.comment.csv",28
"NYA192108100",61,"$Pipp scored during rundown - no RBI","1921NYA.EVA.regular.comment.csv",29
"NYA192109011",7,"KBKK","1921NYA.EVA.regular.comment.csv",30
"NYA192109011",26,"BX","1921NYA.EVA.regular.comment.csv",31
"NYA192109011",44,"KBFBX","1921NYA.EVA.regular.comment.csv",32
"NYA192109011",60,"KCBX","1921NYA.EVA.regular.comment.csv",33
"NYA192109012",7,"BFBBB","1921NYA.EVA.regular.comment.csv",34
"NYA192109012",29,"X","1921NYA.EVA.regular.comment.csv",35
"NYA192109012",47,"X","1921NYA.EVA.regular.comment.csv",36
"NYA192109012",65,"BBX","1921NYA.EVA.regular.comment.csv",37
"NYA192109012",76,"BX","1921NYA.EVA.regular.comment.csv",38
"NYA192109020",12,"BBSFBFX","1921NYA.EVA.regular.comment.csv",39
"NYA192109020",30,"FBBBX","1921NYA.EVA.regular.comment.csv",40
"NYA192109020",43,"SBSBBFB","1921NYA.EVA.regular.comment.csv",41
"NYA192109020",60,"CBX","1921NYA.EVA.regular.comment.csv",42
"NYA192109030",8,"X","1921NYA.EVA.regular.comment.csv",43
"NYA192109030",26,"CX","1921NYA.EVA.regular.comment.csv",44
"NYA192109030",38,"BX","1921NYA.EVA.regular.comment.csv",45
"NYA192109030",59,"KFBBX","1921NYA.EVA.regular.comment.csv",46
"NYA192109071",8,"BFSBFX","1921NYA.EVA.regular.comment.csv",47
"NYA192109071",27,"FBX","1921NYA.EVA.regular.comment.csv",48
"NYA192109071",45,"BBFX","1921NYA.EVA.regular.comment.csv",49
"NYA192109071",62,"BBBFX","1921NYA.EVA.regular.comment.csv",50
"NYA192109072",7,"BSSX","1921NYA.EVA.regular.comment.csv",51
"NYA192109072",25,"BX","1921NYA.EVA.regular.comment.csv",52
"NYA192109072",43,"SBBX","1921NYA.EVA.regular.comment.csv",53
"NYA192109072",62,"X","1921NYA.EVA.regular.comment.csv",54
"NYA192109111",9,"BBBCB","1921NYA.EVA.regular.comment.csv",55
"NYA192109111",27,"BBBB","1921NYA.EVA.regular.comment.csv",56
"NYA192109111",44,"SBBSX","1921NYA.EVA.regular.comment.csv",57
"NYA192109111",63,"BBBB","1921NYA.EVA.regular.comment.csv",58
"NYA192109112",9,"BX","1921NYA.EVA.regular.comment.csv",59
"NYA192109112",32,"BX","1921NYA.EVA.regular.comment.csv",60
"NYA192109112",48,"BBFBB","1921NYA.EVA.regular.comment.csv",61
"NYA192109112",63,"X","1921NYA.EVA.regular.comment.csv",62
"NYA192109130",8,"FBBBCB","1921NYA.EVA.regular.comment.csv",63
"NYA192109130",25,"CBBX","1921NYA.EVA.regular.comment.csv",64
"NYA192109130",46,"CSBS","1921NYA.EVA.regular.comment.csv",65
"NYA192109130",67,"BBBCX","1921NYA.EVA.regular.comment.csv",66
"NYA192109140",8,"BSBBB","1921NYA.EVA.regular.comment.csv",67
"NYA192109140",32,"CBBBFX","1921NYA.EVA.regular.comment.csv",68
"NYA192109140",46,"$Strunk hit on the head and knocked unconscious","1921NYA.EVA.regular.comment.csv",69
"NYA192109140",61,"SBBBCX","1921NYA.EVA.regular.comment.csv",70
"NYA192109140",71,"Again, Baker is KO'd","1921NYA.EVA.regular.comment.csv",71
"NYA192109140",74,"CBFBBX","1921NYA.EVA.regular.comment.csv",72
"NYA192109151",6,"CFBBS","1921NYA.EVA.regular.comment.csv",73
"NYA192109151",8,"attempted double steal","1921NYA.EVA.regular.comment.csv",74
"NYA192109151",28,"BBCFFX","1921NYA.EVA.regular.comment.csv",75
"NYA192109151",45,"FBBSBFX","1921NYA.EVA.regular.comment.csv",76
"NYA192109151",63,"BCBBB","1921NYA.EVA.regular.comment.csv",77
"NYA192109152",25,"Evening Telegram account ends here, rest from Post-Dispatch","1921NYA.EVA.regular.comment.csv",78
"NYA192109152",72,"$Ruth injured leg sliding into third","1921NYA.EVA.regular.comment.csv",79
"NYA192109160",6,"CBFBBS","1921NYA.EVA.regular.comment.csv",80
"NYA192109160",29,"BFX","1921NYA.EVA.regular.comment.csv",81
"NYA192109160",48,"$Gerber and McManus collided trying to catch Peck's double; Gerber was injured and left game, probably next inning","1921NYA.EVA.regular.comment.csv",82
"NYA192109160",49,"BCFFBFS","1921NYA.EVA.regular.comment.csv",83
"NYA192109160",76,"BCFS","1921NYA.EVA.regular.comment.csv",84
"NYA192109180",7,"BX","1921NYA.EVA.regular.comment.csv",85
"NYA192109180",30,"SFBS","1921NYA.EVA.regular.comment.csv",86
"NYA192109180",44,"BCFX","1921NYA.EVA.regular.comment.csv",87
"NYA192109180",62,"BBBB","1921NYA.EVA.regular.comment.csv",88
"NYA192109180",77,"CX","1921NYA.EVA.regular.comment.csv",89
"NYA192109190",6,"X","1921NYA.EVA.regular.comment.csv",90
"NYA192109190",25,"BFX","1921NYA.EVA.regular.comment.csv",91
"NYA192109190",28,"Roth bluffed a steal of 3rd; Bassler threw down to 3rd, but Jones wasn't on the bag.","1921NYA.EVA.regular.comment.csv",92
"NYA192109190",44,"BX","1921NYA.EVA.regular.comment.csv",93
"NYA192109190",63,"FBX","1921NYA.EVA.regular.comment.csv",94
"NYA192109190",71,"Boy  Mays, Shawkey and Hoyt  The Bullpen of Aces","1921NYA.EVA.regular.comment.csv",95
"NYA192109190",94,"BBX","1921NYA.EVA.regular.comment.csv",96
"NYA192109200",9,"BSX","1921NYA.EVA.regular.comment.csv",97
"NYA192109200",32,"BSX","1921NYA.EVA.regular.comment.csv",98
"NYA192109200",49,"BSSBC","1921NYA.EVA.regular.comment.csv",99
"NYA192109200",70,"CBFBS","1921NYA.EVA.regular.comment.csv",100
"NYA192109220",7,"CBBSC","1921NYA.EVA.regular.comment.csv",101
"NYA192109220",33,"SX","1921NYA.EVA.regular.comment.csv",102
"NYA192109220",50,"BBX","1921NYA.EVA.regular.comment.csv",103
"NYA192109220",67,"FBCBC","1921NYA.EVA.regular.comment.csv",104
"NYA192109220",84,"BBSX","1921NYA.EVA.regular.comment.csv",105
"NYA192109230",7,"BBBB","1921NYA.EVA.regular.comment.csv",106
"NYA192109230",32,"BX","1921NYA.EVA.regular.comment.csv",107
"NYA192109230",49,"BCX","1921NYA.EVA.regular.comment.csv",108
"NYA192109230",65,"SX","1921NYA.EVA.regular.comment.csv",109
"NYA192109240",6,"BCBBB","1921NYA.EVA.regular.comment.csv",110
"NYA192109240",25,"BFBX","1921NYA.EVA.regular.comment.csv",111
"NYA192109240",45,"BBX","1921NYA.EVA.regular.comment.csv",112
"NYA192109250",6,"SBSBX","1921NYA.EVA.regular.comment.csv",113
"NYA192109250",20,"BSCBX","1921NYA.EVA.regular.comment.csv",114
"NYA192109250",42,"BBFBSB","1921NYA.EVA.regular.comment.csv",115
"NYA192109250",51,"CFC","1921NYA.EVA.regular.comment.csv",116
"NYA192109250",71,"BFBBFFB","1921NYA.EVA.regular.comment.csv",117
"NYA192109260",12,"BX","1921NYA.EVA.regular.comment.csv",118
"NYA192109260",28,"X","1921NYA.EVA.regular.comment.csv",119
"NYA192109260",44,"BBX","1921NYA.EVA.regular.comment.csv",120
"NYA192109260",55,"missing play","1921NYA.EVA.regular.comment.csv",121
"NYA192109260",64,"BBBB","1921NYA.EVA.regular.comment.csv",122
"NYA192109270",10,"BCBSX","1921NYA.EVA.regular.comment.csv",123
"NYA192109270",33,"SBSBBS","1921NYA.EVA.regular.comment.csv",124
"NYA192109270",52,"X","1921NYA.EVA.regular.comment.csv",125
"NYA192109270",69,"BBBB","1921NYA.EVA.regular.comment.csv",126
"NYA192110011",6,"BX","1921NYA.EVA.regular.comment.csv",127
"NYA192110011",22,"X","1921NYA.EVA.regular.comment.csv",128
"NYA192110011",46,"CBX","1921NYA.EVA.regular.comment.csv",129
"NYA192110011",60,"SBBFBS","1921NYA.EVA.regular.comment.csv",130
"NYA192110012",7,"CBFBBX","1921NYA.EVA.regular.comment.csv",131
"NYA192110012",24,"BCBX","1921NYA.EVA.regular.comment.csv",132
"NYA192110012",42,"CX","1921NYA.EVA.regular.comment.csv",133
"NYA192110012",54,"X","1921NYA.EVA.regular.comment.csv",134
"NYA192110012",78,"Perkins ejected for complaining about strikes","1921NYA.EVA.regular.comment.csv",135
"NYA192110012",81,"CBCBBB","1921NYA.EVA.regular.comment.csv",136
"NYA192110020",7,"BBX","1921NYA.EVA.regular.comment.csv",137
"NYA192110020",24,"BBX","1921NYA.EVA.regular.comment.csv",138
"NYA192110020",49,"BBCX","1921NYA.EVA.regular.comment.csv",139
"NYA192110020",66,"BFBSX","1921NYA.EVA.regular.comment.csv",140
"NYA192110020",80,"missing play","1921NYA.EVA.regular.comment.csv",141
