"CHN195204300",44,"$Eddie Miksis left with leg problem","FILENAME_TX","LINE_NUMBER_CT"
"CHN195204300",77,"Reconstructed bottom of 8 to end of CHN195204300","1952CHN.EVN.regular.comment.csv",2
"CHN195205050",22,"$infield shifted for Hank Sauer","1952CHN.EVN.regular.comment.csv",3
"CHN195205050",44,"$Bobby Thomson called out on appeal for leaving 3B too early","1952CHN.EVN.regular.comment.csv",4
"CHN195205080",39,"$Bob Ramazzotti was not in position to throw when he got the ball so he flipped it to Eddie Miksis","1952CHN.EVN.regular.comment.csv",5
"CHN195205080",51,"$Sibby Sisti left with a pulled muscle","1952CHN.EVN.regular.comment.csv",6
"CHN195205302",21,"$Gene Hermanski left with charley horse","1952CHN.EVN.regular.comment.csv",7
"CHN195206020",66,"ej,robij103,P,goetl901,Called third strike Jackie Robinson ejected by HP umpire Larry Goetz","1952CHN.EVN.regular.comment.csv",8
"CHN195206060",13,"$Dee Fondy's drive bounced out of Sam Jethroe's glove and got stuck in the ivy","1952CHN.EVN.regular.comment.csv",9
"CHN195206060",52,"ej,crowg101,P,stewb901,Call at 2B (Reversed) George Crowe ejected by 2B umpire Bill Stewart arguing that Gene Hermanski was out at 2B on the PB","1952CHN.EVN.regular.comment.csv",10
"CHN195206070",30,"$Walker Cooper pulled a leg muscle running out his hit in the top of the 4th","1952CHN.EVN.regular.comment.csv",11
"CHN195206082",64,"$Frank Baumholtz suffered a fractured wrist","1952CHN.EVN.regular.comment.csv",12
"CHN195206100",79,"$Hank Sauer left with left ankle trouble","1952CHN.EVN.regular.comment.csv",13
"CHN195206110",49,"$Tommy Brown out on appeal for missing 2B on the way to 3B","1952CHN.EVN.regular.comment.csv",14
"CHN195206110",52,"ej,jonew101,P,barla901,Call at 2B (Appeal) ej,rober102,P,barla901,Call at 2B (Appeal) Philies Jones and Roberts ejected by 2B umpire Barlick for yelling about the appeal in the previous inning","1952CHN.EVN.regular.comment.csv",15
"CHN195206120",6,"Bad hop off Brown's shoulder","1952CHN.EVN.regular.comment.csv",16
"CHN195206120",26,"Into LF bleachers","1952CHN.EVN.regular.comment.csv",17
"CHN195206120",32,"Hamner: spectacular 1-handed stop","1952CHN.EVN.regular.comment.csv",18
"CHN195206120",38,"$Warren Hacker slipped in the mud going around 3B and Eddie Miksis tried to reach 3B during the rundown","1952CHN.EVN.regular.comment.csv",19
"CHN195206120",51,"Miksis tagged Wyrostek","1952CHN.EVN.regular.comment.csv",20
"CHN195206120",52,"Hamner: good play","1952CHN.EVN.regular.comment.csv",21
"CHN195206120",53,"Ennis missed shoestring catch","1952CHN.EVN.regular.comment.csv",22
"CHN195206300",12,"$the ball struck the 1B bag and bounded into the Pirates dugout","1952CHN.EVN.regular.comment.csv",23
"CHN195207021",61,"$Boby Del Greco crashed into the wall and knocked himself out","1952CHN.EVN.regular.comment.csv",24
"CHN195207022",15,"$Roy Smalley hit just above ear, taken to hospital","1952CHN.EVN.regular.comment.csv",25
"CHN195207022",31,"$Warren Hacker called for interference out for being out of batter's box","1952CHN.EVN.regular.comment.csv",26
"CHN195207022",61,"$game called for darkness","1952CHN.EVN.regular.comment.csv",27
"CHN195207132",33,"$Howie Fox struck on wrist","1952CHN.EVN.regular.comment.csv",28
"CHN195207160",59,"$the ball caromed off Johnny Klippstein's foot and Roy Smalley into LF","1952CHN.EVN.regular.comment.csv",29
"CHN195207160",88,"PBP in Boston papers ends here, rest deduced","1952CHN.EVN.regular.comment.csv",30
"CHN195207160",99,"$Walker Cooper argued that his bat was tipped","1952CHN.EVN.regular.comment.csv",31
"CHN195207170",18,"$Jack Dittmer rounded 3B too far","1952CHN.EVN.regular.comment.csv",32
"CHN195207190",62,"$Dee Fondy pulled his leg sliding into 3B","1952CHN.EVN.regular.comment.csv",33
"CHN195207200",48,"$Larry Jansen escaped rundown when Bill Serena's throw struck his back","1952CHN.EVN.regular.comment.csv",34
"CHN195208120",5,"$Stan Musial rounded 3B too far","1952CHN.EVN.regular.comment.csv",35
"CHN195208131",37,"the next two innings are deduced","1952CHN.EVN.regular.comment.csv",36
"CHN195208132",17,"umpchange,3,umphome,stewb901 umpchange,3,ump1b,gugla901 umpchange,3,ump2b,(none) $HP umpire Jocko Conlan left with kidney problem and taken to hospital; play delayed for 12 minutes as umpires shifted","1952CHN.EVN.regular.comment.csv",37
"CHN195208160",12,"ej,metkg101,P,dascf901,Bench jockeying $Pirate Metkovich, not in game, ejected by 1B umpire Dascoli for complaining about condiditon of field as Merson slipped running out his grounder","1952CHN.EVN.regular.comment.csv",38
"CHN195208171",30,"Baumholtz: running catch","1952CHN.EVN.regular.comment.csv",39
"CHN195208171",33,"Infield hit","1952CHN.EVN.regular.comment.csv",40
"CHN195208212",80,"$the throw injured Tommy Brown's thumb","1952CHN.EVN.regular.comment.csv",41
"CHN195208242",27,"$Harry Chiti spiked for at least 12 stitches","1952CHN.EVN.regular.comment.csv",42
"CHN195209190",56,"pbp account ends here, rest deduced","1952CHN.EVN.regular.comment.csv",43
"CHN195209200",58,"ej,riced101,P,warnl101,Balls and strikes Del Rice ejected by HP umpire Lon Warneke","1952CHN.EVN.regular.comment.csv",44
"CHN195209200",59,"ej,hemus101,P,secof101,Call at 3B Solly Hemus ejected by 3B umpire Frank Secory","1952CHN.EVN.regular.comment.csv",45
