"KC1196604190",1,"Debut game for Chuck Dobson","FILENAME_TX","LINE_NUMBER_CT"
"KC1196604230",69,"Debut game for Lee Elia","1966KC1.EVA.regular.comment.csv",2
"KC1196605100",87,"missing play in KC1196605100","1966KC1.EVA.regular.comment.csv",3
"KC1196605110",79,"missing play in KC1196605110","1966KC1.EVA.regular.comment.csv",4
"KC1196605140",3,"418 feet","1966KC1.EVA.regular.comment.csv",5
"KC1196605151",67,"Lights on 3:40","1966KC1.EVA.regular.comment.csv",6
"KC1196605152",45,"32 minute rain delay","1966KC1.EVA.regular.comment.csv",7
"KC1196606200",32,"$Roger Repoz tried to advance on an overthrow","1966KC1.EVA.regular.comment.csv",8
"KC1196606300",34,"missing play in KC1196606300","1966KC1.EVA.regular.comment.csv",9
"KC1196606300",59,"$Ken Sanders ran down Frank Robinson between 3B and home and then threw to 2B","1966KC1.EVA.regular.comment.csv",10
"KC1196607080",62,"Debut game for Tim Talton","1966KC1.EVA.regular.comment.csv",11
"KC1196607102",27,"missing play in KC1196607102","1966KC1.EVA.regular.comment.csv",12
"KC1196607150",46,"$Jake Gibbs knocked the ball loose","1966KC1.EVA.regular.comment.csv",13
"KC1196607160",15,"$hit 3B bag","1966KC1.EVA.regular.comment.csv",14
"KC1196607171",66,"$steal of 3B during intentional walk; Bert Campaneris spiked by 3B umpire Bill Kinnamon","1966KC1.EVA.regular.comment.csv",15
"KC1196607311",75,"missing play in KC1196607311","1966KC1.EVA.regular.comment.csv",16
"KC1196608020",48,"ej,vinca101,C,hallb901,Balk non-call $Athletics coach Vincent ejected by HP umpire Haller for arguing pitcher had balked","1966KC1.EVA.regular.comment.csv",17
"KC1196608040",56,"ej,darka101,M,ashfe901,Call at 3B $Athletics manager Dark ejected by 3B umpire Emmett Ashford for arguing that King was out at 3rd","1966KC1.EVA.regular.comment.csv",18
"KC1196608110",37,"ej,elial101,P,nappl901,Call at 2B ej,stane101,M,nappl901,Call at 2B $Shortstop Elia and White Sox manager Stanky ejected by 2B umpire Napp for arguing that Elia had stayed on 2nd base to retire Cater","1966KC1.EVA.regular.comment.csv",19
"KC1196608110",89,"missing play in KC1196608110","1966KC1.EVA.regular.comment.csv",20
"KC1196608300",23,"ej,howae101,P,kinnb901,Interference non-call Elston Howard ejected by HP umpire Bill Kinnamon for claiming interference on steal","1966KC1.EVA.regular.comment.csv",21
"KC1196608312",0,"ej,darka101,M,umonf901,Balls and strikes Athletics Manager Al Dark ejected by HP umpire Frank Umont sometime in game","1966KC1.EVA.regular.comment.csv",22
"KC1196609030",20,"Debut game for Rick Monday","1966KC1.EVA.regular.comment.csv",23
"KC1196609030",21,"Debut game for Sal Bando","1966KC1.EVA.regular.comment.csv",24
"KC1196609030",48,"missing play in KC1196609030","1966KC1.EVA.regular.comment.csv",25
"KC1196609030",67,"Debut game for Bill Edgerton","1966KC1.EVA.regular.comment.csv",26
"KC1196609030",75,"missing play in KC1196609030","1966KC1.EVA.regular.comment.csv",27
"KC1196609042",4,"$Rico Petrocelli out on appeal for missing the plate","1966KC1.EVA.regular.comment.csv",28
"KC1196609050",50,"missing play in KC1196609050","1966KC1.EVA.regular.comment.csv",29
"KC1196609050",74,"missing play in KC1196609050","1966KC1.EVA.regular.comment.csv",30
"KC1196609070",64,"missing play in KC1196609070","1966KC1.EVA.regular.comment.csv",31
"KC1196609100",70,"Debut game for George Korince","1966KC1.EVA.regular.comment.csv",32
"KC1196609100",78,"Debut game for Don Pepper","1966KC1.EVA.regular.comment.csv",33
"KC1196609110",61,"ej,penao101,P,chyln901,Bench jockeying Orlando Pena ejected by HP umpire Nestor Chylak","1966KC1.EVA.regular.comment.csv",34
"KC1196609220",76,"missing play in KC1196609220","1966KC1.EVA.regular.comment.csv",35
