"DET197704070",3,"$upper deck HR","FILENAME_TX","LINE_NUMBER_CT"
"DET197704070",6,"Debut game for Joe Zdeb","1977DET.EVA.regular.comment.csv",2
"DET197704070",60,"Debut game for Steve Kemp","1977DET.EVA.regular.comment.csv",3
"DET197704090",52,"Debut game for Bob Sykes","1977DET.EVA.regular.comment.csv",4
"DET197705070",69,"$John Wockenfuss scored during the rundown","1977DET.EVA.regular.comment.csv",5
"DET197705290",40,"upper deck","1977DET.EVA.regular.comment.csv",6
"DET197705290",71,"upper deck","1977DET.EVA.regular.comment.csv",7
"DET197705300",49,"Upper deck","1977DET.EVA.regular.comment.csv",8
"DET197705310",29,"42 minute rain delay","1977DET.EVA.regular.comment.csv",9
"DET197705310",67,"facing of third deck","1977DET.EVA.regular.comment.csv",10
"DET197706140",47,"upper deck","1977DET.EVA.regular.comment.csv",11
"DET197706140",51,"upper deck","1977DET.EVA.regular.comment.csv",12
"DET197706210",32,"upper deck","1977DET.EVA.regular.comment.csv",13
"DET197706210",40,"upper deck","1977DET.EVA.regular.comment.csv",14
"DET197706250",27,"$Jim Norris called for interference with Tito Fuentes","1977DET.EVA.regular.comment.csv",15
"DET197706290",71,"$Tom Murphy entered with a 2-0 count on Aurelio Rodriguez, but the walk was charged to Ramon Hernandez","1977DET.EVA.regular.comment.csv",16
"DET197707080",58,"1:15 rain delay","1977DET.EVA.regular.comment.csv",17
"DET197707090",22,"$Jim Spencer caught Ron LeFlore with the hidden ball trick","1977DET.EVA.regular.comment.csv",18
"DET197707090",27,"$Richie Zisk hurt on the play","1977DET.EVA.regular.comment.csv",19
"DET197707100",83,"Debut game for Bob Adams","1977DET.EVA.regular.comment.csv",20
"DET197707100",85,"ej,lemoc001,P,evanj901,Fighting after knockdown pitch $Lemonn ejected by HP umpire Evans for fighting with catcher after knockdown pitch","1977DET.EVA.regular.comment.csv",21
"DET197708052",66,"Debut game for Bruce Taylor","1977DET.EVA.regular.comment.csv",22
"DET197708091",12,"ej,moned101,P,hendt901,Call at 2B Don Money ejected by 2B umpire Ted Hendry","1977DET.EVA.regular.comment.csv",23
"DET197709030",37,"Debut game for Matt Keough","1977DET.EVA.regular.comment.csv",24
"DET197709040",64,"ej,sangm101,P,reilm901,Call at 1B Manny Sanguillen ejected by 1B umpire Mike Reilly","1977DET.EVA.regular.comment.csv",25
"DET197709051",55,"Debut game for Mike Parrott","1977DET.EVA.regular.comment.csv",26
"DET197709052",19,"Debut game for Lance Parrish","1977DET.EVA.regular.comment.csv",27
"DET197709072",29,"Debut game for Randy Miller","1977DET.EVA.regular.comment.csv",28
"DET197709230",69,"$Bill Lee: 79 pitches, 60 strikes","1977DET.EVA.regular.comment.csv",29
"DET197709240",26,"38 minute rain delay","1977DET.EVA.regular.comment.csv",30
"DET197709250",0,"Aurelio Rodriguez injured sometime during the top of the first","1977DET.EVA.regular.comment.csv",31
