"CHN193504160",8,"vicious drive off p shin, bounced almost to base line; p badly hurt; carried off field; bad bruise on left ankle","FILENAME_TX","LINE_NUMBER_CT"
"CHN193504160",66,"3b high leap kept high ss relay throw from going into dugout","1935CHN.EVN.regular.comment.csv",2
"CHN193504180",48,"light drizzling rain started","1935CHN.EVN.regular.comment.csv",3
"CHN193504190",30,"$great catch against screen; rammed right foot into screen; game stopped for medical treatment","1935CHN.EVN.regular.comment.csv",4
"CHN193504190",55,"$pitcher Lee's shoulder slightly injured","1935CHN.EVN.regular.comment.csv",5
"CHN193504200",3,"two strikes; U Quigley ruled stopped swing at third pitch; vigorous Cubs protest; struck out on next pitch","1935CHN.EVN.regular.comment.csv",6
"CHN193504210",96,"$Clay Bryant was attempting to sacrifice","1935CHN.EVN.regular.comment.csv",7
"CHN193504290",34,"$Waite Hoyt called out on appeal for leaving 3B early","1935CHN.EVN.regular.comment.csv",8
"CHN193504290",43,"ej,joinr101,P,klemb901,Fighting ej,jurgb101,P,klemb901,Fighting ej,bushg101,P,klemb901,Fighting ej,lavac101,P,klemb901,Fighting $Cookie Lavagetto slid into 2B and started fighting Billy Jurges; Lavagetto claimed he was spiked by Jurges; both benches cleared with Pirates led by ex-Cub Guy Bush, who started fighting Roy Joiner, who was bleeding from the nose and jaw when pulled away by four teammates; Bush was held on the ground by three teammates; Charlie Grimm went to Pirate dugout, inquiring about Bush's using a razor then charged Bush; Grimm was stopped by Dr John F Davis, Cubs physician, and Charley Root; Roy Joiner, Billy Jurges, Guy Bush and Cookie Lavagetto ejected by HP umpire Bill Klem; both benches about abusive language","1935CHN.EVN.regular.comment.csv",9
"CHN193504300",3,"$Billy Herman rounded 1B too far","1935CHN.EVN.regular.comment.csv",10
"CHN193505210",39,"$high over wall; bounced across Sheffield Ave; hit front of house","1935CHN.EVN.regular.comment.csv",11
"CHN193506012",28,"$Pitcher caught popped up bunt and touched his glove to the ground as if he had dropped, then threw to second to try to start double play; relay to first retired Durocher who was  not on bag; umpires ruled bunt was caught","1935CHN.EVN.regular.comment.csv",12
"CHN193506012",50,"$Herman had strayed off base","1935CHN.EVN.regular.comment.csv",13
"CHN193506020",62,"$Frisch lame and had to leave","1935CHN.EVN.regular.comment.csv",14
"CHN193506050",16,"lf missed shoestring catch, ball rolled to wall","1935CHN.EVN.regular.comment.csv",15
"CHN193506050",68,"1b drop; 2b caught, but bounced out of glove; 1b caught","1935CHN.EVN.regular.comment.csv",16
"CHN193506291",86,"$Hoyt tried for Stainback at 3rd, but threw ball into dugout, allowing only run to score","1935CHN.EVN.regular.comment.csv",17
"CHN193507042",51,"$Ball hit Lindstrom as he left batter's box.","1935CHN.EVN.regular.comment.csv",18
"CHN193507110",4,"$Lost in sun","1935CHN.EVN.regular.comment.csv",19
"CHN193507150",43,"$Phil Cavarretta thought there were already 2 outs","1935CHN.EVN.regular.comment.csv",20
"CHN193507150",69,"DWS: pbp ends here, rest from Tribune","1935CHN.EVN.regular.comment.csv",21
"CHN193507190",60,"DWS: pbp ends here, rest from Tribune and Times","1935CHN.EVN.regular.comment.csv",22
"CHN193507190",63,"$might have been a triple but fans jumped from the boxes and beat Mel Ott to the ball","1935CHN.EVN.regular.comment.csv",23
"CHN193507211",7,"Also used Chicago Tribune and NY Times.","1935CHN.EVN.regular.comment.csv",24
"CHN193507211",8,"Many doubles into crowd on field.","1935CHN.EVN.regular.comment.csv",25
"CHN193507220",41,"$Jimmy Jordan and Billy Jurges collided at 1B","1935CHN.EVN.regular.comment.csv",26
"CHN193507220",41,"$Babe Phelps struck on thumb by foul ball","1935CHN.EVN.regular.comment.csv",27
"CHN193507232",22,"ej,grimc101,M,quige901,Balls and strikes ej,lindf101,P,quige901,Balls and strikes Cubs Manager Charlie Grimm and Freddie Lindstrom ejected by HP umpire Ernie Quigley","1935CHN.EVN.regular.comment.csv",28
"CHN193507260",10,"$Phil Cavaretta was off the bag","1935CHN.EVN.regular.comment.csv",29
"CHN193507271",42,"$Billy Myers batted out of turn in Tony Freitas' spot","1935CHN.EVN.regular.comment.csv",30
"CHN193507271",44,"$Cubs manager Charlie Grimm talked to HP umpire Cy Rigler about the Reds batting out of turn; Rigler told Grimm he was too late","1935CHN.EVN.regular.comment.csv",31
"CHN193507280",74,"$Billy Herman called for interference","1935CHN.EVN.regular.comment.csv",32
"CHN193508060",20,"$Paul Waner beat the throw to 1B but return throw in time at 2B","1935CHN.EVN.regular.comment.csv",33
"CHN193508070",40,"ej,frenl101,P,stard901,Call at 1B $Pitcher French ejected by 1B umpire Stark for arguing that Vaughan was out at 1st","1935CHN.EVN.regular.comment.csv",34
"CHN193508110",27,"ej,johnr103,CHN,C,searz901,Call at 2B $Chicago coach Roy Johnson ejected by 3b umpire Sears for about the close play at second","1935CHN.EVN.regular.comment.csv",35
"CHN193509022",30,"$missed squueze","1935CHN.EVN.regular.comment.csv",36
"CHN193509070",18,"ej,lobeh101,C,barrg901,Balls and strikes ej,jorgo101,P,barrg901,Balls and strikes ej,primr101,P,barrg901,Balls and strikes $Orville Jorgens, Phillies Coach Hans Lobert and Ray Prim ejected by HP umpire George Barr","1935CHN.EVN.regular.comment.csv",37
"CHN193509140",7,"$catcher Al Lopez made a wild return throw to pitcher Johnny Babich","1935CHN.EVN.regular.comment.csv",38
"CHN193509160",25,"$Frank Demaree caught the ball over the wall","1935CHN.EVN.regular.comment.csv",39
"CHN193509160",62,"DWS: end of pbp","1935CHN.EVN.regular.comment.csv",40
