"PHI191904230",49,"$Jacobs hit an apparent triple, but missed second base","FILENAME_TX","LINE_NUMBER_CT"
"PHI191904300",172,"$Game called for darkness","1919PHI.EVN.regular.comment.csv",2
"PHI191905130",23,"ej,bezdh801,M,byrol901,Balls and strikes $Pirate manager Bezdek ejected by Byron for arguing a called ball; the crowd had laughed at the umpire's call","1919PHI.EVN.regular.comment.csv",3
"PHI191905130",28,"$Carey had an abcess under his right arm which had been lanced that morning","1919PHI.EVN.regular.comment.csv",4
"PHI191905130",34,"attempted double steal","1919PHI.EVN.regular.comment.csv",5
"PHI191905130",50,"that's correct","1919PHI.EVN.regular.comment.csv",6
"PHI191905130",51,"$Saier was beaned and dropped to the ground but continued","1919PHI.EVN.regular.comment.csv",7
"PHI191905140",0,"$3 sign painters worked near the top of the RF wall during the game","1919PHI.EVN.regular.comment.csv",8
"PHI191905140",61,"$Mollwitz took a lead preparing for a double steal and put his arm up while trying to avoid Adams' throw; the ball went into LF but Mollwitz was called out for interference","1919PHI.EVN.regular.comment.csv",9
"PHI191905150",10,"ej,bezdh801,M,harrp901,Call at 2B ej,stenc101,P,harrp901,Call at 2B $Stengel and Mgr Bezdek ejected for arguing call at 2B; it took 15 minutes to restore order","1919PHI.EVN.regular.comment.csv",10
"PHI191905150",14,"$Zitzman threw his bat striking Schmidt on the thumb","1919PHI.EVN.regular.comment.csv",11
"PHI191905190",77,"Probably defensive indifference.","1919PHI.EVN.regular.comment.csv",12
"PHI191905230",0,"$Eppa Rixey signed with the Phillies today and will report to the club as soon as he has been mustered out of the Army","1919PHI.EVN.regular.comment.csv",13
"PHI191905230",8,"throw by Killefer","1919PHI.EVN.regular.comment.csv",14
"PHI191905230",19,"$Sicking started out after Killefer's fly, tripped and injured his ankle; Cravath carried him to the clubhouse","1919PHI.EVN.regular.comment.csv",15
"PHI191905230",35,"$Killefer missed the throw home","1919PHI.EVN.regular.comment.csv",16
"PHI191905230",50,"$the game was halted while the bleacher fans rushed to the grandstand to get out of the rain","1919PHI.EVN.regular.comment.csv",17
"PHI191905240",7,"Merkle was called out for running out of the baseline","1919PHI.EVN.regular.comment.csv",18
"PHI191905240",17,"$the pitch that Whitted hit has high and outside","1919PHI.EVN.regular.comment.csv",19
"PHI191905240",25,"$Pick & Merkle let the ball drop between them","1919PHI.EVN.regular.comment.csv",20
"PHI191905240",41,"Deal, coaching at 3B, sent Killefer home; he was out by 15ft","1919PHI.EVN.regular.comment.csv",21
"PHI191905260",80,"$Pearce out on Cady's interference","1919PHI.EVN.regular.comment.csv",22
"PHI191906241",76,"pbp account ends here, rest deduced","1919PHI.EVN.regular.comment.csv",23
"PHI191907071",57,"Kauff lost the ball in the sun.","1919PHI.EVN.regular.comment.csv",24
"PHI191907071",63,"Pearce lost the ball in the sun.","1919PHI.EVN.regular.comment.csv",25
"PHI191907071",72,"Infield hit. Chase rounded first and caught off base. Kauff tried to score, but was thrown out at the plate.","1919PHI.EVN.regular.comment.csv",26
"PHI191907091",40,"that's what it says","1919PHI.EVN.regular.comment.csv",27
"PHI191907140",55,"Not clear when Zitzman and Allen entered.","1919PHI.EVN.regular.comment.csv",28
"PHI191907192",55,"Game called for darkness after rain delay","1919PHI.EVN.regular.comment.csv",29
"PHI191907231",17,"$Whitted slid past Schmidt","1919PHI.EVN.regular.comment.csv",30
"PHI191907231",46,"$Meusel reached 2B on the play but failed to touch 1B","1919PHI.EVN.regular.comment.csv",31
"PHI191907232",27,"$Paulette thought Stengel had caught the ball and turned back to 1B","1919PHI.EVN.regular.comment.csv",32
"PHI191907232",41,"hit and run","1919PHI.EVN.regular.comment.csv",33
"PHI191907240",38,"$Krueger hurt in collison at home","1919PHI.EVN.regular.comment.csv",34
"PHI191907240",45,"DWS: last two plays really one continuous action","1919PHI.EVN.regular.comment.csv",35
"PHI191907240",79,"$Meusel has sore arm so manage Cravath replaced him with fresh outfilder in anticipation of a play at home","1919PHI.EVN.regular.comment.csv",36
"PHI191907280",68,"Scoresheet doesn't show sacrifice.","1919PHI.EVN.regular.comment.csv",37
"PHI191908151",3,"Ball tapped in front of plate.","1919PHI.EVN.regular.comment.csv",38
"PHI191908151",70,"This may heve been a gound out, pbp not clear on putout.","1919PHI.EVN.regular.comment.csv",39
"PHI191908151",73,"Hornsby's fourth hit.","1919PHI.EVN.regular.comment.csv",40
"PHI191908161",16,"$Whitted thought there were 3 outs and rolled ball to mound after ground out; Callahan kept running, but pitcher Miller retrieved ball and thew him out at 3rd","1919PHI.EVN.regular.comment.csv",41
"PHI191908161",50,"$the ball struck the 1B bag","1919PHI.EVN.regular.comment.csv",42
"PHI191908161",54,"$Williams crashed into the bleacher fence, injuring his arm; he was looking over his shoulder as he hit the fence","1919PHI.EVN.regular.comment.csv",43
"PHI191908162",21,"$the ball was deflected by Ponder","1919PHI.EVN.regular.comment.csv",44
"PHI191908162",30,"$Cravath fouled off a lot of pitches","1919PHI.EVN.regular.comment.csv",45
"PHI191908162",44,"$the ball struck the 3B bag","1919PHI.EVN.regular.comment.csv",46
"PHI191908162",47,"Luderus had rounded 2B","1919PHI.EVN.regular.comment.csv",47
"PHI191908162",55,"missing play in PHI1908162","1919PHI.EVN.regular.comment.csv",48
"PHI191908162",67,"$the pitch bounced into the grandstand","1919PHI.EVN.regular.comment.csv",49
"PHI191908190",73,"$Meadows muffed Tragesser's return throw after an attempted pick off at 1B","1919PHI.EVN.regular.comment.csv",50
"PHI191908202",65,"ej,hollc101,P,emslb101,Call at 1B $the ball caromed off Luderus; Hollocher protested the call at 1B and was ejected by Emslie","1919PHI.EVN.regular.comment.csv",51
"PHI191908202",72,"$Bounce HR that caromed off Williams' hands into the clubhouse passageway; Deal stopped at 2B but the Cubs protested and the ball was ruled a home run","1919PHI.EVN.regular.comment.csv",52
"PHI191908210",11,"$Rain delay.","1919PHI.EVN.regular.comment.csv",53
"PHI191908210",24,"Lost in the sun.","1919PHI.EVN.regular.comment.csv",54
"PHI191908210",61,"Rest of game from 8/22 Phi. Inq. and Retrosheet box score.","1919PHI.EVN.regular.comment.csv",55
"PHI191908210",76,"Cubs used infield shift against Williams all game.","1919PHI.EVN.regular.comment.csv",56
"PHI191908261",61,"Hit and Run with both runners going","1919PHI.EVN.regular.comment.csv",57
"PHI191908261",79,"Ball bounced into left-field bleachers","1919PHI.EVN.regular.comment.csv",58
"PHI191908262",22,"$Rath started back of 3rd","1919PHI.EVN.regular.comment.csv",59
"PHI191909260",58,"Remainder of game from 9/27 Brooklyn Eagle.","1919PHI.EVN.regular.comment.csv",60
