"BOS199004250",32,"$Claudell Washington fell into the stands","FILENAME_TX","LINE_NUMBER_CT"
"BOS199004250",65,"ej,davic001,P,roe-r901,Balls and strikes (Threw bat) Chili Davis ejected by HP umpire Rocky Roe for throwing his bat after striking out","1990BOS.EVA.regular.comment.csv",2
"BOS199004280",73,"Debut game for Darryl Irvine","1990BOS.EVA.regular.comment.csv",3
"BOS199004300",59,"1:06 rain delay","1990BOS.EVA.regular.comment.csv",4
"BOS199004300",67,"$Dave Valle struck by foul ball","1990BOS.EVA.regular.comment.csv",5
"BOS199005200",11,"$routine fly to left; Gagne slipped on wet turf","1990BOS.EVA.regular.comment.csv",6
"BOS199005200",80,"$Kirby Puckett made a leaping catch at the wall","1990BOS.EVA.regular.comment.csv",7
"BOS199005210",53,"Rule 10.18(i) problem; we have made adjustment Mielke and Jeffcoat ER totals will not agree with officials","1990BOS.EVA.regular.comment.csv",8
"BOS199005230",50,"$line drive hit 2B umpire Dale Scott","1990BOS.EVA.regular.comment.csv",9
"BOS199006060",16,"$Tony Pena rounded 1B too far","1990BOS.EVA.regular.comment.csv",10
"BOS199006070",51,"originally scored E6","1990BOS.EVA.regular.comment.csv",11
"BOS199006110",49,"$Greg Swindell left with injury","1990BOS.EVA.regular.comment.csv",12
"BOS199006220",39,"$Randy Milligan slipped and made bad throw","1990BOS.EVA.regular.comment.csv",13
"BOS199006230",72,"$Steve Finley hit on head","1990BOS.EVA.regular.comment.csv",14
"BOS199006290",7,"ej,robst101,C,morrd901,Fan interference call ej,valeb102,M,morrd901,Fan interference call Rangers manager Bobby Valentine and coach Tom Robson ejected by HP umpire Dan Morrison when runner from 1B allowed to score on fan interference call in RF","1990BOS.EVA.regular.comment.csv",15
"BOS199006290",52,"2:21 rain delay","1990BOS.EVA.regular.comment.csv",16
"BOS199006290",62,"$Julio Franco left with hamstring problem","1990BOS.EVA.regular.comment.csv",17
"BOS199007150",81,"Debut game for Tim Naehring","1990BOS.EVA.regular.comment.csv",18
"BOS199007310",63,"$Ivan Calderon injured hand playing Luis Rivera's hit","1990BOS.EVA.regular.comment.csv",19
"BOS199008040",69,"ej,reedj003,P,mckej901,Balls and strikes (Threw equipment) Jody Reed ejected by 1B umpire Jim McKean for throwing equipment after striking out","1990BOS.EVA.regular.comment.csv",20
"BOS199008050",23,"$Jody Reed rounded 3B too far","1990BOS.EVA.regular.comment.csv",21
"BOS199008180",2,"Debut game for Pete Coachman","1990BOS.EVA.regular.comment.csv",22
"BOS199008190",74,"ej,parrl001,P,reedr901,Dropped bat on plate after called strike Lance Parrish ejected by HP umpire Rick Reed after dropping his bat on HP when the third pitch was called a strike","1990BOS.EVA.regular.comment.csv",23
"BOS199008210",77,"Debut game for Phil Plantier","1990BOS.EVA.regular.comment.csv",24
"BOS199009010",46,"$Mel Hall left after running into the wall","1990BOS.EVA.regular.comment.csv",25
"BOS199009010",48,"$Jesse Barfield hurt running into wall on homer","1990BOS.EVA.regular.comment.csv",26
"BOS199009020",40,"$ball bounced into stands but ruled a triple","1990BOS.EVA.regular.comment.csv",27
"BOS199009030",7,"$Terry Steinbach hurt on 2-2 foul ball","1990BOS.EVA.regular.comment.csv",28
"BOS199009050",77,"Debut game for Steve Chitren Debut game for Scott Cooper","1990BOS.EVA.regular.comment.csv",29
"BOS199009070",59,"Light rain begins to fall at this point","1990BOS.EVA.regular.comment.csv",30
"BOS199009080",1,"Debut game for Rich DeLucia","1990BOS.EVA.regular.comment.csv",31
"BOS199009080",64,"Debut game for Dave Burba","1990BOS.EVA.regular.comment.csv",32
"BOS199009080",72,"Debut game for Mike Gardiner","1990BOS.EVA.regular.comment.csv",33
"BOS199009110",56,"ej,morgj101,M,mccol901,Interference non-call $Red Sox manager Morgan ejected by HP umpire McCoy for arguing that Molitor was hit in fair territory by a ball he bunted and should have been out for interference","1990BOS.EVA.regular.comment.csv",34
"BOS199009110",79,"DWS: invented play","1990BOS.EVA.regular.comment.csv",35
"BOS199009290",47,"ej,ciscg101,C,cobld901,Balls and strikes $Blue Jays coach Cisco ejected by HP umpire Coble while Greenwell was at bat","1990BOS.EVA.regular.comment.csv",36
