"TBA201204060",85,"$Eduardo Nunez played as a fifth infielder","FILENAME_TX","LINE_NUMBER_CT"
"TBA201204070",61,"replay,7,longe001,TBA,westj901,STP01,I,Y,I,,H $a fan wearing a Rays cap and a Yankees jersey reached over the fence with his glove and caught Evan Longoria's fly ball; 1B umpire Andy Fletcher ruled it a home run; the view from the infield was not conclusive but could have been a homer; Yankees RF Nick Swisher pointed at the fan immediately; manager Joe Girardi came onto the field to talk with the umpires about the call; crew chief Joe West watched the replay and overturned the call to a double; the camera in the RF corner clearly showed that the fan reached over the fence but that Swisher would not have been able to catch the ball, thus Longoria was not ruled out on the interference","2012TBA.EVA.regular.comment.csv",2
"TBA201204080",30,"Rays designated hitter Luke Scott left the game due to an injured leg","2012TBA.EVA.regular.comment.csv",3
"TBA201204080",39,"fan interference","2012TBA.EVA.regular.comment.csv",4
"TBA201204300",27,"Rays third baseman Evan Longoria left the game due to an injured knee","2012TBA.EVA.regular.comment.csv",5
"TBA201204300",71,"Mariners catcher Miguel Olivo left the game due to a strained groin suffered while fielding the ball in front of the plate","2012TBA.EVA.regular.comment.csv",6
"TBA201205020",4,"$originally scored as single, changed to E6 on 5-04","2012TBA.EVA.regular.comment.csv",7
"TBA201205020",46,"Rays center fielder B. J. Upton left the game due to an injured leg","2012TBA.EVA.regular.comment.csv",8
"TBA201205050",88,"$Ben Zobrist called for interference","2012TBA.EVA.regular.comment.csv",9
"TBA201205060",22,"Rays left fielder Desmond Jennings left the game due to an injured knee","2012TBA.EVA.regular.comment.csv",10
"TBA201205160",70,"$Will Rhymes was hit on the right forearm by a Franklin Morales fast ball (95 mph); there was swelling immediately with the stitch marks from the ball visible on his arm; he went to 1B but then fainted as 1B coach George Hendrick tried to hold him up; Rhymes was taken off the field and his arm x-rayed; he fainted due to an adrenaline rush","2012TBA.EVA.regular.comment.csv",11
"TBA201205170",60,"ej,avilm001,P,belld901,Called third strike Red Sox shortstop Mike Aviles ejected by HP umpire Dan Bellino","2012TBA.EVA.regular.comment.csv",12
"TBA201205180",65,"Braves third baseman Chipper Jones left the game due to an injured leg","2012TBA.EVA.regular.comment.csv",13
"TBA201205200",67,"$Carlos Pena was struck by Luke Scott's batted ball","2012TBA.EVA.regular.comment.csv",14
"TBA201205210",5,"replay,1,uptob001,TBA,westj901,STP01,O,Y,I,,H $B.J. Upton's high fly hit a catwalk at Tropicana Field; the ball dropped in the outfield about 30 feet in front of CF Colby Rasmus, who was near the warning track; Upton reached 2B on the play and talked to the umpires saying that the ball hit one of the catwalks that the ground rules designate as a home run; Rays manager Joe Maddon talked with crew chief Joe West, who watched the replay and overturned the call to a home run","2012TBA.EVA.regular.comment.csv",15
"TBA201205220",28,"umpchange,4,ump1b,drakr901 umpchange,4,ump2b,(None) $1B umpire Andy Fletcher was struck on the left elbow by a line drive by Brett Lawrie; Fletcher left the field to be examined by the Rays trainers; he returned in the top of the fifth","2012TBA.EVA.regular.comment.csv",16
"TBA201205220",38,"umpchange,5,ump1b,fleta901 umpchange,5,ump2b,drakr901","2012TBA.EVA.regular.comment.csv",17
"TBA201205290",10,"$A.J. Pierzynski slid late with spikes high and speared Ben zobrist; they had words before Pierzynski left the field; this caused a reaction the next night","2012TBA.EVA.regular.comment.csv",18
"TBA201205300",22,"$retaliation for the take-out slide from the previous game in which A.J. Pierzynski spiked Ben Zobrist","2012TBA.EVA.regular.comment.csv",19
"TBA201205300",34,"ej,quinj001,P,wegnm901,Throwing at batter ej,ventr001,M,wegnm901,Throwing at batter $the first pitch to Ben Zobrist was behind him; Jose Quintana was ejected by HP umpire Mark Wegner; White Sox manager Robin Ventura came out to argue and was ejected by Wegner","2012TBA.EVA.regular.comment.csv",20
"TBA201206160",3,"$Originally scored as E5, changed to single plus E5 on 6-22-2012; earned runs not affected","2012TBA.EVA.regular.comment.csv",21
"TBA201206290",56,"Rays pitcher David Price left the game due to an injured back","2012TBA.EVA.regular.comment.csv",22
"TBA201206300",19,"Rays pitcher Jeremy Hellickson left the game due to an injured leg","2012TBA.EVA.regular.comment.csv",23
"TBA201207020",13,"Rays Hideki Matsui left the game due to an injured leg","2012TBA.EVA.regular.comment.csv",24
"TBA201207040",14,"Rays 3B Jeff Keppinger left the game due to an injured arm","2012TBA.EVA.regular.comment.csv",25
"TBA201207160",1,"replay,1,choos001,CLE,scotd901,STP01,O,Y,I,,H $Shin-Soo Choo's fly to CF struck the yellow stripe at the top of the padded fence and caromed onto the field; it was ruled a home run by 2B umpire Dan Iassogna; when Rays manager Joe Maddon asked about the ruling, crew chief Dale Scott watched the replay and overturned the call to a ball in play and a double","2012TBA.EVA.regular.comment.csv",26
"TBA201207180",65,"$the Rays thought the fourth pitch to Jason Kipnis was strike three","2012TBA.EVA.regular.comment.csv",27
"TBA201207180",66,"ej,maddj801,M,iassd901,Balls and strikes $Rays manager Joe Maddon went to the mound and waited for HP umpire Dan Iassogna to come out; Maddon talked to Iassogna about the strike zone and was ejected by Iassogna","2012TBA.EVA.regular.comment.csv",28
"TBA201207200",84,"Rays designated hitter Luke Scott left the game due to an injured back","2012TBA.EVA.regular.comment.csv",29
"TBA201207200",116,"$originally scored as double, but he did reach third, so changed next day to triple","2012TBA.EVA.regular.comment.csv",30
"TBA201207220",1,"fan interference","2012TBA.EVA.regular.comment.csv",31
"TBA201208030",30,"$B.J. Upton's 100th home run; his brother Justin hit his 100th the same night","2012TBA.EVA.regular.comment.csv",32
"TBA201208050",24,"Rays second baseman Ben Zobrist left the game due to an injured back","2012TBA.EVA.regular.comment.csv",33
"TBA201208090",75,"replay,8,longe001,TBA,cedeg901,STP01,O,N,I,,H $Evan Longoria's fly ball hit the top of the padded wall in left center and was ruled in play; when the Rays asked about the call, crew chief Gary Cederstrom watched the replay and upheld the call","2012TBA.EVA.regular.comment.csv",34
"TBA201208220",60,"$Run originally scored as earned, changed to unearned on 8-30-2012","2012TBA.EVA.regular.comment.csv",35
"TBA201208220",64,"ej,yoste001,M,barrs901,Balls and strikes $Eric Hosmer objected to the called third strike, thinking it was low; Royals Manager Ned Yost yelled from the bench and was ejected by HP umpire Scott Barry","2012TBA.EVA.regular.comment.csv",36
"TBA201209030",64,"ej,maddj801,M,davib902,Call at 2B Rays Manager Joe Maddon ejected by 2B umpire Bob Davidson","2012TBA.EVA.regular.comment.csv",37
"TBA201209040",34,"ej,giraj001,M,randt901,Balls and strikes $Chris Dickerson requested time as pitcher Alex Cobb started his delivery; HP umpire Tony Randazzo did not grant time; Jayson Nix was running on the pitch and catcher Jose Molina came out of his crouch to catch the pitch and throw to 2B; the Yankees thought the pitch was high and that Randazzo was blocked from seeing it by Molina; Yankees Manager Joe Girardi yelled from the bench and was told to stop by Randazzo; when Girardi yelled again he was ejected by Randazzo","2012TBA.EVA.regular.comment.csv",38
"TBA201209080",80,"ej,penac001,P,estam901,Called third strike Rays first baseman Carlos Pena ejected by HP umpire Mike Estabrook","2012TBA.EVA.regular.comment.csv",39
"TBA201209090",23,"Rangers pitcher Roy Oswalt left the game due to an injured arm","2012TBA.EVA.regular.comment.csv",40
"TBA201209230",4,"$CF Colby Rasmus stumbled in the wall after catching the ball; RF Moises Sierra stopped his run by jumping up against the wall; they both hit a gate that opened under he pressure of the two bodies colliding against the wall","2012TBA.EVA.regular.comment.csv",41
