"LAN199510040",58,"ej,mondr002,P,davib902,Balls and strikes Raul Mondesi ejected by HP umpire Bob Davidson on way to RF","FILENAME_TX","LINE_NUMBER_CT"
"CIN199510060",24,"Throw late; Fonville missed plate. Scorer indicates there may be missed pitches in next 3 ABs due to incessant replays of play at plate.","1995NLD2.EVE.post.comment.csv",2
"CIN199510060",68,"Scorer missed an error charged to Roberto Kelly in this game. It may have come on above play; error did not affect scoring.","1995NLD2.EVE.post.comment.csv",3
