"PIT194805010",62,"$Frank Baumholtz hit on the head by Danny Murtaugh's throw","FILENAME_TX","LINE_NUMBER_CT"
"PIT194805080",38,"$over the scoreboard","1948PIT.EVN.regular.comment.csv",2
"PIT194805091",81,"missing Fielding","1948PIT.EVN.regular.comment.csv",3
"PIT194805280",47,"game called for rain","1948PIT.EVN.regular.comment.csv",4
"PIT194805301",62,"DIFF: officials have this as K for batter and pitcher but that would be third out; W on 2 sheets","1948PIT.EVN.regular.comment.csv",5
"PIT194805301",65,"DIFF: officials charge this HP to Burkhart","1948PIT.EVN.regular.comment.csv",6
"PIT194806030",47,"$Danny Murtaugh called for interference with Bill Salkeld on steal attempt","1948PIT.EVN.regular.comment.csv",7
"PIT194806100",16,"ej,durol101,M,barla901,Balk call Dodgers Manager Leo Durocher ejected by 1B umpire Al Barlick","1948PIT.EVN.regular.comment.csv",8
"PIT194806100",22,"missing Fielding credit","1948PIT.EVN.regular.comment.csv",9
"PIT194806110",0,"ej,durol101,M,barla901,Resuming argument from night before Dodgers Manager Leo Durocher ejected by HP umpire Al Barlick before the game for resuming an argument from the previous day","1948PIT.EVN.regular.comment.csv",10
"PIT194806110",12,"missing Fielding credit","1948PIT.EVN.regular.comment.csv",11
"PIT194807151",17,"ej,meyeb101,M,robbs901,Checked swing (Reversed) Pirates Manager Billy Meyer ejected by HP umpire Scotty Robb arguing a checked swing call that was ruled ball four; Robb then talked with 1B umpire Artie Gore who overruled the call; Robb reversed it to a striekout","1948PIT.EVN.regular.comment.csv",12
"PIT194807152",17,"on the foot","1948PIT.EVN.regular.comment.csv",13
"PIT194807152",22,"DWS: pbp ends here, rest deduced","1948PIT.EVN.regular.comment.csv",14
"PIT194807181",7,"ej,russj102,P,barla901,Call at 1B $Russell charged 1B umpire Barlick and was ejected","1948PIT.EVN.regular.comment.csv",15
"PIT194807181",66,"$overthrow on attempt to complete DP with ball going to rail where it was retrieve to get runner from 2nd at home","1948PIT.EVN.regular.comment.csv",16
"PIT194807230",13,"$Danny Murtaugh rounded 1B too far; Ed Stevens tried to score on rundown","1948PIT.EVN.regular.comment.csv",17
"PIT194807252",71,"$game called for Sunday curfew","1948PIT.EVN.regular.comment.csv",18
"PIT194808110",35,"pbp ends here, rest deduced","1948PIT.EVN.regular.comment.csv",19
"PIT194808130",20,"Off RF screen","1948PIT.EVN.regular.comment.csv",20
"PIT194808130",23,"Bad hop through Gustine","1948PIT.EVN.regular.comment.csv",21
"PIT194808130",40,"ej,walkd101,P,gorea901,Called third strike (Threw towel) $Walker ejected by HP umpire Gore for arguing called third strike; he threw a towel from dugout","1948PIT.EVN.regular.comment.csv",22
"PIT194808130",54,"Off RF screen","1948PIT.EVN.regular.comment.csv",23
"PIT194808130",76,"Chesnes stabbed it near his left foot and raced to 1B","1948PIT.EVN.regular.comment.csv",24
"PIT194808140",26,"fan interference","1948PIT.EVN.regular.comment.csv",25
"PIT194808240",28,"ej,edwab101,P,henlb101,Bench jockeying ej,robij103,P,henlb101,Bench jockeying ej,sukec101,C,henlb101,Bench jockeying Bruce Edwards, Jackie Robinson and Dodgers Coach Clyde Sukeforth ejected by HP umpire Butch Henline","1948PIT.EVN.regular.comment.csv",26
"PIT194808250",0,"Suspend=19480921,NYC15,11,9,53 Protest=Y","1948PIT.EVN.regular.comment.csv",27
"PIT194808250",95,"suspended,19480921,NYC15,illegal substitution $Hank Behrman relieved Carl Erskine with Eddie Bockman still at HP; Bockman grounded out to end the game as a Dodgers victory; Pirates manager Billy Meyer protested that Erskine had failed to finish pitching to one batter; NL President Ford Frick agreed and ordered the game continued with Erskine facing Bockman; the game was resumed in Brooklyn on 9/21 with the same umpires","1948PIT.EVN.regular.comment.csv",28
"PIT194808262",54,"pbp account ends here, rest deduced","1948PIT.EVN.regular.comment.csv",29
"PIT194808310",5,"Off Jones' glove","1948PIT.EVN.regular.comment.csv",30
"PIT194808310",8,"Into upper RF stands","1948PIT.EVN.regular.comment.csv",31
"PIT194808310",15,"Close play","1948PIT.EVN.regular.comment.csv",32
"PIT194808310",30,"Against the shift","1948PIT.EVN.regular.comment.csv",33
"PIT194808310",60,"$Jones left with a sore arm","1948PIT.EVN.regular.comment.csv",34
"PIT194808310",61,"Thomson fumbled","1948PIT.EVN.regular.comment.csv",35
"PIT194808310",66,"Lohrke was playing directly behind 2B on the Kiner shift but the hard drive ticked off his glove into CF.","1948PIT.EVN.regular.comment.csv",36
"PIT194809020",42,"Hit and run, but Cooper missed the ball","1948PIT.EVN.regular.comment.csv",37
"PIT194809051",7,"$Major League debut for Ted Beard","1948PIT.EVN.regular.comment.csv",38
"PIT194809051",9,"Struck the wire atop LF wall and rebounded onto the field","1948PIT.EVN.regular.comment.csv",39
"PIT194809051",12,"Into RF upper deck","1948PIT.EVN.regular.comment.csv",40
"PIT194809051",22,"400' off RF wall","1948PIT.EVN.regular.comment.csv",41
"PIT194809051",67,"$Kiner broke for 2B and drew a throw; Hopp then broke for home and was trapped but returned safely to 3B when Walker tried vainly to tag him; Kiner was then trapped between 2B and 3B as Hopp again broke for home.","1948PIT.EVN.regular.comment.csv",42
"PIT194809051",69,"Into Greenberg Gardens","1948PIT.EVN.regular.comment.csv",43
"PIT194809052",18,"Into RF lower deck","1948PIT.EVN.regular.comment.csv",44
"PIT194809052",56,"Into RF stands","1948PIT.EVN.regular.comment.csv",45
"PIT194809052",57,"ej,klutc101,P,barrg901,Bench jockeying $Clyde Kluttz ejected by HP umpire George Barr for bench jockeying","1948PIT.EVN.regular.comment.csv",46
"PIT194809052",72,"Over LF wall between scoreboard and foul line","1948PIT.EVN.regular.comment.csv",47
"PIT194809262",74,"$game called for darkness","1948PIT.EVN.regular.comment.csv",48
