"CHA193504240",33,"$the ball caromed off 3B Jimmy Dykes to SS Luke Appling"FILENAME_TX","LINE_NUMBER_CT"

"CHA193504260",54,"$the throw struck Jackie Hayes on the back"1935CHA.EVA.regular.comment.csv",2

"CHA193504260",70,"$the pitch struck the bat while Al Simmons was dodging an inside pitch"1935CHA.EVA.regular.comment.csv",3

"CHA193504270",75,"$Marty Hopkins started for 3B, was trapped but reached 2B safely; Luke Sewell wandered off 1B"1935CHA.EVA.regular.comment.csv",4

"CHA193505100",14,"$George Washington left game with bone bruise from last week"1935CHA.EVA.regular.comment.csv",5

"CHA193505150",37,"U Donnelly ruled catch, though clear from press box that rf dove, slapped down ball, fell on it.  Simmons argued shaking finger at ump. Mgr Dykes joined the protest."1935CHA.EVA.regular.comment.csv",6

"CHA193505302",48,"$George Washington thought he was out at 1B and went to his position in RF; Hal Trosky rolled the ball to the mound; Odell Hale picked up the ball and tagged Washington in RF"1935CHA.EVA.regular.comment.csv",7

"CHA193505310",40,"$Boze Berger's throw struck Mule Haas on the leg and caromed into RF"1935CHA.EVA.regular.comment.csv",8

"CHA193506070",45,"Time called to chase little brown dog out of outfield"1935CHA.EVA.regular.comment.csv",9

"CHA193506070",74,"$hit on right sleeve"1935CHA.EVA.regular.comment.csv",10

"CHA193506080",8,"off glove"1935CHA.EVA.regular.comment.csv",11

"CHA193506080",13,"lower rf deck"1935CHA.EVA.regular.comment.csv",12

"CHA193506080",17,"upper deck lf stand"1935CHA.EVA.regular.comment.csv",13

"CHA193506080",19,"first pitch; far back into lower rf deck"1935CHA.EVA.regular.comment.csv",14

"CHA193506080",23,"ej,haasm101,P,ormsr901,Balls and Strikes $On 1-2 count, Haas ejected by plate umpire Ormsby for arguing balls and strikes"1935CHA.EVA.regular.comment.csv",15

"CHA193506080",30,"against scoreboard"1935CHA.EVA.regular.comment.csv",16

"CHA193506080",45,"against wall"1935CHA.EVA.regular.comment.csv",17

"CHA193506080",46,"neat stop"1935CHA.EVA.regular.comment.csv",18

"CHA193506080",55,"ss dropped pop fly"1935CHA.EVA.regular.comment.csv",19

"CHA193506080",57,"White Sox protest p yellow glove with white tape, replaced"1935CHA.EVA.regular.comment.csv",20

"CHA193506080",59,"p fall to all fours to escape line drive"1935CHA.EVA.regular.comment.csv",21

"CHA193506080",62,"came in fast"1935CHA.EVA.regular.comment.csv",22

"CHA193506080",63,"upper lf deck"1935CHA.EVA.regular.comment.csv",23

"CHA193506080",68,"leaping one-hand catch"1935CHA.EVA.regular.comment.csv",24

"CHA193506080",71,"back of 2b"1935CHA.EVA.regular.comment.csv",25

"CHA193506111",68,"ej,holbs101,P,owenb901,Fair/foul call $Catcher Holbrook ejected by HP umpire Owens for arguing that Simmons' home run was foul"1935CHA.EVA.regular.comment.csv",26

"CHA193506120",19,"dodged away from pitch, but hit it over ss"1935CHA.EVA.regular.comment.csv",27

"CHA193506120",34,"ej,blueo102,P,owenb901,Call at HP ej,harrb106,M,owenb901,Call at HP Bluege, mgr Bucky Harris ejected protesting out at plate"1935CHA.EVA.regular.comment.csv",28

"CHA193506120",47,"2b dropped throw"1935CHA.EVA.regular.comment.csv",29

"CHA193506130",16,"drive against left center scoreboard, reached 2b, failed to touch 1b, called out"1935CHA.EVA.regular.comment.csv",30

"CHA193506130",84,"ss tag runner"1935CHA.EVA.regular.comment.csv",31

"CHA193506140",97,"$Sewell left with pulled muscle incurred in top of inning"1935CHA.EVA.regular.comment.csv",32

"CHA193506150",57,"$Frank Crosetti rounded 2B too far"1935CHA.EVA.regular.comment.csv",33

"CHA193506210",38,"rain started coming down a little harder"1935CHA.EVA.regular.comment.csv",34

"CHA193506220",22,"started to rain again"1935CHA.EVA.regular.comment.csv",35

"CHA193506220",31,"rain stopped"1935CHA.EVA.regular.comment.csv",36

"CHA193506220",48,"started to rain again"1935CHA.EVA.regular.comment.csv",37

"CHA193506220",53,"sun now shining"1935CHA.EVA.regular.comment.csv",38

"CHA193506231",55,"$Melillo was spiked on caught stealing and left game"1935CHA.EVA.regular.comment.csv",39

"CHA193506270",4,"2b raced into rf"1935CHA.EVA.regular.comment.csv",40

"CHA193506270",13,"against upper railing"1935CHA.EVA.regular.comment.csv",41

"CHA193506270",50,"lower stands"1935CHA.EVA.regular.comment.csv",42

"CHA193506270",52,"first pitch; 14-game hitting streak"1935CHA.EVA.regular.comment.csv",43

"CHA193506270",53,"fumble"1935CHA.EVA.regular.comment.csv",44

"CHA193506270",57,"lower stands"1935CHA.EVA.regular.comment.csv",45

"CHA193506270",63,"3rd straight pinch hit"1935CHA.EVA.regular.comment.csv",46

"CHA193506270",65,"$Umpires forced p to remove white webbing inside glove"1935CHA.EVA.regular.comment.csv",47

"CHA193506270",74,"c raced to White Sox dugout"1935CHA.EVA.regular.comment.csv",48

"CHA193507010",11,"$Ball hit a glove in OF allowing Hemsley to take third."1935CHA.EVA.regular.comment.csv",49

"CHA193507010",14,"$Ball hit cameraman so Bell could recover it quickly."1935CHA.EVA.regular.comment.csv",50

"CHA193507030",47,"$Rain began falling"1935CHA.EVA.regular.comment.csv",51

"CHA193507030",49,"$Bejma recovered throw Bell missed."1935CHA.EVA.regular.comment.csv",52

"CHA193508020",72,"grounder to 2b, throw home caught Bonura between 3b and home Bonura knocked ball out, Bonura knocked down, c throw to p at plate, Bonura knocked ball out, safe."1935CHA.EVA.regular.comment.csv",53

"CHA193508030",95,"rain started"1935CHA.EVA.regular.comment.csv",54

"CHA193508042",28,"$Ball hit first base bag"1935CHA.EVA.regular.comment.csv",55

"CHA193508160",84,"$White Sox vigorously protested call claiming batter was safe."1935CHA.EVA.regular.comment.csv",56

"CHA193508172",43,"Two men on 2b"1935CHA.EVA.regular.comment.csv",57

"CHA193508172",48,"Play not described?"1935CHA.EVA.regular.comment.csv",58

"CHA193508172",52,"Game called, darkness"1935CHA.EVA.regular.comment.csv",59

"CHA193508201",59,"NOT 463"1935CHA.EVA.regular.comment.csv",60

"CHA193508210",11,"Phelps hurt finger and left game"1935CHA.EVA.regular.comment.csv",61

"CHA193508210",50,"$Hayes was playing in and had out at plate, but juggled ball, allowing Holbrook to score; no RBI, but no error"1935CHA.EVA.regular.comment.csv",62

"CHA193508230",80,"Myer ejected"1935CHA.EVA.regular.comment.csv",63

"CHA193508251",29,"$Combs fell while trying to avoid Rolfe who fell on him, tearing ligaments in Combs's shoulder"1935CHA.EVA.regular.comment.csv",64

"CHA193508261",63,"guessing fielding on out from description"1935CHA.EVA.regular.comment.csv",65

"CHA193508261",121,"$Luke Appling held 3B and scored after unnecessary throw"1935CHA.EVA.regular.comment.csv",66

"CHA193508262",21,"ej,chapb102,P,dinnb101,Called third strike $Chapman ejected by plate umpire Dinneen for arguing called third strike"1935CHA.EVA.regular.comment.csv",67

"CHA193508262",65,"$Game called for darkness"1935CHA.EVA.regular.comment.csv",68

"CHA193508271",32,"$1B umpire Bill Summers ruled the ball fair while HP umpire Charles Donnelly ruled foul; after consulting, they called it fair; the Yankees then argued it was a double"1935CHA.EVA.regular.comment.csv",69

"CHA193508282",68,"DWS: pbp ends here, rest deduced"1935CHA.EVA.regular.comment.csv",70

"CHA193509010",67,"$Les Tietje struck on leg by ball and was carried off the field"1935CHA.EVA.regular.comment.csv",71

"CHA193509242",17,"$Walkup deflected ball to Carey to start double play."1935CHA.EVA.regular.comment.csv",72

"CHA193509292",58,"$Game called for darkness and to allow Tigers to catch train"1935CHA.EVA.regular.comment.csv",73

