"CLE193804190",0,"Debut for umpire Eddie Rommel","FILENAME_TX","LINE_NUMBER_CT"
"CLE193804210",39,"$Odell Hale intentionally dropped the popup","1938CLE.EVA.regular.comment.csv",2
"CLE193805130",58,"$Odell Hale's throw to Frankie Pytlak forced Mike Kreevich back to 3B","1938CLE.EVA.regular.comment.csv",3
"CLE193805200",11,"$Bruce Campbell intentionally dropped the fly ball; Rick Ferrell did not run out the fly","1938CLE.EVA.regular.comment.csv",4
"CLE193805260",26,"$Jack Wilson deflected the ball to Bobby Doerr","1938CLE.EVA.regular.comment.csv",5
"CLE193806150",4,"$Earl Averill intentionally dropped the fly ball","1938CLE.EVA.regular.comment.csv",6
"CLE193806150",67,"$Moose Solters intentionally dropped the fly ball but 3B Umpire Cal Hubbard ruled the ball had been caught","1938CLE.EVA.regular.comment.csv",7
"CLE193806180",6,"$Billy Werber intentionally allowed the pop fly to drop in front of him","1938CLE.EVA.regular.comment.csv",8
"CLE193806190",26,"$Lou Finney tumbled into the Indians' dugout as he made the catch","1938CLE.EVA.regular.comment.csv",9
"CLE193806240",1,"$the ball caromed off Lyn Lary's legs into RF","1938CLE.EVA.regular.comment.csv",10
"CLE193806270",59,"$Joe Cronin intentionally dropped the popup","1938CLE.EVA.regular.comment.csv",11
"CLE193807080",68,"$the ball caromed off Ed Cole's leg to Harlond Clift","1938CLE.EVA.regular.comment.csv",12
"CLE193807090",30,"ej,bellb102,P,kolll901,Balls and strikes Beau Bell ejected by HP Umpire Lou Kolls","1938CLE.EVA.regular.comment.csv",13
"CLE193807090",88,"$Buster Mills turned left after crossing 1B","1938CLE.EVA.regular.comment.csv",14
"CLE193807100",80,"ej,kresr101,P,geish901,Call at 1B Red Kress ejected by 1B umpire Harry Geisel","1938CLE.EVA.regular.comment.csv",15
"CLE193807260",45,"$Rollie Hemsley hit on foot by pitch","1938CLE.EVA.regular.comment.csv",16
"CLE193807300",71,"$Taffy Wright injured when he fell on the embankment in front of the bleachers","1938CLE.EVA.regular.comment.csv",17
"CLE193808020",27,"$Bobby Doerr intentionally dropped the popup","1938CLE.EVA.regular.comment.csv",18
"CLE193808032",77,"$Bruce Campbell intentionally dropped the ball","1938CLE.EVA.regular.comment.csv",19
"CLE193808060",45,"rain delay","1938CLE.EVA.regular.comment.csv",20
"CLE193808070",50,"$Hal Trosky suffered injured left ankle when struck by his own foul ball","1938CLE.EVA.regular.comment.csv",21
"CLE193808160",75,"$Earl Averill intentionally dropped the fly ball","1938CLE.EVA.regular.comment.csv",22
"CLE193808170",92,"$Odell Hale intentionally dropped the popup","1938CLE.EVA.regular.comment.csv",23
"CLE193808190",11,"$the throw struck Rip Radcliff and caromed into the White Sox dugout","1938CLE.EVA.regular.comment.csv",24
"CLE193808190",37,"$Gee Walker was struck on the eye by his own foul ball","1938CLE.EVA.regular.comment.csv",25
"CLE193808200",52,"$Earl Averill made a bare handed catch but dropped the ball before he could throw it","1938CLE.EVA.regular.comment.csv",26
"CLE193808212",35,"$Boze Berger was spiked","1938CLE.EVA.regular.comment.csv",27
"CLE193808220",73,"$Ken Keltner intentionally dropped John Whitehead's bunt and Whitehead failed to run it out","1938CLE.EVA.regular.comment.csv",28
"CLE193809080",51,"$Mark Christman called for interference for running into his own bunt","1938CLE.EVA.regular.comment.csv",29
"CLE193809100",56,"$Jeff Heath's throw got away from Rollie Hemsley","1938CLE.EVA.regular.comment.csv",30
"CLE193809151",69,"ej,peacj101,P,rue-j901,Call at 1B $Johnny Peacock ejected by 1B Umpire Joe Rue when he claimed Mel Harder failed to touch 1B; he was not permitted to play in the second game","1938CLE.EVA.regular.comment.csv",31
"CLE193809182",82,"$game called due to darkness","1938CLE.EVA.regular.comment.csv",32
"CLE193809200",46,"$Poor throw by center fielder, retrieved by 1bman who threw out Case trying to score from first","1938CLE.EVA.regular.comment.csv",33
"CLE193809290",32,"pbp account ends here, rest deduced","1938CLE.EVA.regular.comment.csv",34
"CLE193810021",79,"$Feller strikes out 18 Tigers for new ML record.","1938CLE.EVA.regular.comment.csv",35
"CLE193810022",7,"$Tebbetts fell rounding third base, he and Labbs both ended  up on third with Laabs being tagged out.","1938CLE.EVA.regular.comment.csv",36
"CLE193810022",74,"$Game called for darkness","1938CLE.EVA.regular.comment.csv",37
