"WS1195805042",76,"$Game called for rain; tie game","FILENAME_TX","LINE_NUMBER_CT"
"WS1195805182",67,"$missed squeeze play","1958WS1.EVA.regular.comment.csv",2
"WS1195806101",13,"12 minute rain delay","1958WS1.EVA.regular.comment.csv",3
"WS1195806101",42,"$Camilo Pascual left with sore shoulder","1958WS1.EVA.regular.comment.csv",4
"WS1195806140",24,"$wild pitch the first of attempted intentional walk","1958WS1.EVA.regular.comment.csv",5
"WS1195807120",24,"$Herm Wehmeier left exhausted","1958WS1.EVA.regular.comment.csv",6
"WS1195807120",64,"rain delay with 2-2 count on Tito Francona","1958WS1.EVA.regular.comment.csv",7
"WS1195807120",72,"game called due to rain","1958WS1.EVA.regular.comment.csv",8
"WS1195807160",60,"ej,minom101,P,stevj901,Call at HP $Minoso ejected by HP Stevens for arguing that he was safe at home","1958WS1.EVA.regular.comment.csv",9
"WS1195807180",61,"$Jim Rivera hit on left thumb","1958WS1.EVA.regular.comment.csv",10
"WS1195807180",75,"$Debut game for Joe Albanese","1958WS1.EVA.regular.comment.csv",11
"WS1195808290",7,"$Whitey Ford left with tender elbow","1958WS1.EVA.regular.comment.csv",12
