"BAL197910100",70,"$Doug DeCinces lost the high bouncer in the lights","FILENAME_TX","LINE_NUMBER_CT"
"PIT197910120",65,"$Willie Stargell's throw hit Kiko Garcia on the back","1979WS.EVE.post.comment.csv",2
"BAL197910170",29,"$Phil Garner called for interference for colliding with Eddie Murray inside the foul line","1979WS.EVE.post.comment.csv",3
