"KCA198410020",0,"Debut for umpires Jon Bible, Randy Christal, Harold Jordan and Mike O'Dell as staff umpires strike","FILENAME_TX","LINE_NUMBER_CT"
"KCA198410030",0,"Debut for umpires Richard Denny and Carl Northnagel","1984ALCS.EVE.post.comment.csv",2
"KCA198410030",86,"$infield in","1984ALCS.EVE.post.comment.csv",3
"DET198410050",0,"Debut for umpire Dick Zivic","1984ALCS.EVE.post.comment.csv",4
