"CHA199904100",83,"Debut game for Chris Singleton","FILENAME_TX","LINE_NUMBER_CT"
"CHA199904290",30,"ej,nossj101,C,younl901,Called third strike $White Sox coach Nossek ejected by HP umpire Young for arguing called third strike on Thomas","1999CHA.EVA.regular.comment.csv",2
"CHA199905070",13,"Debut game for Carlos Lee","1999CHA.EVA.regular.comment.csv",3
"CHA199905230",83,"$Bill Simas went to the plate, pointed at and yelled at Derek Jeter; Simas claimed that either Jeter of Yankees coach Willie Randolph yelled balk, thus causing Simas to hesitate and balk","1999CHA.EVA.regular.comment.csv",4
"CHA199906090",10,"Debut game for Liu Rodriguez","1999CHA.EVA.regular.comment.csv",5
"CHA199906160",62,"ej,manuj101,M,shulj901,Call at 2B White Sox manager Jerry Manuel ejected by 2B umpire John Shulock","1999CHA.EVA.regular.comment.csv",6
"CHA199907020",53,"Debut game for Pat Daneker","1999CHA.EVA.regular.comment.csv",7
"CHA199907230",61,"ej,carum001,P,reedr901,Balls and strikes Mike Caruso ejected by HP umpire Rick Reed","1999CHA.EVA.regular.comment.csv",8
"CHA199908190",1,"Debut game for Ramon Ortiz","1999CHA.EVA.regular.comment.csv",9
"CHA199908310",79,"ej,wilsc002,P,younl901,Call at 1B Craig Wilson ejected by 1B umpire Larry Young","1999CHA.EVA.regular.comment.csv",10
"CHA199910030",49,"$Game called for rain","1999CHA.EVA.regular.comment.csv",11
