"CLE201610060",5,"replay,1,ramih003,BOS,millb901,CLE08,,Y,M,CLE,A $when Brock Holt was called safe at HP, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"FILENAME_TX","LINE_NUMBER_CT"

"CLE201610060",14,"replay,2,chisl001,CLE,millb901,CLE08,,Y,M,BOS,A $when Lonnie Chisenhall was called safe at 2B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"2016ALD2.EVE.post.comment.csv",2

"CLE201610060",17,"$Andrew Benintendi's first post-season at bat"2016ALD2.EVE.post.comment.csv",3

"CLE201610060",21,"$Roberto Perez' first post-season at bat"2016ALD2.EVE.post.comment.csv",4

"CLE201610060",62,"replay,8,ortid001,BOS,millb901,CLE08,,N,M,CLE,A $when David Ortiz was called safe at 2B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay"2016ALD2.EVE.post.comment.csv",5

"CLE201610070",44,"replay,5,guyeb001,CLE,millb901,CLE08,,Y,M,BOS,A $when Jose Ramirez was called safe at 2B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"2016ALD2.EVE.post.comment.csv",6

