"PIT196004172",43,"$Don Newcombe struck on right wrist"FILENAME_TX","LINE_NUMBER_CT"

"PIT196004172",64,"Debut game for Joe Gibbon"1960PIT.EVN.regular.comment.csv",2

"PIT196004200",36,"$off RF pole"1960PIT.EVN.regular.comment.csv",3

"PIT196004210",80,"$Dick Groat injured in play at 2B"1960PIT.EVN.regular.comment.csv",4

"PIT196004230",69,"Debut game for Mike Krsnich"1960PIT.EVN.regular.comment.csv",5

"PIT196005170",18,"$missed squeeze play"1960PIT.EVN.regular.comment.csv",6

"PIT196005170",19,"$Glen Hobbie called for interference when his bat hit the ball in front of HP"1960PIT.EVN.regular.comment.csv",7

"PIT196005170",61,"$Roberto Clemente scored during rundown"1960PIT.EVN.regular.comment.csv",8

"PIT196005190",1,"Debut game for Ray Sadecki"1960PIT.EVN.regular.comment.csv",9

"PIT196005230",51,"$off light tower"1960PIT.EVN.regular.comment.csv",10

"PIT196005250",9,"$into trees behind scoreboard (562 feet)"1960PIT.EVN.regular.comment.csv",11

"PIT196005280",66,"$Roberto Clemente hesitated on the wild pitch; he collided with catcher Jim Coker during rundown"1960PIT.EVN.regular.comment.csv",12

"PIT196005280",90,"ej,maucg101,M,barla901,Check swing $Phillies manager Mauch ejected by HP umpire Barlick for arguing check swing ball 4 to Kravitz"1960PIT.EVN.regular.comment.csv",13

"PIT196005300",0,"35 minute rain delay before start of game"1960PIT.EVN.regular.comment.csv",14

"PIT196005300",54,"verify if Clemente got an assist on the play at second."1960PIT.EVN.regular.comment.csv",15

"PIT196005300",57,"Debut game for Ron Piche"1960PIT.EVN.regular.comment.csv",16

"PIT196005300",61,"One minute rain delay"1960PIT.EVN.regular.comment.csv",17

"PIT196005310",85,"ej,nuxhj101,P,secof901,Hit by pitch on swinging strike $Reds Nuxhall, no longer in game, ejected by HP umpire Secory when Cimoli was ruled to have been hit by pitch when he swung at would have been strike 3 that hit him"1960PIT.EVN.regular.comment.csv",18

"PIT196005310",94,"ej,dottd101,P,secof101,Balls and strikes ej,mclic101,P,secof101,Bench jockeying ej,henrb101,P,secof101,Bench jockeying ej,grimb102,P,secof101,Bench jockeying ej,newcd101,P,secof101,Bench jockeying ej,purkb101,P,secof101,Bench jockeying ej,lockw101,P,secof101,Bench jockeying $Catcher Dotterer ejected by HP umpire Secory for arguing balls and strikes; following Reds also ejected by Secory for bench jockeying: McLish, Henry, Grim, Newcombe, Purkey, Lockman"1960PIT.EVN.regular.comment.csv",19

"PIT196006010",20,"ej,baile101,P,craws901,Balls and strikes Ed Bailey ejected by HP umpire Shag Crawford"1960PIT.EVN.regular.comment.csv",20

"PIT196006210",61,"ej,boyek101,P,venzt901,Call at 1B Ken Boyer ejected by 1B umpire Tony Venzon"1960PIT.EVN.regular.comment.csv",21

"PIT196006240",19,"$Jerry Kindall's drive hit the face of the clock atop the LF scoreboard, should have been home run; 3B umpire Ed Sudol and 2B umpire Vinnie Smith both lost sight of the ball"1960PIT.EVN.regular.comment.csv",22

"PIT196006240",50,"$failed suicide squueze attempt"1960PIT.EVN.regular.comment.csv",23

"PIT196006240",56,"ej,thomf103,P,boggd901,Balls and strikes Frank Thomas ejected by HP umpire Dusty Boggess; Jerry Kindall foul-tipped strike three and the Cubs thought Hal Smith did not hold onto ball"1960PIT.EVN.regular.comment.csv",24

"PIT196006250",15,"$Roberto Clemente called for interference at 2B"1960PIT.EVN.regular.comment.csv",25

"PIT196006250",27,"ej,clemr101,P,smitv101,Call at 1B Roberto Clemente ejected by 1B umpire Vinnie Smith"1960PIT.EVN.regular.comment.csv",26

"PIT196006261",11,"Debut game for Ron Santo"1960PIT.EVN.regular.comment.csv",27

"PIT196006262",34,"missing play in PIT19600626"1960PIT.EVN.regular.comment.csv",28

"PIT196006280",88,"$game called for curfew at 12:50 AM"1960PIT.EVN.regular.comment.csv",29

"PIT196006301",37,"Debut game for Earl Francis"1960PIT.EVN.regular.comment.csv",30

