"BAL201403310",10,"$Grady Sizemore's first game since 2011 due to multiple injuries","FILENAME_TX","LINE_NUMBER_CT"
"BAL201404120",0,"Debut for umpire Jeff Gosney","2014BAL.EVA.regular.comment.csv",2
"BAL201404120",34,"replay,4,lombs002,BAL,emmep901,BAL12,,N,M,TOR,C $the high throw pulled Edwin Encarnacion off the bag; Blue Jays manager John Gibbons challenged the safe call, which was allowed to stand by replay","2014BAL.EVA.regular.comment.csv",3
"BAL201404140",43,"replay,5,lombs002,BAL,millb901,BAL12,,N,M,TBA,C $Rays manager Joe Maddon challenged the safe call at 1B, which was upheld by replay","2014BAL.EVA.regular.comment.csv",4
"BAL201404250",37,"Orioles first baseman Chris Davis left the game due to an injured side","2014BAL.EVA.regular.comment.csv",5
"BAL201405011",13,"replay,2,sanct001,PIT,coope901,BAL12,,Y,M,BAL,I $when Tony Sanchez was ruled to have been hit by pitch, Orioles manager Buck Showalter challenged the call; it was overturned by replay to a foul ball","2014BAL.EVA.regular.comment.csv",6
"BAL201405100",56,"replay,7,fowld001,HOU,kellj901,BAL12,,N,M,HOU,C $when Dexter Fowler was called out at 1B, Astros manager Bo Porter challenged the ruling; it was upheld by replay","2014BAL.EVA.regular.comment.csv",7
"BAL201405120",50,"$Nick Castellanos called for interference with the catcher on a steal attempt after striking out","2014BAL.EVA.regular.comment.csv",8
"BAL201405120",59,"ej,norrb001,P,hoyej901,Intentional HBP $Bud Norris and Torri Hunter exchanged words and both benches cleared; Norris ejected by HP umpire James Hoye","2014BAL.EVA.regular.comment.csv",9
"BAL201405130",60,"replay,9,kelld001,DET,davib902,BAL12,,Y,M,DET,A $when Rajai Davis was called out at 2B, Tigers manager Brad Ausmus challenged the ruling; it was overturned by replay","2014BAL.EVA.regular.comment.csv",10
"BAL201405220",96,"Orioles third baseman Manny Machado left the game due to an injured groin","2014BAL.EVA.regular.comment.csv",11
"BAL201405240",5,"replay,1,chisl001,CLE,westj901,BAL12,,Y,M,BAL,C $when Lonnie Chisenhall was called safe at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",12
"BAL201406060",26,"$Josh Donaldson tagged Manny Machado on the chest; Machado lost his balance and threw his helmet down as he fell; Donaldson and Machado exchanged words and both benches cleared","2014BAL.EVA.regular.comment.csv",13
"BAL201406060",82,"replay,10,jonea003,BAL,vanol901,BAL12,,N,M,BAL,A $when Nick Markakis was called out at HP, Orioles manager Buck Showalter challenged the ruling; it was upheld by replay","2014BAL.EVA.regular.comment.csv",14
"BAL201406080",18,"replay,3,jasoj001,OAK,vanol901,BAL12,O,Y,U,,H $John Jaso's fly ball to CF struck the top of the padded wall and caromed back onto the field; 1B umpire Gabe Morales ruled the ball in play while 2B umpire Larry Vanover ruled it a home run; Jaso was allowed to score by the umpires; acting crew chief Vanover requested a review, which overturned the call to a ball in play","2014BAL.EVA.regular.comment.csv",15
"BAL201406080",69,"ej,abadf001,P,johna901,Fighting (Threw at batter) ej,machm001,P,johna901,Fighting (Threw bat) $after an incident two days earlier, Fernando Abad threw the first pitch at Manny Machado's knees; Machado stared at Abad; after taking a very late swing and missing the next pitch, Machado let his bat fly and stared at Abad again; the bat landed near 3B; both benches cleared; Machado and Abad were ejected by HP umpire Adrian Johnson","2014BAL.EVA.regular.comment.csv",16
