"SLN200510130",66,"$Reggie Sanders got turned around while trying to catch the ball; he landed awkwardly on his back and his head hit the ground hard"FILENAME_TX","LINE_NUMBER_CT"

"SLN200510130",66,"Cardinals left fielder Reggie Sanders left the game due to an injured back"2005NLCS.EVE.post.comment.csv",2

"HOU200510150",52,"$Jason Lane and Abraham Nunez collide"2005NLCS.EVE.post.comment.csv",3

"HOU200510160",55,"ej,larut101,M,cuzzp901,Balls and strikes $Cardinals Manager Tony La Russa ejected by HP umpire Phil Cuzzi"2005NLCS.EVE.post.comment.csv",4

"HOU200510160",60,"ej,edmoj001,P,cuzzp901,Balls and strikes $Jim Edmonds ejected by HP umpire Phil Cuzzi for arguing strike two; first time for two ejections in same post-season game since 1998"2005NLCS.EVE.post.comment.csv",5

"HOU200510160",61,"$Willy Tavaras ran up the berm to catch the ball"2005NLCS.EVE.post.comment.csv",6

"HOU200510160",69,"$Larry Walker moved to 2B on the play and then to 3B when no one called time or covered the bag"2005NLCS.EVE.post.comment.csv",7

"HOU200510170",78,"$the ball struck the windows above the train track on top of the wall"2005NLCS.EVE.post.comment.csv",8

"SLN200510190",41,"$Roy Oswalt juggled ball and threw from his knees; Adam Everett missed base but tried to tag oncoming Yadier Molina"2005NLCS.EVE.post.comment.csv",9

