"NYA198604110",1,"Debut game for Bob Tewksbury","FILENAME_TX","LINE_NUMBER_CT"
"NYA198604110",54,"Debut game for Dan Plesac","1986NYA.EVA.regular.comment.csv",2
"NYA198604120",14,"Debut game for Juan Castillo","1986NYA.EVA.regular.comment.csv",3
"NYA198604260",35,"ej,hassr001,P,tscht901,Balls and strikes ej,pinil001,M,tscht901,Balls and strikes Ron Hassey and Yankees manager Lou Piniella ejected by HP umpire Tim Tschida","1986NYA.EVA.regular.comment.csv",4
"NYA198604260",39,"Debut game for Phil Lombardi","1986NYA.EVA.regular.comment.csv",5
"NYA198605010",28,"$68 minute rain delay","1986NYA.EVA.regular.comment.csv",6
"NYA198605260",81,"ej,jackr001,P,clara901,Balls and strikes Reggie Jackson ejected by HP umpire Al Clark","1986NYA.EVA.regular.comment.csv",7
"NYA198607220",23,"ej,folit001,C,reedr901,Balls and strikes $Rangers coach Foli ejected by HP umpire Reed for arguing balls and strikes during pitching change","1986NYA.EVA.regular.comment.csv",8
"NYA198608110",45,"$Randolph left 2nd to soon, out on appeal","1986NYA.EVA.regular.comment.csv",9
"NYA198608110",62,"ej,randw001,P,mcclt901,Appeal play $Yankees Randolph ejected by 2B umpire McClelland when he continued to argue about the appeal play in the fifth","1986NYA.EVA.regular.comment.csv",10
"NYA198608220",13,"Debut game for Mark McGwire","1986NYA.EVA.regular.comment.csv",11
"NYA198609300",71,"ej,iorgg001,P,cobld901,Balls and strikes Garth Iorg ejected by HP umpire Drew Coble objecting to strike two","1986NYA.EVA.regular.comment.csv",12
