"MON199004180",21,"$Kevin Gross called for interference when the throw hit him in fair territory"FILENAME_TX","LINE_NUMBER_CT"

"MON199004180",50,"ej,wallt001,P,quicj901,Called third strike Tim Wallach ejected by HP umpire Jim Quick arguing a checked swing for strike three"1990MON.EVN.regular.comment.csv",2

"MON199005020",75,"Debut game for Mike Bell"1990MON.EVN.regular.comment.csv",3

"MON199005040",56,"Debut game for Rich Parker"1990MON.EVN.regular.comment.csv",4

"MON199005100",41,"DWS: invented play"1990MON.EVN.regular.comment.csv",5

"MON199005240",1,"ej,pinil001,M,ripps901,Balls and strikes Reds manager Lou Piniella ejected by HP umpire Steve Rippley"1990MON.EVN.regular.comment.csv",6

"MON199005260",81,"$Ken Griffey Sr hurt breaking for 2B"1990MON.EVN.regular.comment.csv",7

"MON199005270",81,"ej,dibbr001,P,pullf901,Balls and strikes Rob Dibble ejected by HP umpire Frank Pulli as he left the field"1990MON.EVN.regular.comment.csv",8

"MON199006100",17,"$Otis Nixon called for interference with catcher Tom Pagnozzi on steal attempt"1990MON.EVN.regular.comment.csv",9

"MON199006200",31,"$Tim Raines left after aggravating ankle injury"1990MON.EVN.regular.comment.csv",10

"MON199006240",66,"$benches clear after inside pitch for ball two"1990MON.EVN.regular.comment.csv",11

"MON199006290",40,"$Jim Presley jammed his elbow making diving play on Noboa hit in 3rd"1990MON.EVN.regular.comment.csv",12

"MON199007010",29,"$Tim Wallach tagged by Jim Presley as he tried to return to 2B after rounding the bag too far"1990MON.EVN.regular.comment.csv",13

"MON199007010",34,"$Lonnie Smith fumbled ball chasing it down off the wall"1990MON.EVN.regular.comment.csv",14

"MON199007020",1,"Debut game for Howard Farmer"1990MON.EVN.regular.comment.csv",15

"MON199007080",74,"$Dave Rohde left 3B too soon and was out on appeal"1990MON.EVN.regular.comment.csv",16

"MON199007250",85,"2nd error inserted to match official totals"1990MON.EVN.regular.comment.csv",17

"MON199008010",63,"ej,harrb101,M,davib902,Call at 1B ej,strad001,P,davib902,Call at 1B Darryl Strawberry and Mets manager Bud Harrelson ejected by 1B umpire Bob Davidson"1990MON.EVN.regular.comment.csv",18

"MON199008010",98,"Debut game for Mel Rojas"1990MON.EVN.regular.comment.csv",19

"MON199008110",23,"ej,rodgb102,M,bonig901,Balls and strikes Expos manager Buck Rodgers ejected by HP umpire Greg Bonin"1990MON.EVN.regular.comment.csv",20

"MON199008270",53,"ej,rodgb102,M,quicj901,Call at 2B $Expos manager Rodgers ejected by 2B umpire Quick for arguing Roberts was out at 2B"1990MON.EVN.regular.comment.csv",21

"MON199008310",52,"DWS: play invented"1990MON.EVN.regular.comment.csv",22

"MON199009010",49,"Debut game for Darren Holmes"1990MON.EVN.regular.comment.csv",23

"MON199009040",15,"ej,owens001,P,wintm901,Balls and strikes Spike Owen ejected by HP umpire Mike Winters"1990MON.EVN.regular.comment.csv",24

"MON199009120",60,"ej,torrj101,M,wendh901,Balls and strikes Cardinals manager Joe Torre ejected by HP umpire Harry Wendelstedt"1990MON.EVN.regular.comment.csv",25

"MON199009130",69,"$Otis Nixon missed 3B, out on appeal"1990MON.EVN.regular.comment.csv",26

"MON199009130",81,"ej,rodgb102,M,hirsm901,Tag play Expos manager Buck Rodgers ejected by 1B umpire Mark Hirschbeck"1990MON.EVN.regular.comment.csv",27

"MON199009130",83,"$fan interference"1990MON.EVN.regular.comment.csv",28

"MON199009140",1,"Debut game for Brian Barnes"1990MON.EVN.regular.comment.csv",29

"MON199009140",15,"DWS: invented play"1990MON.EVN.regular.comment.csv",30

"MON199009140",16,"DWS: invented play"1990MON.EVN.regular.comment.csv",31

"MON199009140",18,"DWS: invented play"1990MON.EVN.regular.comment.csv",32

"MON199009140",19,"DWS: invented play"1990MON.EVN.regular.comment.csv",33

"MON199009250",67,"$Charlie O'Brien called for interference with catcher's throw on attempted steal"1990MON.EVN.regular.comment.csv",34

"MON199009280",44,"$John Kruk sprained left knee on home run swing"1990MON.EVN.regular.comment.csv",35

"MON199010010",36,"ej,torrj101,M,davib902,Balls and strikes $Cardinals manager Torre ejected by HP Umpire Davidson for arguing balls and strikes"1990MON.EVN.regular.comment.csv",36

