"SFN200010040",24,"$the ball caromed off the stands past Derek Bell, who slipped and sprained his ankle","FILENAME_TX","LINE_NUMBER_CT"
"SFN200010040",26,"$the ball struck the LF pole","2000NLD2.EVE.post.comment.csv",2
"SFN200010050",28,"$Shawn Estes hurt his ankle, came off the bag and was tagged out","2000NLD2.EVE.post.comment.csv",3
