"TOR199604280",60,"Debut game for Felipe Crespo","FILENAME_TX","LINE_NUMBER_CT"
"TOR199605120",64,"Debut game for Marty Janzen","1996TOR.EVA.regular.comment.csv",2
"TOR199605250",35,"ej,knobc001,P,fordd901,Called third strike Chuck Knoblauch ejected by HP umpire Dale Ford","1996TOR.EVA.regular.comment.csv",3
"TOR199606120",82,"ej,oneip001,P,tscht901,Called third strike Paul O'Neill ejected by HP umpire Tim Tschida","1996TOR.EVA.regular.comment.csv",4
"TOR199606280",1,"Debut game for Jeff D'Amico","1996TOR.EVA.regular.comment.csv",5
"TOR199606300",69,"Debut game for Danny Perez","1996TOR.EVA.regular.comment.csv",6
"TOR199607190",94,"ej,bellb001,M,tscht901,Call at 3B $Tigers manager Bell ejected by 3B umpire Tschida for arguing that Sprague should be out for running out of baseline","1996TOR.EVA.regular.comment.csv",7
"TOR199607210",27,"ej,gastc101,M,barrt901,Checked swing Blue Jays manager Cito Gaston ejected by HP umpire Ted Barrett","1996TOR.EVA.regular.comment.csv",8
"TOR199609100",62,"Debut game for Jose Silva","1996TOR.EVA.regular.comment.csv",9
"TOR199609270",2,"ej,alomr001,P,hirsj901,Called third strike $Roberto Alomar argued the called third strike and HP umpire John Hirschbeck yelled back at Alomar; the argument escalated and Alomar spat on Hirschbeck; Alomar was suspended five games at the start of the 1997 season","1996TOR.EVA.regular.comment.csv",10
"TOR199609280",0,"$umpire crew chief Jim McKean kept John Hirschbeck out of the game due to the emotional confrontation between Hirschbeck and Roberto Alomar the previous day","1996TOR.EVA.regular.comment.csv",11
