"HOU197704080",6,"Debut game for Julio Gonzalez"FILENAME_TX","LINE_NUMBER_CT"

"HOU197704100",63,"ej,johnc001,P,rungp901,Charging mound after HBP Cliff Johnson started toward 1B but then charged the mound and tackled Dick Ruthven; both benches cleared; Johnson ejected by HP umpire Paul Runge"1977HOU.EVN.regular.comment.csv",2

"HOU197704100",64,"$both benches cleared after two bruchback pitches by Gene Pentz"1977HOU.EVN.regular.comment.csv",3

"HOU197704190",48,"Debut game for Floyd Bannister"1977HOU.EVN.regular.comment.csv",4

"HOU197704200",42,"$Derrell Thomas out for hitting the ball while out of the box"1977HOU.EVN.regular.comment.csv",5

"HOU197705140",55,"$Ed Kirkpatrick called for obstruction"1977HOU.EVN.regular.comment.csv",6

"HOU197705140",56,"$Joe Ferguson's 4th ball was not pitch as Kent Tekulve went to mouth"1977HOU.EVN.regular.comment.csv",7

"HOU197705150",56,"Miguel Dilone injured on steal"1977HOU.EVN.regular.comment.csv",8

"HOU197705170",51,"ej,cedec001,P,froeb901,Balls and strikes Cesar Cedeno ejected by HP umpire Bruce Froemming"1977HOU.EVN.regular.comment.csv",9

"HOU197706100",21,"Cesar Cedeno suffered bruised right forearm"1977HOU.EVN.regular.comment.csv",10

"HOU197706140",49,"Joaquin Andujar left with injured right hand; hit by line drive"1977HOU.EVN.regular.comment.csv",11

"HOU197706290",27,"ej,grift101,P,froeb901,Bench jockeying $Padres pitcher Griffin, not in game, ejected by HP umpire Froemming for yelling from dugout when both teams were warned after Cedeno was hit"1977HOU.EVN.regular.comment.csv",12

"HOU197707030",7,"Andy Messersmith hurt elbow going for Julio Gonzalez' hit"1977HOU.EVN.regular.comment.csv",13

"HOU197707120",64,"Debut game for Terry Puhl"1977HOU.EVN.regular.comment.csv",14

"HOU197707130",62,"Enos Cabell left with groin injury"1977HOU.EVN.regular.comment.csv",15

"HOU197707300",1,"Debut game for Tom Dixon"1977HOU.EVN.regular.comment.csv",16

"HOU197707300",27,"Rick Reuschel left with back muscle spasm"1977HOU.EVN.regular.comment.csv",17

"HOU197708020",53,"$Fernando Gonzalez called for interference for running outside base line"1977HOU.EVN.regular.comment.csv",18

"HOU197708300",0,"$umpire Ed Vargo missed the game due to surgery on his hand"1977HOU.EVN.regular.comment.csv",19

"HOU197708300",14,"umpchange,2,umphome,tatat901 umpchange,2,ump1b,wendh901 umpchange,2,ump3b,(None) $HP umpire Satch Davidson hit by a pitch and left game with bruised left rib cage; 1B umpire Terry Tata moved to HP and Harry Wendelstedt was the lone base umpire"1977HOU.EVN.regular.comment.csv",20

"HOU197709050",56,"Debut game for Dan Dumoulin"1977HOU.EVN.regular.comment.csv",21

"HOU197709210",67,"Debut game for Roy Thomas"1977HOU.EVN.regular.comment.csv",22

"HOU197709220",59,"Debut game for Joe Cannon"1977HOU.EVN.regular.comment.csv",23

"HOU197709220",74,"Debut game for Luis Pujols"1977HOU.EVN.regular.comment.csv",24

