"NYA199610020",57,"$Jim Leyritz left with injured elbow"FILENAME_TX","LINE_NUMBER_CT"

"TEX199610040",27,"$Tim Raines slid in ahead of the throw but wide of HP"1996ALD1.EVE.post.comment.csv",2

"TEX199610040",37,"$Infield in"1996ALD1.EVE.post.comment.csv",3

