"CHN193510040",46,"ej,baked102,C,quige901,Call at 3B $Tigers coach Baker ejected by 3B umpire Quigley for arguing that Fox was safe on pickoff at 3rd","FILENAME_TX","LINE_NUMBER_CT"
"CHN193510040",51,"ej,grimc101,M,morig101,Call at 2B $Cubs manager Grimm ejected by 2B umpire Moriarty for arguing that Cavarretta was safe at 2nd on steal attempt","1935WS.EVE.post.comment.csv",2
"CHN193510040",59,"ej,englw101,P,morig101,Bench jockeying ej,stait101,P,morig101,Bench jockeying $Cubs English and Stainback ejected by 2B umpire Moriarty for bench jockeying","1935WS.EVE.post.comment.csv",3
"CHN193510060",46,"$Lon Warneke left with an injured shoulder","1935WS.EVE.post.comment.csv",4
"DET193510070",25,"$Charlie Gehringer was trapped off 2B but got back safely","1935WS.EVE.post.comment.csv",5
