"OAK197504080",67,"Debut game for Don Hopkins"FILENAME_TX","LINE_NUMBER_CT"

"OAK197504100",1,"Debut game for Mike Norris"1975OAK.EVA.regular.comment.csv",2

"OAK197505060",10,"Debut game for Bob Allietta"1975OAK.EVA.regular.comment.csv",3

"OAK197505130",23,"$Tim Blackwell's throw was low to 3B and got away from Rico Petrocelli"1975OAK.EVA.regular.comment.csv",4

"OAK197505280",0,"Protest=V"1975OAK.EVA.regular.comment.csv",5

"OAK197505280",22,"$The Orioles protested the game saying that Gene Tenace was blocking HP before taking the throw from Reggie Jackson"1975OAK.EVA.regular.comment.csv",6

"OAK197506040",24,"ej,jackr001,P,brinj901,Called third strike Reggie Jackson ejected by HP umpire Joe Brinkman"1975OAK.EVA.regular.comment.csv",7

"OAK197506221",28,"$Bill North was picked off 1B"1975OAK.EVA.regular.comment.csv",8

"OAK197507040",68,"Debut game for Chuck Hockenbery"1975OAK.EVA.regular.comment.csv",9

"OAK197507060",14,"Debut game for Mike Miley"1975OAK.EVA.regular.comment.csv",10

"OAK197507060",59,"$Bob Allietta was hurt after the first pitch to Angel Mangual"1975OAK.EVA.regular.comment.csv",11

"OAK197507070",27,"ej,robif103,M,barnl901,Balls and strikes $Indians manager Robinson ejected by HP umpire Barnett for arguing balls and strikes while Jackson at bat"1975OAK.EVA.regular.comment.csv",12

"OAK197507120",36,"$Bill North's bunt was a pop up that fell among three fielders; Jim Palmer threw to Mark Belanger who tagged both Ted Martinez and  Bert Campaneris for the double play"1975OAK.EVA.regular.comment.csv",13

"OAK197508100",62,"ej,fiskc001,P,coont901,Call at 2B Carlton Fisk ejected by 2B umpire Terry Cooney"1975OAK.EVA.regular.comment.csv",14

"OAK197509072",77,"Debut game for Dennis Walling"1975OAK.EVA.regular.comment.csv",15

"OAK197509250",1,"Debut game for Craig Mitchell"1975OAK.EVA.regular.comment.csv",16

"OAK197509260",9,"$Bill North called for interference when he ran into his own batted ball"1975OAK.EVA.regular.comment.csv",17

