"CHN200304220",3,"Padres Mark Kotsay left the game due to an injured back","FILENAME_TX","LINE_NUMBER_CT"
"CHN200304240",28,"$Shane Victorino called for interference","2003CHN.EVN.regular.comment.csv",2
"CHN200305060",0,"15 minute delay during game","2003CHN.EVN.regular.comment.csv",3
"CHN200305090",58,"ej,larut101,M,wintm901,Balls and strikes $Cardinals manager Larussa ejected by HP umpire Winters for arguing balls and strikes while Dreq was at bat","2003CHN.EVN.regular.comment.csv",4
"CHN200305280",13,"$Pirates manager Lloyd McClendon argued the call with 1B umpire Bill Hohn","2003CHN.EVN.regular.comment.csv",5
"CHN200305280",17,"ej,mccll001,M,hohnb901,Call at 1B Pirates Manager Lloyd McClendon ejected by 1B umpire Bill Hohn for continuing to argue the play on Choi","2003CHN.EVN.regular.comment.csv",6
"CHN200305300",43,"ej,aloum001,P,gormb901,Balls and strikes Cubs Moises Alou ejected by HP umpire Brian Gorman","2003CHN.EVN.regular.comment.csv",7
"CHN200305300",61,"Debut game for Colin Porter","2003CHN.EVN.regular.comment.csv",8
"CHN200306030",8,"ej,sosas001,P,mcclt901,Using corked bat Cubs Sammy Sosa ejected by HP umpire Tim McClelland; Sosa's bat broke on groundout, umpire discovered cork inside and ejected Sosa per rule 6.06(d)","2003CHN.EVN.regular.comment.csv",9
"CHN200306070",0,"17 minute delay during game","2003CHN.EVN.regular.comment.csv",10
"CHN200306070",22,"$Cubs Hee Seop Choi left the game due to a concussion suffered in collision with Kerry Wood on popup","2003CHN.EVN.regular.comment.csv",11
"CHN200306080",72,"Debut game for David Kelton","2003CHN.EVN.regular.comment.csv",12
"CHN200306240",0,"16 minute delay when the lights went out in the 1st inning","2003CHN.EVN.regular.comment.csv",13
"CHN200306240",45,"Cubs Damian Miller left with bruised right foot","2003CHN.EVN.regular.comment.csv",14
"CHN200306240",53,"$9th time for back-to-back-to-back homers for Cubs","2003CHN.EVN.regular.comment.csv",15
"CHN200306240",67,"ej,peree002,P,fleta901,Balls and strikes ej,yoste001,M,fleta901,Balls and strikes Brewers catcher and Manager Ned Yost Eddie Perez ejected by HP umpire Andy Fletcher","2003CHN.EVN.regular.comment.csv",16
"CHN200307060",64,"Cubs Corey Patterson left the game due to an injured knee","2003CHN.EVN.regular.comment.csv",17
"CHN200307060",64,"$Eldred apparently injured before he could pitch","2003CHN.EVN.regular.comment.csv",18
"CHN200307080",0,"1:24 delay during game","2003CHN.EVN.regular.comment.csv",19
"CHN200307090",0,"1:06 delay during game","2003CHN.EVN.regular.comment.csv",20
"CHN200307110",18,"Giles hurt on bad collision with Prior to end 2nd; Giles missed All-Star game because of injury","2003CHN.EVN.regular.comment.csv",21
"CHN200307240",52,"Padilla went to bullpen to get loose again, but this is apparently not permitted and he was sent back to dugout","2003CHN.EVN.regular.comment.csv",22
"CHN200307310",58,"ej,chrij002,P,holbs901,Balls and strikes Giants Jason Christiansen ejected by HP umpire Sam Holbrook","2003CHN.EVN.regular.comment.csv",23
"CHN200308010",40,"3 hour, 4 minute rain delay","2003CHN.EVN.regular.comment.csv",24
"CHN200309010",0,"4:17 delay during game","2003CHN.EVN.regular.comment.csv",25
"CHN200309022",60,"ej,alfoa001,P,klemj901,Fair/foul call ej,aloum001,P,klemj901,Fair/foul call $Cubs Alou and Alfonseca, not in game, ejected by 3B umpire Klemm for arguing about a ball called foul during Alou's at bat","2003CHN.EVN.regular.comment.csv",26
"CHN200309030",48,"Debut game for Felix Sanchez","2003CHN.EVN.regular.comment.csv",27
"CHN200309040",29,"ej,sosas001,P,hohnb901,Checked swing Cubs Sammy Sosa ejected by HP umpire Bill Hohn for arguing a check swing","2003CHN.EVN.regular.comment.csv",28
"CHN200309040",45,"ej,rothl101,C,hohnb901,Balls and strikes Cubs Coach Larry Rothschild ejected by HP umpire Bill Hohn","2003CHN.EVN.regular.comment.csv",29
"CHN200309120",0,"49 minute delay during game","2003CHN.EVN.regular.comment.csv",30
"CHN200309140",38,"$HP umpire Steve Rippley was hit on the chin by a foul ball hit by Ray Olmedo","2003CHN.EVN.regular.comment.csv",31
"CHN200309140",60,"umpchange,9,umphome,mealj901 umpchange,9,ump2b,(None) $HP umpire Steve Rippley left with a headache caused by the foul ball off his mask in the sixth. He was taken to a local hospital for tests; there was a 13-minute delay while Jerry Meals changed into his plate gear","2003CHN.EVN.regular.comment.csv",32
"CHN200309272",56,"Debut game for J.R. House","2003CHN.EVN.regular.comment.csv",33
