"CHN201704100",10,"Dodgers left fielder Franklin Gutierrez left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"CHN201704100",33,"replay,4,lestj001,CHN,holbs901,CHI11,,Y,M,LAN,C $when Javier Baez was called safe at 2B, Dodgers manager Don Mattingly challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",2
"CHN201704100",64,"replay,8,utlec001,LAN,holbs901,CHI11,,N,M,CHN,E $when Logan Forsythe scored on a wild throw by Addison Russell, Cubs manager Joe Maddon challenged the slide at 2B by Justin Turner; the slide was judged legal by replay","2017CHN.EVN.regular.comment.csv",3
"CHN201704120",48,"replay,6,zobrb001,CHN,holbs901,CHI11,,Y,M,LAN,A $when Kris Bryant was called safe at 2B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",4
"CHN201704120",67,"$Rondon injured covering plate as Utley scored","2017CHN.EVN.regular.comment.csv",5
"CHN201704130",18,"replay,3,herne001,LAN,holbs901,CHI11,,Y,M,LAN,D $when Kyle Schwarber was ruled to have caught the fly against the ivy, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",6
"CHN201704150",29,"replay,3,contw001,CHN,westj901,CHI11,,N,M,CHN,P replay,3,contw001,CHN,westj901,CHI11,,N,M,CHN,A $when Addison Russell was called out at HP, Cubs manager Joe Maddon challenged the ruling saying Russell was safe and that catcher Francisco Cervelli blocked HP; both calls were upheld by replay","2017CHN.EVN.regular.comment.csv",7
"CHN201704160",6,"replay,1,bryak001,CHN,westj901,CHI11,,Y,M,PIT,E $when Kyle Schwarber was ruled to have made a legal slide at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay to an illegal slide and Kris Bryant was ruled out at 1B","2017CHN.EVN.regular.comment.csv",8
"CHN201704160",62,"replay,8,mccua001,PIT,westj901,CHI11,,N,M,CHN,C $when Alen Hanson was called safe at HP, Cubs manager Joe Maddon challenged the ruling; the call was upheld by replay because catcher Willson Contreras' foot was off HP","2017CHN.EVN.regular.comment.csv",9
"CHN201705020",25,"replay,3,bryak001,CHN,hudsm901,CHI11,,N,M,CHN,C $when Kris Bryant was called out at 1B, Cubs manager Joe Maddon challenged the ruling; the call was upheld by replay","2017CHN.EVN.regular.comment.csv",10
"CHN201705020",33,"replay,4,ruppc001,PHI,hudsm901,CHI11,,Y,M,PHI,A $when Tommy Joseph was called out at 2B on a pickoff attempt, Phillies manager Pete Mackanin challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",11
