"PHI191704280",31,"Not certain when McGaffigan entered."FILENAME_TX","LINE_NUMBER_CT"

"PHI191705120",45,"Not clear when Long entered."1917PHI.EVN.regular.comment.csv",2

"PHI191705140",24,"$Run scored on Brief's throw to second - no RBI"1917PHI.EVN.regular.comment.csv",3

"PHI191705140",45,"ej,baird101,P,byrol901,Called strike 3 $Baird ejected by NP umpire Byron for arguing called strike 3"1917PHI.EVN.regular.comment.csv",4

"PHI191705140",76,"$Cooper held at 3rd on ground out, but Stock started to 3rd and Coope scored when 1bman threw to second trying for Stock"1917PHI.EVN.regular.comment.csv",5

"PHI191705150",58,"ej,stocm101,P,quige901,Called third strike (Threw bat) $Stock ejected by HP umpire Quigley for arguing called third strike and throwing bat"1917PHI.EVN.regular.comment.csv",6

"PHI191705180",21,"Probably a bunt."1917PHI.EVN.regular.comment.csv",7

"PHI191705190",69,"Pinch-runner not indicated on scoresheet."1917PHI.EVN.regular.comment.csv",8

"PHI191705190",93,"Probably a bunt."1917PHI.EVN.regular.comment.csv",9

"PHI191705210",4,"Texas Leaguer"1917PHI.EVN.regular.comment.csv",10

"PHI191705210",5,"Hit & run"1917PHI.EVN.regular.comment.csv",11

"PHI191705210",16,"Singled after being knocked down by a pitch at his head"1917PHI.EVN.regular.comment.csv",12

"PHI191705210",18,"High throw to 3B"1917PHI.EVN.regular.comment.csv",13

"PHI191705210",20,"Hit & run"1917PHI.EVN.regular.comment.csv",14

"PHI191705210",31,"Williams: running catch"1917PHI.EVN.regular.comment.csv",15

"PHI191705210",45,"Close play"1917PHI.EVN.regular.comment.csv",16

"PHI191705210",48,"'Hit the tobacco sign for 2 bases and $50'"1917PHI.EVN.regular.comment.csv",17

"PHI191705210",55,"Past Bancroft"1917PHI.EVN.regular.comment.csv",18

"PHI191705210",63,"Infield hit"1917PHI.EVN.regular.comment.csv",19

"PHI191705210",67,"Past Deal"1917PHI.EVN.regular.comment.csv",20

"PHI191706190",72,"Not certain when Myers entered."1917PHI.EVN.regular.comment.csv",21

"PHI191706190",77,"Not clear when Burns entered."1917PHI.EVN.regular.comment.csv",22

"PHI191706201",8,"Dispute on safe call at first."1917PHI.EVN.regular.comment.csv",23

"PHI191706201",14,"Ball hit the centerfield wall."1917PHI.EVN.regular.comment.csv",24

"PHI191706201",20,"Fine play by Killefer"1917PHI.EVN.regular.comment.csv",25

"PHI191706201",33,"Great stop and throw by Cutshaw."1917PHI.EVN.regular.comment.csv",26

"PHI191706201",44,"Wheat fumbled the ball which went all the way to the wall."1917PHI.EVN.regular.comment.csv",27

"PHI191706201",66,"Stock fell making the catch near second when he and Niehoff collided. Neither player was hurt"1917PHI.EVN.regular.comment.csv",28

"PHI191706202",60,"Not certain when Smyth entered."1917PHI.EVN.regular.comment.csv",29

"PHI191706210",68,"Pinch-runner not noted on scoresheet."1917PHI.EVN.regular.comment.csv",30

"PHI191706230",54,"Not clear when Kelly entered."1917PHI.EVN.regular.comment.csv",31

"PHI191706262",28,"Into the stands."1917PHI.EVN.regular.comment.csv",32

"PHI191706262",33,"Herzog dropped popup."1917PHI.EVN.regular.comment.csv",33

"PHI191706262",56,"Balance of game from 6/27 Phil. Inquirer and Retro box score"1917PHI.EVN.regular.comment.csv",34

"PHI191707050",55,"Not clear when Byrne entered."1917PHI.EVN.regular.comment.csv",35

"PHI191707070",48,"Missed bunt on squeeze play."1917PHI.EVN.regular.comment.csv",36

"PHI191707131",4,"Hit & run"1917PHI.EVN.regular.comment.csv",37

"PHI191707131",7,"Hit & run"1917PHI.EVN.regular.comment.csv",38

"PHI191707131",13,"Alexander knocked it down"1917PHI.EVN.regular.comment.csv",39

"PHI191707131",23,"Wortman: short-hop pickup"1917PHI.EVN.regular.comment.csv",40

"PHI191707131",24,"ej,bancd101,P,riglc901,Called third strike (Threw bat) $Bancroft ejected by HP umpire Rigler for arguing called strike 3 and throwing his bat"1917PHI.EVN.regular.comment.csv",41

"PHI191707131",32,"Douglas deflected it"1917PHI.EVN.regular.comment.csv",42

"PHI191707131",39,"Past Merkle"1917PHI.EVN.regular.comment.csv",43

"PHI191707131",41,"Killefer: running catch in front of PHI bench"1917PHI.EVN.regular.comment.csv",44

"PHI191707131",46,"Knocked down wicked drive"1917PHI.EVN.regular.comment.csv",45

"PHI191707131",48,"High bounder"1917PHI.EVN.regular.comment.csv",46

"PHI191707131",53,"Flack misjudged/dropped it"1917PHI.EVN.regular.comment.csv",47

"PHI191707131",64,"Into LF bleachers"1917PHI.EVN.regular.comment.csv",48

"PHI191707131",71,"Deflected by Alexander"1917PHI.EVN.regular.comment.csv",49

"PHI191707132",5,"Paskert's double to RF wall was nullified when he failed to touch 1B."1917PHI.EVN.regular.comment.csv",50

"PHI191707132",16,"High bounder"1917PHI.EVN.regular.comment.csv",51

"PHI191707132",19,"High grounder"1917PHI.EVN.regular.comment.csv",52

"PHI191707132",22,"Paskert: bare-hand stop prevented IPHR"1917PHI.EVN.regular.comment.csv",53

"PHI191707132",28,"Lucky stop by Merkle but Stock beat toss to Demaree"1917PHI.EVN.regular.comment.csv",54

"PHI191707132",48,"Knocked it down"1917PHI.EVN.regular.comment.csv",55

"PHI191707132",50,"Mann: great running catch"1917PHI.EVN.regular.comment.csv",56

"PHI191707132",55,"High bounder"1917PHI.EVN.regular.comment.csv",57

