"OAK201304120",26,"originally scored SB3, changed on 4-15 to CS3","FILENAME_TX","LINE_NUMBER_CT"
"OAK201304120",65,"$Brandon Moss called for interference when his back swing hit catcher Alex Avila on the helmet, knocking him down; Yoenis Cespedes, who had reached 2B, was sent back to 1B","2013OAK.EVA.regular.comment.csv",2
"OAK201304120",73,"Athletics center fielder Coco Crisp left the game due to an injured groin","2013OAK.EVA.regular.comment.csv",3
"OAK201304130",68,"ej,melvb001,M,fleta901,Called third strike $Brandon Moss argued the called third strike; Athletics manager Bob Melvin yelled from the bench and was ejected by HP umpire Andy Fletcher","2013OAK.EVA.regular.comment.csv",4
"OAK201304160",25,"Debut for Shane Peterson","2013OAK.EVA.regular.comment.csv",5
"OAK201304250",24,"ej,younc001,C,reynj901,Checked swing Athletics Pitching Coach Curt Young ejected by 1B umpire Jim Reynolds when he argued a checked swing call to Nolan Reimold while visiting the mound","2013OAK.EVA.regular.comment.csv",6
"OAK201304290",17,"$Brendan Harris called for obstruction","2013OAK.EVA.regular.comment.csv",7
"OAK201304290",34,"originally scored as single, change to E4 on May 7, 2013 with batter losing RBI and run becoming unearned","2013OAK.EVA.regular.comment.csv",8
"OAK201304290",91,"replay,10,younc004,OAK,cedeg901,OAK01,O,N,I,,H $Chris Young's fly ball might have struck a sign above the fence in LF and caromed down onto the field; the ball was ruled in play but Athletics manager Bob Melvin asked about the call; crew chief Gary Cederstrom watched the replay and upheld the call","2013OAK.EVA.regular.comment.csv",9
"OAK201304290",97,"$Angels center fielder Peter Bourjos left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",10
"OAK201304290",114,"Athletics center fielder Coco Crisp left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",11
"OAK201304290",133,"Athletics center fielder Chris Young left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",12
"OAK201304290",160,"$Brandon Moss had homered in the sixth inning for a gap of 13 innings between home runs in the game","2013OAK.EVA.regular.comment.csv",13
"OAK201305010",46,"replay,6,trumm001,ANA,cedeg901,OAK01,O,Y,I,,H $Mark Trumbo's fly ball struck just above the yellow stripe on the top of the out-of-town scoreboard; it was ruled in play but the umpires huddled briefly; crew chief Gary Cederstrom watched the replay and overturned the call to a home run","2013OAK.EVA.regular.comment.csv",14
"OAK201305010",70,"Angels pitcher Scott Downs left the game due to an injured side","2013OAK.EVA.regular.comment.csv",15
"OAK201305140",69,"ej,melvb001,,reybd901,Call at 1B Athletics Manager Bob Melvin ejected by 1B umpire D. J. Reyburn","2013OAK.EVA.regular.comment.csv",16
"OAK201306010",50,"White Sox designated hitter Paul Konerko left the game due to an injured neck","2013OAK.EVA.regular.comment.csv",17
"OAK201306110",19,"Athletics left fielder Yoenis Cespedes left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",18
"OAK201306290",23,"Athletics pitcher Jarrod Parker left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",19
"OAK201306300",33,"Athletics center fielder Coco Crisp left the game due to an injured back","2013OAK.EVA.regular.comment.csv",20
"OAK201307020",41,"originally scored as E6, changed to double on July 10, 2013; both runs in inning now earned","2013OAK.EVA.regular.comment.csv",21
"OAK201307040",18,"Cubs left fielder Brian Bogusevic left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",22
"OAK201307120",9,"umpchange,2,umphome,millb901 umpchange,2,ump2b,(None) $the pitch struck Daniel Nava on the shoulder as he ducked under the ball, which caromed off the mask of HP umpire CB Bucknor; Bucknor went down to the ground and was examined by a trainer; Buckner left and 2B umpire Bill Miller moved to HP","2013OAK.EVA.regular.comment.csv",23
