"PHI201804070",43,"$umpires reviewed to see if Franco's ball were a home run; call was upheld - double"FILENAME_TX","LINE_NUMBER_CT"

"PHI201804090",30,"$Reds challenged call that Santana was safe at home; call Was upheld - safe at home"2018PHI.EVN.regular.comment.csv",2

"PHI201804110",63,"$Umpire review to see if Gennett's ball were a home run; call was upheld - double off top of wall"2018PHI.EVN.regular.comment.csv",3

"PHI201804200",68,"$Hoskins was trapped off first and while Pirates were running him down, Herrara broke for home and was caught in a rundown; after Herrera was tagged out, Hoskins was caught between 2nd and 3rd to complete double play"2018PHI.EVN.regular.comment.csv",4

"PHI201804210",42,"$Phillies challenged call that Santana was not hit by pitch; call was overturned - hit by pitch"2018PHI.EVN.regular.comment.csv",5

"PHI201804210",66,"$Pirates challenged call that Altherr was safe at 2nd on force attempt - call was upheld - safe on throwing error"2018PHI.EVN.regular.comment.csv",6

"PHI201804220",90,"$Umpire review to check ball hit by Knapp off top of wall; call was upheld - triple"2018PHI.EVN.regular.comment.csv",7

"PHI201804250",40,"$Diamondbacks challenged call that Hernandez was safe at 3rd; call was overturned - out on caught stealing"2018PHI.EVN.regular.comment.csv",8

"PHI201804270",32,"$Julio Teheran left with injured shoulder"2018PHI.EVN.regular.comment.csv",9

"PHI201804270",67,"$Braves challenged call that Hoskins was safe at first; call was upheld - safe for single"2018PHI.EVN.regular.comment.csv",10

"PHI201804280",19,"$Umpire review to see if Freeman's ball were a home rune; call was upheld - fly out"2018PHI.EVN.regular.comment.csv",11

"PHI201804280",21,"$Braves challenged call that Markakis was out at 3rd; call was overturned - stolen base"2018PHI.EVN.regular.comment.csv",12

"PHI201804280",42,"$J. P. Crawford left with injured elbow"2018PHI.EVN.regular.comment.csv",13

"PHI201804290",77,"$Phillies challenged call that Suzuki was hit by pitch; call was upheld - hit by pitch"2018PHI.EVN.regular.comment.csv",14

"PHI201805080",38,"$Phillies challenged call that Blanco was safe at first on pickoff attempt; call was upheld - safe on pickoff attempt, but Blanco was picked off later in at bat"2018PHI.EVN.regular.comment.csv",15

"PHI201805080",66,"$Giants challenged call that Kingery was safe at 1st; call was overturned - ground out"2018PHI.EVN.regular.comment.csv",16

"PHI201805090",38,"$Phillies challenged call that Kingery was out at 1st; call was overturned - single"2018PHI.EVN.regular.comment.csv",17

"PHI201805110",56,"$Mets challenged call that Smith was out on pickoff; call was upheld - out on pickoff"2018PHI.EVN.regular.comment.csv",18

"PHI201805130",0,"$Rain delay of 59 minutes at start of game"2018PHI.EVN.regular.comment.csv",19

"PHI201805210",70,"$Braves challenged call that Inciarte was out at first; call was upheld - bunt ground out"2018PHI.EVN.regular.comment.csv",20

"PHI201805230",63,"$Braves challenged call that Acuna was out at first; call was upheld - ground out"2018PHI.EVN.regular.comment.csv",21

"PHI201806080",21,"$Dylan Cozens left with an injured leg"2018PHI.EVN.regular.comment.csv",22

"PHI201806080",61,"$Umpire review to check ball hit by Williams; call was upheld - triple"2018PHI.EVN.regular.comment.csv",23

"PHI201806140",10,"$Phillies challenged call that Parra was safe at first; call was overturned - out on pickoff"2018PHI.EVN.regular.comment.csv",24

"PHI201806180",54,"$Umpire review ball hit on 6th pitch; call was upheld - foul, not home run"2018PHI.EVN.regular.comment.csv",25

"PHI201806180",81,"$Cardinals challenged call that Herrara was safe at first for single; call was overturned - ground out"2018PHI.EVN.regular.comment.csv",26

"PHI201806190",38,"$J.P. Crawford left with broken hand from hit by pitch in 4th"2018PHI.EVN.regular.comment.csv",27

"PHI201806200",36,"$Michael Wacha left with an injured side"2018PHI.EVN.regular.comment.csv",28

"PHI201806280",32,"$Phillies challenged call that Alfaro was out at first; call was overturned - single"2018PHI.EVN.regular.comment.csv",29

"PHI201806300",19,"$Vince Velasquez left with an injured arm"2018PHI.EVN.regular.comment.csv",30

"PHI201807010",35,"$Phillies challenged call that Turner was safe at 1st; call was overturned - ground out"2018PHI.EVN.regular.comment.csv",31

"PHI201807030",20,"Mound Visit"2018PHI.EVN.regular.comment.csv",32

"PHI201807030",52,"Mound Visit"2018PHI.EVN.regular.comment.csv",33

