"BOS199704170",47,"ej,hargm001,M,tscht901,Arguing failure to call balk Indians manager Mike Hargrove ejected by 2B umpire Tim Tschida sometime in sixth inning"FILENAME_TX","LINE_NUMBER_CT"

"BOS199705300",34,"Debut game for Danny Rios"1997BOS.EVA.regular.comment.csv",2

"BOS199706270",79,"$Raul Casanova called for interference"1997BOS.EVA.regular.comment.csv",3

"BOS199707120",23,"ej,cartj001,P,cousd901,Fan interference call Joe Carter ejected by 3B umpire Derryl Cousins for arguing the fan interference call"1997BOS.EVA.regular.comment.csv",4

"BOS199707140",53,"ej,hameb001,P,barnl901,Called third strike Bob Hamelin ejected by HP umpire Larry Barnett"1997BOS.EVA.regular.comment.csv",5

"BOS199707252",1,"Debut game for Brian Rose"1997BOS.EVA.regular.comment.csv",6

"BOS199708090",23,"ej,davic001,P,everm901,Called third strike Chili Davis ejected by HP umpire Mike Everitt"1997BOS.EVA.regular.comment.csv",7

