"BAL197104090",70,"$Debut game for Jim Foor","FILENAME_TX","LINE_NUMBER_CT"
"BAL197105232",24,"ej,kaske101,M,kunkb101,Called strike 3 ej,popoe801,C,kunkb101,Called strike 3 $Red Sox manager Kasko and coach Popowski ejected by HP umpire Kunkel for arguing called 3rd strike to Scott","1971BAL.EVA.regular.comment.csv",2
"BAL197106080",38,"$Harmon Killebrew caught Brooks Robinson's popup and rolled the ball back to the mound, thinking there were 3 outs","1971BAL.EVA.regular.comment.csv",3
"BAL197106180",25,"$Thurman Munson left with concussion after collision at HP","1971BAL.EVA.regular.comment.csv",4
"BAL197106190",50,"Frank Robinson left with bruised knee","1971BAL.EVA.regular.comment.csv",5
"BAL197106280",0,"Suspend=19710629,,4,4,78","1971BAL.EVA.regular.comment.csv",6
"BAL197106280",102,"suspended,19710629,BAL11,curfew $game suspended for curfew and completed the next day","1971BAL.EVA.regular.comment.csv",7
"BAL197106290",55,"$Debut game for Chuck Seelbach","1971BAL.EVA.regular.comment.csv",8
"BAL197107300",31,"$Game called because of rain","1971BAL.EVA.regular.comment.csv",9
"BAL197108220",51,"$Don Buford hit the ball over the 1B bag; 1B umpire Johnny Stevens ruled foul, then signalled fair; the ball boy down the RF line picked up the ball, then put it down; Rich Reese picked it up and got Dave McNally at HP","1971BAL.EVA.regular.comment.csv",10
"BAL197108260",79,"$the White Sox scored two runs in the top of the ninth before a 1:29 rain delay; since Chicago went ahead with the two runs, the score reverted back to the end of the eighth inning when the ganme was called; the 9th inning events that didn't count: Watt came in to pitch to start the 9th; Williams: 3/P; Andrews: PH for Johnson and homered to LF; McKinney: 4/P Melton: D/78 Richert replaced Watt as Pitcher May: S7.2-H","1971BAL.EVA.regular.comment.csv",11
"BAL197109061",27,"ej,weave801,M,barnl901,Check swing (Threw equipment) $Orioles manager Weaver ejected by HP umpire Barnett for arguing check swing by Fosse; Weaver threw a bat and a helmet out of the dugout","1971BAL.EVA.regular.comment.csv",12
"BAL197109090",0,"Debut for umpire Jim Evans","1971BAL.EVA.regular.comment.csv",13
"BAL197109132",88,"$Frank Robinson's 500th HR","1971BAL.EVA.regular.comment.csv",14
