"MIN197604130",65,"Debut game for Bob Randall"FILENAME_TX","LINE_NUMBER_CT"

"MIN197605210",23,"390ft"1976MIN.EVA.regular.comment.csv",2

"MIN197606130",34,"$Bob Heise missed tag on Jerry Terrell"1976MIN.EVA.regular.comment.csv",3

"MIN197606160",59,"ej,albuv101,P,coont901,Call at 1B $Twins pitcher Albury ejecte by 1B umpire Cooney for arguing he had tagged Chambliss"1976MIN.EVA.regular.comment.csv",4

"MIN197606170",48,"Game cancelled due to rain"1976MIN.EVA.regular.comment.csv",5

"MIN197606240",15,"1:03 rain delay"1976MIN.EVA.regular.comment.csv",6

"MIN197607220",17,"Rick Burleson injured on play at 2B"1976MIN.EVA.regular.comment.csv",7

"MIN197607260",31,"ej,carer001,P,evanj901,Call at 2B Rod Carew ejected by 2B umpire Jim Evans"1976MIN.EVA.regular.comment.csv",8

"MIN197607260",45,"ej,randl101,P,koscg901,Called third strike Lenny Randle ejected by HP umpire Greg Kosc"1976MIN.EVA.regular.comment.csv",9

"MIN197608140",59,"missing fielder in MIN7608140"1976MIN.EVA.regular.comment.csv",10

"MIN197608180",27,"ej,garlw101,P,neudj901,Call at 1B Wayne Garland ejected by 1B umpire Jerry Neudecker"1976MIN.EVA.regular.comment.csv",11

"MIN197608180",35,"ej,belam101,P,neudj901,Call at 1B Mark Belanger ejected by 1B umpire Jerry Neudecker"1976MIN.EVA.regular.comment.csv",12

"MIN197609020",7,"Debut game for Dan Thomas"1976MIN.EVA.regular.comment.csv",13

"MIN197609100",28,"ej,herzw101,M,goetr901,Call at 3B Royals Manager Whitey Herzog ejected by 3B umpire Russ Goetz"1976MIN.EVA.regular.comment.csv",14

"MIN197609100",46,"402' HR"1976MIN.EVA.regular.comment.csv",15

"MIN197609110",80,"370' HR"1976MIN.EVA.regular.comment.csv",16

"MIN197609120",29,"$Hal McRae kicked the ball out of Mike Cubbage's glove"1976MIN.EVA.regular.comment.csv",17

"MIN197609120",86,"395' HR"1976MIN.EVA.regular.comment.csv",18

"MIN197609142",58,"Debut game for Gary Woods"1976MIN.EVA.regular.comment.csv",19

