"WS1195204150",9,"Debut game for Faye Throneberry","FILENAME_TX","LINE_NUMBER_CT"
"WS1195204150",12,"Debut game for Ted Lepcio","1952WS1.EVA.regular.comment.csv",2
"WS1195204160",55,"Debut game for Gene Stephens","1952WS1.EVA.regular.comment.csv",3
"WS1195204160",71,"Debut game for Dick Gernert","1952WS1.EVA.regular.comment.csv",4
"WS1195204170",1,"Debut game for Bill Henry","1952WS1.EVA.regular.comment.csv",5
"WS1195204170",42,"Debut game for Raul Sanchez","1952WS1.EVA.regular.comment.csv",6
"WS1195204170",74,"Debut game for Ike Delock","1952WS1.EVA.regular.comment.csv",7
"WS1195205030",26,"ej,eastl101,P,passa901,Called third strike Luke Easter ejected by HP umpire Art Passarella","1952WS1.EVA.regular.comment.csv",8
"WS1195205042",12,"Debut game for Bunky Stewart","1952WS1.EVA.regular.comment.csv",9
"WS1195205080",81,"Debut game for Jerry Snyder","1952WS1.EVA.regular.comment.csv",10
"WS1195205080",108,"$game called so the Tigers could catch train to Detroit; to be replayed","1952WS1.EVA.regular.comment.csv",11
"WS1195205252",26,"ej,valoe101,P,honoj901,Call at 1B Elmer Valo ejected by 1B umpire Jim Honochick","1952WS1.EVA.regular.comment.csv",12
"WS1195206120",24,"$Dale Mitchell left with sore leg","1952WS1.EVA.regular.comment.csv",13
"WS1195207042",58,"ej,grasm101,P,hurle901,Arguing foul ball $Catcher Grasso ejected by HP umpire Hurley for arguing that Berra's hit was foul","1952WS1.EVA.regular.comment.csv",14
"WS1195207190",47,"$Jim Delsing called for interference","1952WS1.EVA.regular.comment.csv",15
"WS1195208050",64,"game called for rain","1952WS1.EVA.regular.comment.csv",16
"WS1195208102",16,"Debut game for George Bradshaw","1952WS1.EVA.regular.comment.csv",17
"WS1195208211",45,"1:45 rain delay","1952WS1.EVA.regular.comment.csv",18
"WS1195208220",65,"ej,hutcf101,M,froeg901,Balls and strikes Tigers Manager Fred Hutchinson ejected by HP umpire Grover Froese","1952WS1.EVA.regular.comment.csv",19
"WS1195209022",1,"Debut game for Mike Fornieles","1952WS1.EVA.regular.comment.csv",20
"WS1195209040",15,"ej,grasm101,P,summb901,Fair/foul call Mickey Grasso ejected by HP umpire Bill Summers arguing the bunt was foul","1952WS1.EVA.regular.comment.csv",21
"WS1195209060",51,"$Phil Rizzuto ran to 2B even though Billy Martin was there","1952WS1.EVA.regular.comment.csv",22
"WS1195209190",21,"Debut game for Buck Varner","1952WS1.EVA.regular.comment.csv",23
