"CLE199604030",46,"Debut game for Matt Luke"FILENAME_TX","LINE_NUMBER_CT"

"CLE199604190",80,"Debut game for Bill Selby"1996CLE.EVA.regular.comment.csv",2

"CLE199604230",0,"$umpire Don Denkinger missed the game due to a strained right knee"1996CLE.EVA.regular.comment.csv",3

"CLE199605220",37,"ej,hargm001,M,garcr901,Interference call $Indians manager Hargrove ejected by 1B umpire Garcia for arguing call that Belle interfered with throw while returning to 1st"1996CLE.EVA.regular.comment.csv",4

"CLE199605220",85,"ej,loftk001,P,craft901,Call at 1B Kenny Lofton ejected by HP umpire Terry Craft"1996CLE.EVA.regular.comment.csv",5

"CLE199606050",1,"Debut game for Matt Wagner"1996CLE.EVA.regular.comment.csv",6

"CLE199606060",7,"ej,pinil001,M,barnl901,Balls and strikes Mariners manager Lou Piniella ejected by HP umpire Larry Barnett"1996CLE.EVA.regular.comment.csv",7

"CLE199606080",70,"Debut game for Ryan Hancock"1996CLE.EVA.regular.comment.csv",8

"CLE199606100",36,"ej,hargm001,M,mccol901,HBP non-call $Indians manager Hargrove ejected by HP umpire McCoy for arguing that Thome was hit by pitch that was ruled a foul"1996CLE.EVA.regular.comment.csv",9

"CLE199606110",1,"Debut game for Willie Adams"1996CLE.EVA.regular.comment.csv",10

"CLE199606211",40,"ej,aloms001,P,tscht901,Balls and strikes (while catching) Sandy Alomar Jr. ejected by HP umpire Tim Tschida"1996CLE.EVA.regular.comment.csv",11

"CLE199606230",67,"Debut game for Dale Polley"1996CLE.EVA.regular.comment.csv",12

"CLE199607180",68,"ej,bellj002,P,hirsj901,Balls and strikes $Belle ejected by HP umpire Hirschbeck for arguing balls and strikes after grounding out"1996CLE.EVA.regular.comment.csv",13

"CLE199607180",68,"ej,holld001,P,hirsj901,Balls and strikes $Hollins ejected by HP umpire Hirschbeck for arguing balls and strikes after called strike two"1996CLE.EVA.regular.comment.csv",14

"CLE199608240",17,"$Fernando Vina called for interference"1996CLE.EVA.regular.comment.csv",15

"CLE199609090",71,"Debut game for Einar Diaz"1996CLE.EVA.regular.comment.csv",16

"CLE199609120",65,"Debut game for Robert Ellis"1996CLE.EVA.regular.comment.csv",17

"CLE199609120",77,"Debut game for Damian Jackson"1996CLE.EVA.regular.comment.csv",18

"CLE199609142",10,"Debut game for Scott Spiezio"1996CLE.EVA.regular.comment.csv",19

"CLE199609240",22,"ej,aloms001,P,onorb901,Called third strike ej,hargm001,M,onorb901,Called third strike $Sandy Alomar Jr. and Indians manager Mike Hargrove ejected by HP umpire Brian O'Nora"1996CLE.EVA.regular.comment.csv",20

