"BAL200904060",54,"$fan interference"FILENAME_TX","LINE_NUMBER_CT"

"BAL200904060",73,"Debut game for Ramiro Pena"2009BAL.EVA.regular.comment.csv",2

"BAL200904080",1,"Debut game for Koji Uehara"2009BAL.EVA.regular.comment.csv",3

"BAL200904210",1,"Debut game for Brad Bergesen"2009BAL.EVA.regular.comment.csv",4

"BAL200904210",71,"Debut game for Jack Egbert"2009BAL.EVA.regular.comment.csv",5

"BAL200904250",43,"Rangers center fielder Josh Hamilton left the game due to an injured chest"2009BAL.EVA.regular.comment.csv",6

"BAL200904280",61,"ej,tremd801,M,herna901,Balk call Orioles Manager Dave Trembley ejected by HP umpire Angel Hernandez for arguing the balk"2009BAL.EVA.regular.comment.csv",7

"BAL200904290",30,"$Kendry Morales called for interference"2009BAL.EVA.regular.comment.csv",8

"BAL200904290",50,"Orioles pitcher Koji Uehara left the game due to an injured chest after Gary Mattews line drive hit him"2009BAL.EVA.regular.comment.csv",9

"BAL200905060",45,"$Game called after rain delay of 3:47"2009BAL.EVA.regular.comment.csv",10

"BAL200905080",29,"$Swisher was standing off the bag talking with 3B coach Rob Thompson; when pitcher Jeremy Guthrie snapped a throw to the base, Thompson pushed Swisher toward the bag; 3B umpire Tim Tschida made a pushing motion while calling Swisher out for interference by the coach; this is covered in rule 7.09(h)"2009BAL.EVA.regular.comment.csv",11

"BAL200905130",41,"Orioles center fielder Adam Jones left the game due to an injured leg"2009BAL.EVA.regular.comment.csv",12

"BAL200905130",47,"Rays left fielder Carl Crawford left the game due to an injured neck/shoulder"2009BAL.EVA.regular.comment.csv",13

"BAL200905250",66,"Orioles second baseman Brian Roberts left the game due to an injured leg"2009BAL.EVA.regular.comment.csv",14

"BAL200905260",1,"Debut game for Jason Berken"2009BAL.EVA.regular.comment.csv",15

"BAL200905280",1,"Debut game for David Hernandez"2009BAL.EVA.regular.comment.csv",16

"BAL200905290",14,"Debut game for Matt Wieters"2009BAL.EVA.regular.comment.csv",17

"BAL200906090",5,"fan interference"2009BAL.EVA.regular.comment.csv",18

