"TOR200704090",19,"fan interference"FILENAME_TX","LINE_NUMBER_CT"

"TOR200704090",19,"ej,bellb001,M,davig901,Fan interference call Royals Manager Buddy Bell ejected by 3B umpire Gerry Davis"2007TOR.EVA.regular.comment.csv",2

"TOR200704280",79,"$originally scored DI, changed after game to SB"2007TOR.EVA.regular.comment.csv",3

"TOR200705080",47,"Red Sox first baseman Kevin Youkilis left the game due to an injured leg"2007TOR.EVA.regular.comment.csv",4

"TOR200705110",12,"Blue Jays third baseman Troy Glaus left the game due to an injured foot/ankle"2007TOR.EVA.regular.comment.csv",5

"TOR200705150",1,"Debut game for Jesse Litsch"2007TOR.EVA.regular.comment.csv",6

"TOR200705300",84,"Debut game for Brian Wolfe $Howie Clark and John McDonald moved under the popup; Alex Rodriguez, running between 2B and 3B, yelled as he passed the fielders; Clark thought McDonald yelled that he had the catch and moved away; the ball fell between the two fielders"2007TOR.EVA.regular.comment.csv",7

"TOR200705310",36,"$Erstad hurt ankle swinging and missing at 2-1 pitch. Popping sound heard from dugout"2007TOR.EVA.regular.comment.csv",8

"TOR200706030",30,"ej,guilo001,M,marqa901,Arguing HBP was swinging strike $White Sox manager Guillen ejected by HP umpire Marquez for arguing that Overbay swung at pitch that hit him"2007TOR.EVA.regular.comment.csv",9

"TOR200706030",32,"$Marcum left the game due to tightness in his back"2007TOR.EVA.regular.comment.csv",10

"TOR200706050",1,"Debut game for Andy Sonnanstine"2007TOR.EVA.regular.comment.csv",11

"TOR200706060",19,"Debut game for Curtis Thigpen"2007TOR.EVA.regular.comment.csv",12

"TOR200706060",78,"Debut game for Jordan De Jong"2007TOR.EVA.regular.comment.csv",13

"TOR200706150",41,"umpchange,5,umphp,rapue901 umpchange,5,ump2b,(None) $delay while umpire Ed Rapuano replaced CB Bucknor, who was ill, behind the plate"2007TOR.EVA.regular.comment.csv",14

"TOR200706190",47,"Debut game for Lee Gronkiewicz"2007TOR.EVA.regular.comment.csv",15

"TOR200706200",54,"umpchange,7,umphome,fairc901 umpchange,7,ump2b,(None) $plate umpire Eric Cooper left with a pulled muscle; game delayed 8 minutes"2007TOR.EVA.regular.comment.csv",16

"TOR200706230",35,"ej,torry001,P,davig901,Balls and strikes Rockies catcher Yorvit Torrealba ejected by HP umpire Gerry Davis"2007TOR.EVA.regular.comment.csv",17

"TOR200707070",49,"Indians catcher Victor Martinez left the game due to an injured knee"2007TOR.EVA.regular.comment.csv",18

"TOR200707200",50,"ej,gibbj001,M,timmt901,Checked swing for strike Blue Jays Manager John Gibbons ejected by 1B umpire Tim Timmons for arguing a check-swing call on Green for strike two"2007TOR.EVA.regular.comment.csv",19

"TOR200707220",37,"ej,mclaj801,M,fairc901,Balls and strikes Mariners Manager John McLaren ejected by HP umpire Chad Fairchild"2007TOR.EVA.regular.comment.csv",20

"TOR200708070",21,"$hit on the calf; ARod walked towards the mound but was stopped by HP umpire Angel Hernandez; both benches emptied and both teams warned"2007TOR.EVA.regular.comment.csv",21

"TOR200708070",57,"ej,clemr001,P,herna901,Intentional HBP ej,torrj101,M,herna901,Intentional HBP Yankees Roger Clemens & Mgr Joe Torre ejected by HP umpire Angel Hernandez"2007TOR.EVA.regular.comment.csv",22

"TOR200708070",70,"Debut game for Joba Chamberlain"2007TOR.EVA.regular.comment.csv",23

"TOR200708070",77,"$Giambi's first game after two months on the DL"2007TOR.EVA.regular.comment.csv",24

"TOR200708080",32,"ej,abreb001,P,cousd901,Called third strike Yankees right fielder Bobby Abreu ejected by HP umpire Derryl Cousins"2007TOR.EVA.regular.comment.csv",25

"TOR200708170",41,"fan interference"2007TOR.EVA.regular.comment.csv",26

"TOR200709010",15,"$Lyle Overbay batted out of turn, but made an out, so Seattle did not point out the mistake"2007TOR.EVA.regular.comment.csv",27

"TOR200709010",16,"$Aaron Hill doubled, but he was also batting out of turn, so Seattle did point out this mistake and Hill was called out; However, the correct batter at this point was actually Gregg Zaun and he is the one who should have been called out; the umpires called the wrong man out."2007TOR.EVA.regular.comment.csv",28

"TOR200709110",79,"Debut game for Josh Banks"2007TOR.EVA.regular.comment.csv",29

"TOR200709110",82,"Debut game for Ross Ohlendorf"2007TOR.EVA.regular.comment.csv",30

