"DET200404100",87,"ej,vinaf001,P,hollm901,Balls and strikes Fernando Vina ejected by HP umpire Matt Hollowell","FILENAME_TX","LINE_NUMBER_CT"
"DET200404150",60,"Debut game for Chris Shelton","2004DET.EVA.regular.comment.csv",2
"DET200404240",12,"$Alex Escobar called for interference","2004DET.EVA.regular.comment.csv",3
"DET200404250",49,"Originally scored as S3. Changed next day. Changed back to S3 the day after that!","2004DET.EVA.regular.comment.csv",4
"DET200404270",6,"$Eckstein left game with injured groin","2004DET.EVA.regular.comment.csv",5
"DET200404270",77,"ej,higgb001,P,hoyej901,Checked swing for strike three Bobby Higginson ejected by HP umpire James Hoye","2004DET.EVA.regular.comment.csv",6
"DET200404290",0,"$Debut for umpire Troy Fullwood","2004DET.EVA.regular.comment.csv",7
"DET200404300",52,"ej,aurir001,P,hudsm901,Called third strike ej,melvb001,M,hudsm901,Called third strike $Aurilia and Mariners manager Melvin ejected by HP umpire Hudson for arguing called third strike","2004DET.EVA.regular.comment.csv",8
"DET200405010",32,"$Bloomquist left with injured back","2004DET.EVA.regular.comment.csv",9
"DET200405130",34,"$Sanchez left game with injured groin","2004DET.EVA.regular.comment.csv",10
"DET200405140",5,"umpchange,1,ump2b,(None) umpchange,1,ump3b,nauep901 $3B umpire Marsh left with torn plantar fascia; 2B umpire nauert moved to 3rd and game finished with 3 umpires","2004DET.EVA.regular.comment.csv",11
"DET200405140",54,"Debut game for Frank Francisco","2004DET.EVA.regular.comment.csv",12
"DET200405160",45,"$Johnson left game with injured hand/wrist","2004DET.EVA.regular.comment.csv",13
"DET200405280",28,"ej,rodri001,P,schrp901,Called third strike $Rodriguez ejected by HP umpire Schrieber for arguing called third strike","2004DET.EVA.regular.comment.csv",14
"DET200406080",23,"$Wise left game with injured leg","2004DET.EVA.regular.comment.csv",15
"DET200406100",48,"ej,trama001,M,emmep901,Balls and strikes Detroit Manager Alan Trammell ejected by HP umpire Paul Emmel","2004DET.EVA.regular.comment.csv",16
"DET200406130",23,"ej,gonza002,P,fleta901,Balls and strikes Alex Gonzalez ejected by HP umpire Andy Fletcher","2004DET.EVA.regular.comment.csv",17
"DET200406260",46,"$Sanchez left game with injured leg","2004DET.EVA.regular.comment.csv",18
"DET200406300",52,"ej,crisc001,P,rapue901,Call at 1B ej,wedge001,M,rapue901,Call at 1B Coco Crisp and Manager Eric Wedge ejected by 1B umpire Ed Rapuano","2004DET.EVA.regular.comment.csv",19
"DET200407160",35,"originally scored as single, changed after game. Changed back to single next day.","2004DET.EVA.regular.comment.csv",20
"DET200407160",40,"Debut game for Juan Padilla","2004DET.EVA.regular.comment.csv",21
"DET200407210",16,"Debut game for Nook Logan","2004DET.EVA.regular.comment.csv",22
"DET200407220",39,"$Guillen left game with injured back","2004DET.EVA.regular.comment.csv",23
"DET200407290",17,"$Rodriguez left game with injured back","2004DET.EVA.regular.comment.csv",24
"DET200407290",59,"$Levine left game with injured arm","2004DET.EVA.regular.comment.csv",25
"DET200407290",60,"Debut game for Roberto Novoa","2004DET.EVA.regular.comment.csv",26
"DET200407300",60,"$Everett left game with injured leg","2004DET.EVA.regular.comment.csv",27
"DET200408010",9,"$Bonderman left game with injured leg","2004DET.EVA.regular.comment.csv",28
"DET200408210",16,"$Johnson left game with injured leg","2004DET.EVA.regular.comment.csv",29
"DET200409091",30,"Debut game for Lino Urdaneta","2004DET.EVA.regular.comment.csv",30
"DET200409091",79,"Debut game for Paul Phillips","2004DET.EVA.regular.comment.csv",31
"DET200409100",26,"$White left game with injured leg","2004DET.EVA.regular.comment.csv",32
"DET200409110",48,"$Guillen left game with injured knee","2004DET.EVA.regular.comment.csv",33
"DET200409110",59,"$Rodriguez left game with injured knee","2004DET.EVA.regular.comment.csv",34
"DET200409120",82,"Debut game for Ryan Raburn","2004DET.EVA.regular.comment.csv",35
"DET200409130",21,"Debut game for Curtis Granderson","2004DET.EVA.regular.comment.csv",36
"DET200409130",30,"$Tiffee left game with injured neck","2004DET.EVA.regular.comment.csv",37
"DET200409200",64,"Debut game for Jake Robbins","2004DET.EVA.regular.comment.csv",38
"DET200409210",1,"Debut game for Francisco Cruceta","2004DET.EVA.regular.comment.csv",39
"DET200409210",44,"ej,yound001,P,hohnb901,Checked swing Dmitri Young ejected by 3B umpire Bill Hohn","2004DET.EVA.regular.comment.csv",40
"DET200409210",47,"$fan interference","2004DET.EVA.regular.comment.csv",41
"DET200409210",83,"ej,infao001,P,carlm901,Called third strike Omar Infante ejected by HP umpire Mark Carlson","2004DET.EVA.regular.comment.csv",42
"DET200409220",50,"$Robinson left game with injured hand","2004DET.EVA.regular.comment.csv",43
"DET200409280",27,"$Rodriguez left game with injured leg","2004DET.EVA.regular.comment.csv",44
"DET200410020",4,"$Crawford left game with injured knee","2004DET.EVA.regular.comment.csv",45
