"CHA195704210",74,"ej,boudl101,M,berrc103,Balls and strikes $Athletics manager Boudreau ejected by HP umpire Berry for arguing balls and strikes","FILENAME_TX","LINE_NUMBER_CT"
"CHA195705020",49,"$Milt Bolling spiked by Minnie Minoso at 2B","1957CHA.EVA.regular.comment.csv",2
"CHA195705040",12,"$Whitey Ford left with tightness in shoulder","1957CHA.EVA.regular.comment.csv",3
"CHA195705052",60,"$Elston Howard ran into wall making catch","1957CHA.EVA.regular.comment.csv",4
"CHA195705090",24,"30 minute rain delay","1957CHA.EVA.regular.comment.csv",5
"CHA195705090",28,"39 minute rain delay","1957CHA.EVA.regular.comment.csv",6
"CHA195705280",44,"ej,fox-n101,P,umonf901,Balls and strikes Nellie Fox ejected by HP umpire Frank Umont","1957CHA.EVA.regular.comment.csv",7
"CHA195705290",66,"ej,hegaj101,P,papaj901,Balls and strikes Jim Hegan ejected by HP umpire Joe Paparella","1957CHA.EVA.regular.comment.csv",8
"CHA195705301",41,"ej,farrk101,M,hurle901,Balls and strikes ej,narah101,P,hurle901,Balls and strikes $Catcher Narragon and Indians manager Farrell ejected by HP umpire Hurley for arguing balls and strikes","1957CHA.EVA.regular.comment.csv",9
"CHA195705310",60,"$Dave Philley restrained from charging mound after inside pitch","1957CHA.EVA.regular.comment.csv",10
"CHA195706022",48,"$Larry Doby crashed into the wall, reinjuring his right groin","1957CHA.EVA.regular.comment.csv",11
"CHA195706060",5,"$Luis Aparicio left with charley horse in his left leg","1957CHA.EVA.regular.comment.csv",12
"CHA195706080",54,"$Bob Boyd called for interference","1957CHA.EVA.regular.comment.csv",13
"CHA195706110",0,"Protest=V","1957CHA.EVA.regular.comment.csv",14
"CHA195706110",28,"$the Yankees argued with 3B umpire Johnny Stevens that Minoso was out at 3B; while they argued, Minoso broke for home and was thrown out; Stevens ruled time was out since he had asked Andy Carey for the ball and sent Minoso back to 3B; the Yankees played rest of game under protest","1957CHA.EVA.regular.comment.csv",15
"CHA195706110",35,"$Bobby Shantz called for interference when the throw hit him","1957CHA.EVA.regular.comment.csv",16
"CHA195706120",0,"21 minute rain delay before start of game","1957CHA.EVA.regular.comment.csv",17
"CHA195706120",6,"1:09 rain delay","1957CHA.EVA.regular.comment.csv",18
"CHA195706130",10,"ej,dobyl101,P,nappl901,Fighting ej,dropw101,P,nappl901,Fighting ej,martb105,P,nappl901,Fighting ej,slaue101,P,nappl901,Fighting $Art Ditmar threw a pitch at Larry Doby's head; a 28 minute bench clearing brawl ensued; Doby, Walt Dropo, Billy Martin and Enos Slaughter ejected by HP umpire Larry Napp","1957CHA.EVA.regular.comment.csv",19
"CHA195706130",17,"$off RF pole","1957CHA.EVA.regular.comment.csv",20
"CHA195706130",25,"ej,fordw101,P,stevj901,Bench jockeying Whitey Ford ejected by 1B umpire Johnny Stevens","1957CHA.EVA.regular.comment.csv",21
"CHA195706130",36,"$Elston Howard suffered injured finger when struck by foul ball","1957CHA.EVA.regular.comment.csv",22
"CHA195706130",38,"$Bobby Richardson overslid 3B","1957CHA.EVA.regular.comment.csv",23
"CHA195707130",29,"DIFF: CS per Det s/s; not per film","1957CHA.EVA.regular.comment.csv",24
"CHA195707141",53,"$Jim Rivera had HP stolen but Billy Pierce flicked his bat at the outside pitch, tapping it toward 3B; no one covered 1B","1957CHA.EVA.regular.comment.csv",25
"CHA195708060",0,"$Harry Craft's first game as Athletics manager","1957CHA.EVA.regular.comment.csv",26
"CHA195708070",32,"ej,lopea102,M,nappl901,Balls and strikes White Sox Manager Al Lopez ejected by HP umpire Larry Napp","1957CHA.EVA.regular.comment.csv",27
"CHA195708090",93,"$lights turned on","1957CHA.EVA.regular.comment.csv",28
"CHA195708111",35,"fan interference","1957CHA.EVA.regular.comment.csv",29
"CHA195708201",46,"$Clint Courtney hit on the hand","1957CHA.EVA.regular.comment.csv",30
"CHA195708201",67,"DIFF: Cha s/s CS; not per film","1957CHA.EVA.regular.comment.csv",31
"CHA195708280",66,"ej,hatff101,P,chyln901,Called third strike Fred Hatfield ejected by HP umpire Nestor Chylak","1957CHA.EVA.regular.comment.csv",32
