"MON198004190",23,"Debut game for Luis Aguayo"FILENAME_TX","LINE_NUMBER_CT"

"MON198005030",47,"ej,willd104,M,olsea901,Balls and strikes $Expos manager Williams ejected by HP umpire Olsen for for arguing balls and strikes when Valentine was at bat"1980MON.EVN.regular.comment.csv",2

"MON198006020",18,"DWS: may be missed base - must be checked - CS a guess"1980MON.EVN.regular.comment.csv",3

"MON198006020",122,"Debut game for Bob Pate"1980MON.EVN.regular.comment.csv",4

"MON198006081",0,"$Ken Boyer fired as Cardinal manager after game"1980MON.EVN.regular.comment.csv",5

"MON198006081",35,"Debut game for John Littlefield"1980MON.EVN.regular.comment.csv",6

"MON198006082",17,"Debut game for Brad Mills"1980MON.EVN.regular.comment.csv",7

"MON198006120",1,"Debut game for Charlie Lea"1980MON.EVN.regular.comment.csv",8

"MON198006120",49,"Sheet note says Almon starts to switch-hit, so LHB here"1980MON.EVN.regular.comment.csv",9

"MON198006150",8,"$Rodney SCott called for interference"1980MON.EVN.regular.comment.csv",10

"MON198006270",9,"ej,ott-e101,P,fiels901,Fair/foul call ej,tannc101,M,fiels901,Fair/foul call Ed Ott and Pirates Manager Chuck Tanner ejected by HP umpire Steve Fields; the Pirates thought Gary Carter's double was foul; Ott bounced the ball on the turf; Fields claimed Ott was showing up the umpires"1980MON.EVN.regular.comment.csv",11

"MON198007250",24,"ej,cedec001,P,fiels901,Call at 2B Cesar Cedeno ejected by 2B umpire Steve Fields"1980MON.EVN.regular.comment.csv",12

"MON198008210",53,"Pedro Guerrero jammed left knee sliding back into 2B"1980MON.EVN.regular.comment.csv",13

"MON198008230",64,"ej,perkb001,P,westj901,Called third strike Broderick Perkins ejected by HP umpire Joe West"1980MON.EVN.regular.comment.csv",14

"MON198009130",67,"ej,scotr101,P,tatat901,Insulting umpire ej,willd104,M,foreb901,Ejection of Rodney Scott Rodney Scott ejected by 1B umpire Terry Tata for asking the umpire why he had a chip on his shoulder while leaving the field; Expos manager Dick Williams ejected by 2B umpire Bruce Froemming after throwing a fit over Scott's ejection"1980MON.EVN.regular.comment.csv",15

"MON198009140",0,"1:30 rain delay before start of game"1980MON.EVN.regular.comment.csv",16

"MON198009290",55,"$Garry Templeton strained right shoulder"1980MON.EVN.regular.comment.csv",17

"MON198010050",1,"Debut game for Steve Ratzer"1980MON.EVN.regular.comment.csv",18

"MON198010050",13,"Debut game for Ozzie Virgil"1980MON.EVN.regular.comment.csv",19

