"SLA194204170",31,"Pitcher fielded ball and threw it to CF","FILENAME_TX","LINE_NUMBER_CT"
"SLA194204180",11,"pbp account ends here, rest deduced","1942SLA.EVA.regular.comment.csv",2
"SLA194204180",68,"$Muncrief collided and bunt pop fell in for hit","1942SLA.EVA.regular.comment.csv",3
"SLA194204230",69,"$Jim Bagby called for interference for running into his own bunt","1942SLA.EVA.regular.comment.csv",4
"SLA194205140",31,"$McQuillen missed second and continued to third but was run down","1942SLA.EVA.regular.comment.csv",5
"SLA194205140",52,"pbp account ends here, rest deduced","1942SLA.EVA.regular.comment.csv",6
"SLA194205200",12,"judnw & stepv I2 can exchange I4","1942SLA.EVA.regular.comment.csv",7
"SLA194205260",42,"ej,tebbb101,P,rue-j901,Call at HP $Tebbetts continued to argue after the close play at the plate and was ejected after several pitches to McQuinn","1942SLA.EVA.regular.comment.csv",8
"SLA194205270",30,"pbp account ends here, rest deduced","1942SLA.EVA.regular.comment.csv",9
"SLA194205280",8,"clifh BFP exchangeable with I5","1942SLA.EVA.regular.comment.csv",10
"SLA194205311",60,"ej,boudl101,M,geish901,Call at 2B Indians Manager Lou Boudreau ejected by 1B umpire Harry Geisel","1942SLA.EVA.regular.comment.csv",11
"SLA194206230",41,"Henrich reaches unprotected plate when Hayes tumbles while fielding Keller's 'topped rap' [NYTimes].","1942SLA.EVA.regular.comment.csv",12
"SLA194206240",78,"ej,guttd101,P,pipgg101,Call at 2B ej,sewel101,M,pipgg101,Call at 2B Don Gutteridge and Browns Manager Luke Sewell ejected by 3B umpire George Pipgras","1942SLA.EVA.regular.comment.csv",13
"SLA194207250",46,"pbp account ends here, rest deduced","1942SLA.EVA.regular.comment.csv",14
"SLA194207250",54,"$Auker hurt gloved hand snaring liner and game was delayed while his injured finger was taped","1942SLA.EVA.regular.comment.csv",15
"SLA194207262",23,"$24 minute rain delay","1942SLA.EVA.regular.comment.csv",16
"SLA194208021",28,"Base runner Niggeling put out by Breuer in unknown fashion, perhaps by trying to score on Gutteridge double.","1942SLA.EVA.regular.comment.csv",17
"SLA194208091",58,"$Plate umpire Hubbard suffered a painful collarbone injury from a foul ball hit by Chartak; he remained in the game","1942SLA.EVA.regular.comment.csv",18
"SLA194209051",15,"$Runner rounded 2nd but failed to touch it on way back to 1st","1942SLA.EVA.regular.comment.csv",19
"SLA194209051",62,"ej,weatr101,romme101,Balls and Strikes $4th ball was protested by the Indians and Weatherly was ejected by umpire Rommel; Weatherly not in game","1942SLA.EVA.regular.comment.csv",20
"SLA194209170",30,"$Out at third recorded before run could score from second","1942SLA.EVA.regular.comment.csv",21
"SLA194209170",36,"pbp account ends here, rest deduced","1942SLA.EVA.regular.comment.csv",22
