"SLN200204100",73,"Debut game for Mike Crudale"FILENAME_TX","LINE_NUMBER_CT"

"SLN200204300",60,"A.J. Burnett threw to 2B appealing that Jim Edmonds had not retagged on way back to 1B"2002SLN.EVN.regular.comment.csv",2

"SLN200205010",49,"33 minute rain delay"2002SLN.EVN.regular.comment.csv",3

"SLN200205040",1,"Debut game for Jason Simontacchi"2002SLN.EVN.regular.comment.csv",4

"SLN200205150",42,"$tremendous play by Marrero to pick up grounder and lunge at runner for out"2002SLN.EVN.regular.comment.csv",5

"SLN200206160",1,"Debut game for Alexis Gomez"2002SLN.EVN.regular.comment.csv",6

"SLN200206160",70,"ej,beltc001,P,cuzzp901,Called third strike Carlos Beltran ejected by HP umpire Phil Cuzzi"2002SLN.EVN.regular.comment.csv",7

"SLN200206300",49,"umpchange,4,umphome,relic901 umpchange,4,ump2b,(None) $HP umpire Danley collapsed from heat exhaustion and left; 2B umpire Reliford went behind plate and game finished with 3 umpires"2002SLN.EVN.regular.comment.csv",8

"SLN200207180",0,"2 rain delays totaling 1:36 in 1st & 3rd"2002SLN.EVN.regular.comment.csv",9

"SLN200207180",17,"ej,larut101,M,westj901,Arguing checked swing (Protecting pitcher) $Cardinals manager LaRussa ejected by HP umpire West when he came out to protect pitcher Morris who was complaining about strike 3 check swing to DiFelice"2002SLN.EVN.regular.comment.csv",10

"SLN200207270",46,"ej,larut101,M,iassd901,Intentional HBP ej,timlm001,P,iassd901,Intentional HBP Mike Timlin and Cardinals Manager Tony LaRussa ejected by HP umpire Dan Iassogna"2002SLN.EVN.regular.comment.csv",11

"SLN200207280",13,"$attempted squeeze play on second pitch to Clement, which he fouled off"2002SLN.EVN.regular.comment.csv",12

"SLN200207280",14,"$blown squeeze play when Clement missed the pitch"2002SLN.EVN.regular.comment.csv",13

"SLN200208070",64,"ej,larut101,M,froeb901,Protesting umpire criticism of player $Cardinals manager LaRussa ejected by HP umpire Froemming for telling umpire not to criticze his pitcher for throwing things in dugout because he was upset about allowing a run"2002SLN.EVN.regular.comment.csv",14

"SLN200208100",68,"$Marco Scutaro called for interference"2002SLN.EVN.regular.comment.csv",15

"SLN200208230",68,"ej,andem003,P,barrt901,Called third strike Marlon Anderson ejected by HP umpire Ted Barrett"2002SLN.EVN.regular.comment.csv",16

"SLN200209040",36,"$Foul ball hit into Reds' dugout struck B.Larson's right ear as he was leaning on the screen at the front of the dugout; cat scan on head was negative but Larson broke his left hand when he fell and will be out for remainder of season"2002SLN.EVN.regular.comment.csv",17

"SLN200209060",16,"$J.D. Drew left with tight quad"2002SLN.EVN.regular.comment.csv",18

"SLN200209060",34,"$Albert Pujols left with spasm in upper trapezoid in left shoulder"2002SLN.EVN.regular.comment.csv",19

"SLN200209060",53,"ej,aloum001,P,cuzzp901,Balls and strikes Moises Alou ejected by HP umpire Phil Cuzzi"2002SLN.EVN.regular.comment.csv",20

"SLN200209200",45,"$Williams left with tightness in back and ribs"2002SLN.EVN.regular.comment.csv",21

"SLN200209230",31,"$Gonzalez suffered separated left shoulder in collision with Womack while attempting a diving catch; Womack's knee hit Gonzalez' shoulder"2002SLN.EVN.regular.comment.csv",22

"SLN200209260",17,"$Hall fielded ball at deep short, brief bobble, then held it as runner scored"2002SLN.EVN.regular.comment.csv",23

"SLN200209270",4,"ej,sexsr001,P,timmt901,Balls and strikes Richie Sexson ejected by HP umpire Tim Timmons"2002SLN.EVN.regular.comment.csv",24

"SLN200209290",37,"$Benes had 'tweak' in lower back on 1-0 swing"2002SLN.EVN.regular.comment.csv",25

