"TEX198604080",7,"Debut game for Pete Incaviglia"FILENAME_TX","LINE_NUMBER_CT"

"TEX198604090",69,"Debut game for Mitch Williams"1986TEX.EVA.regular.comment.csv",2

"TEX198604100",1,"Debut game for Bobby Witt"1986TEX.EVA.regular.comment.csv",3

"TEX198604100",58,"Debut game for Don Gordon"1986TEX.EVA.regular.comment.csv",4

"TEX198604290",44,"$Ken Schrom called for obstruction"1986TEX.EVA.regular.comment.csv",5

"TEX198604290",62,"$missed suicide squeeze"1986TEX.EVA.regular.comment.csv",6

"TEX198604300",7,"$Tom Candiotti injured hand"1986TEX.EVA.regular.comment.csv",7

"TEX198604300",56,"ej,rozed001,P,bremn901,Balls and strikes ej,valeb102,M,bremn901,Balls and strikes Dave Rozema and Rangers manager Bobby Valentine ejected by HP umpire Nick Bremigan"1986TEX.EVA.regular.comment.csv",8

"TEX198604300",62,"$Pete Incaviglia was hit on the hand; he threw his helmet at pitcher Jim Kern; both benches cleared but order was restored"1986TEX.EVA.regular.comment.csv",9

"TEX198604300",62,"$Pete Incaviglia injured"1986TEX.EVA.regular.comment.csv",10

"TEX198604300",74,"$HP umpire Nick Bremigan warned both teams"1986TEX.EVA.regular.comment.csv",11

"TEX198605060",45,"$Alan Trammell's throw went into the dugout"1986TEX.EVA.regular.comment.csv",12

"TEX198605111",9,"$Henry Cotto called for interference with the catcher after missing a pitch"1986TEX.EVA.regular.comment.csv",13

"TEX198605112",38,"Squeeze play"1986TEX.EVA.regular.comment.csv",14

"TEX198605210",67,"$Steve Buechele's throw home hit Vance Law"1986TEX.EVA.regular.comment.csv",15

"TEX198605230",66,"ej,corre001,P,kaisk901,Intentional HBP ej,valeb102,M,kaisk901,Intentional HBP Ed Correa and Rangers manager Bobby Valentine ejected by HP umpire Ken Kaiser"1986TEX.EVA.regular.comment.csv",16

"TEX198605250",51,"ej,incap001,P,pales901,Called third strike $Incaviglia ejected by HP umpire Palermo for arguing called third strike"1986TEX.EVA.regular.comment.csv",17

"TEX198605250",54,"ej,valeb102,M,pales901,Arguing ejection $Texas manager Valentine ejected by HP umpire Palermo for continuing argument rom Incaviglia's ejection"1986TEX.EVA.regular.comment.csv",18

"TEX198605260",32,"ej,larut101,M,koscg901,Call at 2B White Sox manager Tony LaRussa ejected by 2B umpire Greg Kosc when he grabbed 2B Tim Hulett's glove during an argument and showed Kosc how Hulett had tagged Gary Ward; LaRussa then threw the glove to the ground and was ejected"1986TEX.EVA.regular.comment.csv",19

"TEX198605260",69,"Foul tipped third strike"1986TEX.EVA.regular.comment.csv",20

"TEX198605270",54,"$Ozzie Guillen faked a bunt and took a swing on the run, hitting a grounder to SS; HP umpire Richie Garcia ruled Guillen out for having his foot out of the batter's box when he hit the ball; Guillen protested the interference call"1986TEX.EVA.regular.comment.csv",21

"TEX198605270",55,"ej,larut101,M,garcr901,Interference call $White Sox manager Tony LaRussa talked to HP umpire Richie Garcia to continue the argument about Guillen; LaRussa was ejected by Garcia, who told reporters that he was tired of LaRussa trying to show up the umpires"1986TEX.EVA.regular.comment.csv",22

"TEX198606210",0,"ej,anduj001,P,barnl901,Bench jockeying Joaquin Andujar ejected by 3B umpire Larry Barnett sometime in game"1986TEX.EVA.regular.comment.csv",23

"TEX198606220",3,"ej,philt001,P,scotd901,Call at HP Tony Phillips ejected by HP umpire Dale Scott"1986TEX.EVA.regular.comment.csv",24

"TEX198606240",51,"Debut game for Mike Stanley"1986TEX.EVA.regular.comment.csv",25

"TEX198606300",67,"$Mike Stanley out on hidden ball trick by Steve Lombardozzi"1986TEX.EVA.regular.comment.csv",26

"TEX198607020",21,"$Mike Smithson's PO attempt hit runner"1986TEX.EVA.regular.comment.csv",27

"TEX198607070",1,"Debut game for Scott Nielsen"1986TEX.EVA.regular.comment.csv",28

"TEX198607090",55,"ej,pinil001,M,reedr901,Call at 3B Yankees manager Lou Piniella ejected by 3B umpire Rick Reed"1986TEX.EVA.regular.comment.csv",29

"TEX198607240",1,"Debut game for Mike Loynd"1986TEX.EVA.regular.comment.csv",30

"TEX198607260",83,"ej,corrp102,M,welkt901,Call at HP Indians manager Pat Corrales ejected by HP umpire Tim Welke"1986TEX.EVA.regular.comment.csv",31

"TEX198608080",35,"ej,stied001,P,coont901,HBP call ej,willj107,M,coont901,HBP call $Blue Jays Stieb and manager Williams ejected by HP umpire Cooney for continuing to argue that HBP of Incaviglia was a foul"1986TEX.EVA.regular.comment.csv",32

"TEX198608080",43,"Debut game for Luis Aquino"1986TEX.EVA.regular.comment.csv",33

"TEX198608120",9,"ej,incap001,P,clara901,Call at 1B Pete Incaviglia ejected by 1B umpire Al Clark"1986TEX.EVA.regular.comment.csv",34

"TEX198608130",64,"ej,fergj101,C,shulj901,Balls and strikes ej,harrt001,P,shulj901,Balls and strikes ej,valeb102,M,shulj901,Balls and strikes $Toby Harrah, Rangers manager Bobby Valentine and coach Joe Ferguson ejected by HP umpire John Shulock"1986TEX.EVA.regular.comment.csv",35

"TEX198609060",72,"Debut game for Jerry Browne"1986TEX.EVA.regular.comment.csv",36

"TEX198609200",57,"$Steve Buechele started and stopped; throw went into CF"1986TEX.EVA.regular.comment.csv",37

"TEX198609300",1,"Debut game for Kevin Brown"1986TEX.EVA.regular.comment.csv",38

"TEX198610010",38,"ej,larut101,M,merrd901,Balls and strikes Athletics manager Tony LaRussa ejected by HP umpire Durwood Merrill sometime in sixth"1986TEX.EVA.regular.comment.csv",39

