"TEX200504290",0,"$Boston manager Terry Francona missed this game as first of three game suspension","FILENAME_TX","LINE_NUMBER_CT"
"TEX200504300",0,"$Boston manager Terry Francona missed this game as second of three game suspension","2005TEX.EVA.regular.comment.csv",2
"TEX200505010",0,"$Boston manager Terry Francona missed this game as third of three game suspension","2005TEX.EVA.regular.comment.csv",3
"TEX200505060",85,"ej,showb801,M,darlg901,Call at 1B Rangers Manager Buck Showalter ejected by 1B umpire Gary Darling","2005TEX.EVA.regular.comment.csv",4
"TEX200505200",34,"Rangers DH David Dellucci left the game due to an injured head","2005TEX.EVA.regular.comment.csv",5
"TEX200505250",45,"ej,nix-l001,P,emmep901,Called third strike Rangers center fielder Laynce Nix ejected by HP umpire Paul Emmel","2005TEX.EVA.regular.comment.csv",6
"TEX200505260",43,"Debut game for Steve Stemle","2005TEX.EVA.regular.comment.csv",7
"TEX200506170",71,"Nationals pitcher T. J. Tucker left the game due to an injured elbow","2005TEX.EVA.regular.comment.csv",8
"TEX200506190",42,"Nationals pitcher Kim left the game due to an injured arm","2005TEX.EVA.regular.comment.csv",9
"TEX200507080",46,"Roy Halladay left the game due to an injured leg","2005TEX.EVA.regular.comment.csv",10
"TEX200508070",25,"Orioles pitcher Sidney Ponson left the game due to an injured leg","2005TEX.EVA.regular.comment.csv",11
"TEX200508302",1,"Debut game for Edison Volquez","2005TEX.EVA.regular.comment.csv",12
"TEX200508310",70,"Debut game for Scott Feldman","2005TEX.EVA.regular.comment.csv",13
"TEX200509110",13,"ej,nevip001,P,darlg901,Called third strike Rangers designated hitter Phil Nevin ejected by HP umpire Gary Darling","2005TEX.EVA.regular.comment.csv",14
"TEX200509140",19,"Debut game for Jason Botts","2005TEX.EVA.regular.comment.csv",15
"TEX200509150",80,"Debut game for Jaime Bubela","2005TEX.EVA.regular.comment.csv",16
"TEX200509160",1,"Debut game for Josh Rupe","2005TEX.EVA.regular.comment.csv",17
