"CLE199505050",8,"$Marty Cordova called for interference","FILENAME_TX","LINE_NUMBER_CT"
"CLE199505060",33,"$Jeff Reboulet called for interference","1995CLE.EVA.regular.comment.csv",2
"CLE199506170",37,"ej,showb801,M,morrd901,Called third strike Yankees manager Buck Showalter ejected by HP umpire Dan Morrison","1995CLE.EVA.regular.comment.csv",3
"CLE199507142",5,"Debut game for George Williams","1995CLE.EVA.regular.comment.csv",4
"CLE199507142",63,"ej,giamj001,P,cousd901,Call at 1B Jason Giambi ejected by 1B umpire Derryl COusins","1995CLE.EVA.regular.comment.csv",5
"CLE199508010",65,"Debut game for Ron Coomer","1995CLE.EVA.regular.comment.csv",6
"CLE199508010",87,"Debut game for Scott Watkins","1995CLE.EVA.regular.comment.csv",7
"CLE199509160",6,"Debut game for Brian Giles","1995CLE.EVA.regular.comment.csv",8
