"SLN199604140",9,"Debut game for Aaron Holbert","FILENAME_TX","LINE_NUMBER_CT"
"SLN199604270",52,"ej,alicl001,P,herna901,HBP non-call $Alicea ejected by HP umpire Hernandez for arguing he was hit by pitch ruled a foul","1996SLN.EVN.regular.comment.csv",2
"SLN199605120",67,"$Chad Fonville called for interference","1996SLN.EVN.regular.comment.csv",3
"SLN199608060",64,"ej,larut101,M,grege901,Balls and strikes Cardinals manager Tony LaRussa ejected by HP umpire Eric Gregg","1996SLN.EVN.regular.comment.csv",4
"SLN199608070",52,"ej,hendr001,P,davib902,Balls and strikes Rickey Henderson ejected by HP umpire Bob Davidson","1996SLN.EVN.regular.comment.csv",5
"SLN199608160",21,"ej,shefg001,P,froeb901,Balls and strikes Gary Sheffield ejected by HP umpire Bruce Froemming","1996SLN.EVN.regular.comment.csv",6
"SLN199608160",41,"ej,gantr001,P,froeb901,Balls and strikes Ron Gant ejected by HP umpire Bruce Froemming","1996SLN.EVN.regular.comment.csv",7
"SLN199608290",28,"Debut game for Dmitri Young","1996SLN.EVN.regular.comment.csv",8
"SLN199608310",1,"Debut game for Neifi Perez","1996SLN.EVN.regular.comment.csv",9
"SLN199609010",45,"Debut game for Eric Ludwick","1996SLN.EVN.regular.comment.csv",10
"SLN199609010",61,"$Walt Weiss called for interference","1996SLN.EVN.regular.comment.csv",11
"SLN199609010",97,"Debut game for Mike DiFelice","1996SLN.EVN.regular.comment.csv",12
"SLN199609030",51,"ej,collt801,M,relic901,Balk call Astros manager Terry Collins ejected by 3B umpire Charlie Reliford","1996SLN.EVN.regular.comment.csv",13
"SLN199609180",18,"ej,mcrab001,P,bellw901,Balls and strikes Brian McRae ejected by HP umpire Wally Bell","1996SLN.EVN.regular.comment.csv",14
"SLN199609190",38,"ej,bottk001,P,crawj901,Fighting $Cubs Bottenfield ejected by 1B umpire Crawford for fighting when benches emptied after HBP","1996SLN.EVN.regular.comment.csv",15
