"CHN192004250",62,"Adams failed to touch first.","FILENAME_TX","LINE_NUMBER_CT"
"CHN192004250",68,"Hit and run.","1920CHN.EVN.regular.comment.csv",2
"CHN192004280",41,"$Off Cooper's glove into left field.","1920CHN.EVN.regular.comment.csv",3
"CHN192005090",27,"ej,carem101,P,emslb101,Arguing call at 1B $Carey protested so vigorously on Umpire Emslie's verdict at second that he was banished.","1920CHN.EVN.regular.comment.csv",4
"CHN192005130",15,"Deal had been SB2ing","1920CHN.EVN.regular.comment.csv",5
"CHN192005130",16,"Neis presented w/ $800 in gold, gift from S. Chicago fans","1920CHN.EVN.regular.comment.csv",6
"CHN192005282",20,"$Janvrin fell rounding third.","1920CHN.EVN.regular.comment.csv",7
"CHN192005311",54,"Into the stands.","1920CHN.EVN.regular.comment.csv",8
"CHN192005311",81,"Over the fence.","1920CHN.EVN.regular.comment.csv",9
"CHN192006270",29,"$Bigbee's throw to the plate caromed off Hollocher's leg.","1920CHN.EVN.regular.comment.csv",10
"CHN192006281",5,"$Hit the flag pole and rebounded into the field.","1920CHN.EVN.regular.comment.csv",11
"CHN192006291",79,"$The Pirates claimed interference by Flack but Umpire Rigler would not allow the claim.","1920CHN.EVN.regular.comment.csv",12
"CHN192006291",94,"Attempted double steal.","1920CHN.EVN.regular.comment.csv",13
"CHN192006292",30,"$Hit first base then hopped through the screen into the right field stands.","1920CHN.EVN.regular.comment.csv",14
"CHN192006292",48,"Barbare fell on the plate as if to get away from a close pitch and his bat hit the ball.","1920CHN.EVN.regular.comment.csv",15
"CHN192007080",17,"$Youngs lost Herzog's ball in sun","1920CHN.EVN.regular.comment.csv",16
"CHN192007080",25,"Toney and Snyder argued over signals holdin up game minutes","1920CHN.EVN.regular.comment.csv",17
"CHN192007090",41,"Smith ejected by Klem for arguing strikes? but no disturbanc","1920CHN.EVN.regular.comment.csv",18
"CHN192007090",57,"$Barnes spiked Hollocher in right knee","1920CHN.EVN.regular.comment.csv",19
"CHN192007100",68,"$Merkle's grounder hit Frisch in groin. Frisch recovered his feet and made throw, then collapsed but continued after several minutes","1920CHN.EVN.regular.comment.csv",20
"CHN192007121",43,"Herzog was booed by hometown fans so he tipped his cap","1920CHN.EVN.regular.comment.csv",21
"CHN192007121",66,"Crowd cheered Herzog","1920CHN.EVN.regular.comment.csv",22
"CHN192007130",55,"$started to rain","1920CHN.EVN.regular.comment.csv",23
"CHN192007141",46,"Olson liner went through LF picket fence","1920CHN.EVN.regular.comment.csv",24
"CHN192007142",47,"$Barber lost track of the outs and rolled the ball to the mound, allowing Myers to go to 3rd","1920CHN.EVN.regular.comment.csv",25
"CHN192007142",49,"pbp account ends here, rest deduced","1920CHN.EVN.regular.comment.csv",26
"CHN192007210",24,"Hit and run.","1920CHN.EVN.regular.comment.csv",27
"CHN192007230",32,"$Vaughn missed first on apparent double.","1920CHN.EVN.regular.comment.csv",28
"CHN192008200",45,"Play was suspended for 10 minutes and fans stood hatless","1920CHN.EVN.regular.comment.csv",29
"CHN192008210",48,"Cubs argued Frisch tagged going to 3B","1920CHN.EVN.regular.comment.csv",30
"CHN192008210",49,"Giants argued Frisch safe.  Frisch tossed cap high in air","1920CHN.EVN.regular.comment.csv",31
"CHN192008210",64,"Friberg, having bad day, missed second base on Merkle PA","1920CHN.EVN.regular.comment.csv",32
"CHN192008220",3,"Frisch fouled off 7 pitches","1920CHN.EVN.regular.comment.csv",33
"CHN192008250",57,"O'Neil knocked out.","1920CHN.EVN.regular.comment.csv",34
"CHN192008280",2,"O'Farrell fumbled bunt but Grover alertly made play","1920CHN.EVN.regular.comment.csv",35
"CHN192009050",47,"Toss to second was too late.","1920CHN.EVN.regular.comment.csv",36
"CHN192009270",81,"$Heathcote left second early.","1920CHN.EVN.regular.comment.csv",37
