"PIT199504260",0,"the season started with replacement umpires because the staff arbiters were on strike"FILENAME_TX","LINE_NUMBER_CT"

"PIT199504260",41,"Debut game for Jason Christiansen"1995PIT.EVN.regular.comment.csv",2

"PIT199504260",72,"Debut game for Mark Johnson"1995PIT.EVN.regular.comment.csv",3

"PIT199504260",78,"Debut game for Shane Andrews"1995PIT.EVN.regular.comment.csv",4

"PIT199504270",47,"Debut game for Carlos Perez"1995PIT.EVN.regular.comment.csv",5

"PIT199505060",52,"Debut game for Jeff McCurry"1995PIT.EVN.regular.comment.csv",6

"PIT199505280",69,"ej,leylj801,M,bonig901,Called third strike $Pirates manager Leyland ejected by HP umpire Bonin for arguing called third strike"1995PIT.EVN.regular.comment.csv",7

"PIT199506010",61,"Debut game for Steve Gibralter"1995PIT.EVN.regular.comment.csv",8

"PIT199506210",1,"Debut game for Steve Parris"1995PIT.EVN.regular.comment.csv",9

"PIT199506210",86,"ej,bellj001,P,gormb901,Balls and  strikes Jay Bell ejected by HP umpire Brian Gorman"1995PIT.EVN.regular.comment.csv",10

"PIT199507060",49,"Debut game for Ramon Morel"1995PIT.EVN.regular.comment.csv",11

"PIT199507240",9,"ej,cox-b103,M,kellj901,Balls and strikes $Braves manager Cox ejected by HP umpire Kellogg for arguing balls and strikes while Clark was at bat"1995PIT.EVN.regular.comment.csv",12

"PIT199508020",74,"ej,pegus001,P,davib902,Called third strike Steve Pegues ejected by HP umpire Bob Davidson"1995PIT.EVN.regular.comment.csv",13

"PIT199508030",36,"ej,parem001,P,hohnb901,Balls and strikes Mark Parent ejected by HP umpire Bill Hohn"1995PIT.EVN.regular.comment.csv",14

"PIT199508042",54,"Debut game for Dennis Konuszewski"1995PIT.EVN.regular.comment.csv",15

"PIT199508181",49,"$Quilvio Veras called for interference"1995PIT.EVN.regular.comment.csv",16

"PIT199508190",54,"IPHR"1995PIT.EVN.regular.comment.csv",17

"PIT199508270",46,"$catcher Angelo Encarnacion's pickoff throw to 1B struck Pete Schourek's bat"1995PIT.EVN.regular.comment.csv",18

"PIT199509160",1,"Debut game for Shawn Estes"1995PIT.EVN.regular.comment.csv",19

"PIT199509190",1,"Debut game for Alan Benes"1995PIT.EVN.regular.comment.csv",20

