"HOU196704120",50,"$Rusty Staub pulled a muscle in his right leg as he rounded 3B"FILENAME_TX","LINE_NUMBER_CT"

"HOU196704230",32,"missed squeeze"1967HOU.EVN.regular.comment.csv",2

"HOU196705080",63,"ej,ferra101,P,steim901,Call at 1B Al Ferrara ejected by HP umpire Mel Steiner"1967HOU.EVN.regular.comment.csv",3

"HOU196705180",6,"$the Giants thought the ball was foul"1967HOU.EVN.regular.comment.csv",4

"HOU196705180",10,"ej,browo102,P,craws901,Fair/foul call ej,franh101,M,craws901,Fair/foul call (Bumped umpire) Ollie Brown and Giants Manager Herman Franks ejected by 3B umpire Shag Crawford arguing Jim Wynn's homer in the previous inning"1967HOU.EVN.regular.comment.csv",5

"HOU196705240",59,"$Jim Wynn injured his leg on the play, but remained in the game"1967HOU.EVN.regular.comment.csv",6

"HOU196705310",5,"ej,hattg101,M,burkk101,Catch vs trap $Astros manager Hatton ejected by HP umpire Burkhart for arguing that line drive hit by Jackson had been trapped, not caught"1967HOU.EVN.regular.comment.csv",7

"HOU196705310",46,"Don Cardwell left with injured elbow"1967HOU.EVN.regular.comment.csv",8

"HOU196706030",38,"Debut game for Jose Herrera ej,asprb101,P,secof101,Balls and strikes $Astros Aspromonte ejected by HP umpire Secory for arguing called strike two, Herrera completed strikeout charged to Aspromonte"1967HOU.EVN.regular.comment.csv",9

"HOU196706040",45,"Rick Wise pulled a back muscle"1967HOU.EVN.regular.comment.csv",10

"HOU196706200",55,"$missed squeeze"1967HOU.EVN.regular.comment.csv",11

"HOU196707070",0,"$Wade Blasingame 50 pitches; Curt Simmons 64 pitches"1967HOU.EVN.regular.comment.csv",12

"HOU196707280",9,"$in the dugout during the first inning, Juan Pizarro threw a punch at Manny Sanguillen; Manny Jimenez took a swing at Pizarro before several players stopped the fight; the game was not delayed"1967HOU.EVN.regular.comment.csv",13

"HOU196707301",6,"$lined off Tom Seaver's leg"1967HOU.EVN.regular.comment.csv",14

"HOU196707310",19,"Debut game for Doug Rader"1967HOU.EVN.regular.comment.csv",15

"HOU196708150",77,"Debut game for Tom Dukes"1967HOU.EVN.regular.comment.csv",16

"HOU196708230",47,"ej,hitcb101,M,burkk901,Alleged spitball $Braves manager Hitchcock ejected by 3B umpire Burkhart for arguing that Sherry was throwing a spitball"1967HOU.EVN.regular.comment.csv",17

"HOU196708262",75,"$Bob Aspromonte called out on appeal for not touching 2B"1967HOU.EVN.regular.comment.csv",18

"HOU196709110",0,"$Dave Giusti 31 pitches; Bill Hands 41 pitches"1967HOU.EVN.regular.comment.csv",19

"HOU196709120",0,"$Bruce Van Hoff 120 pitches; Joe Niekro 101 pitches"1967HOU.EVN.regular.comment.csv",20

"HOU196709170",37,"Don Wilson injured his shoulder on throw to 3B"1967HOU.EVN.regular.comment.csv",21

"HOU196709180",14,"Debut game for Bob Robertson"1967HOU.EVN.regular.comment.csv",22

"HOU196709190",1,"Debut game for Bob Moose"1967HOU.EVN.regular.comment.csv",23

