"MIA201803300",32,"$Cooper hit on wrist, left game"FILENAME_TX","LINE_NUMBER_CT"

"MIA201803300",41,"$Marlins challenged call that Dietrich was out at 1st to complete double play; call was overturned - forceout, no DP"2018MIA.EVN.regular.comment.csv",2

"MIA201803300",116,"$Cubs challenged call that Bryant was forced at 2nd; call was upheld - forceout"2018MIA.EVN.regular.comment.csv",3

"MIA201803310",85,"$Marlins challenged call that Russell returned safely to 3rd; call was upheld - safe on fielder's choice"2018MIA.EVN.regular.comment.csv",4

"MIA201803310",87,"$Umpire review to see if Caratini were safe at home; call was upheld - safe at home"2018MIA.EVN.regular.comment.csv",5

"MIA201803310",89,"$originally scored as error, changed to single on 04-01-2018"2018MIA.EVN.regular.comment.csv",6

"MIA201804010",45,"$Astros challenged call that Anderson was out at 3rd; call was upheld - out"2018MIA.EVN.regular.comment.csv",7

"MIA201804030",51,"$Marlins challenged call that Maybin was out stealing; call was overturned - stolen base"2018MIA.EVN.regular.comment.csv",8

"MIA201804030",55,"$Red Sox challenged call that Bradley was out at home; call Was upheld - out on fielder's choice"2018MIA.EVN.regular.comment.csv",9

"MIA201804150",56,"$Marlins challenged call that Marte was safe at home; call was upheld - safe"2018MIA.EVN.regular.comment.csv",10

"MIA201804150",62,"$Advance to 3rd originally scored as wild pitch; in accordance with rule 9.13 comment, there is no WP or PB if an out is is made before runners advance; changed on 04-16-2018"2018MIA.EVN.regular.comment.csv",11

"MIA201804270",19,"$Rockies challenged call that LeMahieu was out at 2nd, call was upheld - out on pickoff"2018MIA.EVN.regular.comment.csv",12

"MIA201804270",25,"$DJ LeMahieu left game with injured leg"2018MIA.EVN.regular.comment.csv",13

"MIA201804280",36,"$Run was originally scored as earned; changed to unearned on 04-30-2018"2018MIA.EVN.regular.comment.csv",14

"MIA201804300",30,"$Phillies challenged call that Maybin was safe at 1st; call was overturned - ground out"2018MIA.EVN.regular.comment.csv",15

"MIA201804300",58,"$Phillies challenged call that Realmuto was safe at 2nd; call was overturned - out on caught stealing"2018MIA.EVN.regular.comment.csv",16

"MIA201805010",42,"$Phillies challenged call that Brinson was safe at 1st on pickoff attempt; call was overturned - out on pickoff"2018MIA.EVN.regular.comment.csv",17

"MIA201805020",17,"$Phillies challenged call that Rojas was safe at first on pickoff attempt; call was overturned - pickoff at first"2018MIA.EVN.regular.comment.csv",18

"MIA201805020",63,"$Phillies challenged call that Shuck was safe at first; call was overturned - ground out"2018MIA.EVN.regular.comment.csv",19

"MIA201805120",29,"$Marlins challenged call that Inciarte was safe at 2nd; call was upheld - stolen base"2018MIA.EVN.regular.comment.csv",20

"MIA201805130",65,"$Marlins chalenged call that Inciarte was safe at 3rd; call was overturned - caught stealing"2018MIA.EVN.regular.comment.csv",21

"MIA201805160",71,"$Dodgers challenged call that Muncy was out at 2nd; call was upheld - force out"2018MIA.EVN.regular.comment.csv",22

"MIA201805250",52,"$Martin Prado left with an injured leg"2018MIA.EVN.regular.comment.csv",23

"MIA201805260",31,"$Marlins challenged call that Rojas was out at first; call was upheld - out at first for double play"2018MIA.EVN.regular.comment.csv",24

"MIA201806080",24,"$Marlins challenged call that Anderson was out at first; call was upheld - out on pickoff"2018MIA.EVN.regular.comment.csv",25

"MIA201806080",70,"$Umpire review of call at 2nd; call was overturned - safe for stolen base"2018MIA.EVN.regular.comment.csv",26

"MIA201806100",6,"$Padres challenged call that Realmuto was hit by pitch; call was upheld - hit by pitch"2018MIA.EVN.regular.comment.csv",27

"MIA201806110",32,"$Umpire review of ball hit by Brinson; call was upheld - triple"2018MIA.EVN.regular.comment.csv",28

"MIA201806110",36,"$Marlins challenged call that Posey was safe at first; call was upheld - single"2018MIA.EVN.regular.comment.csv",29

"MIA201806110",54,"ej,bumgm001,P,rehaj901,Arguing balls and strikes $Bumgarner ejected by plate umpire Jeremie Rehak while leaving field after being removed"2018MIA.EVN.regular.comment.csv",30

"MIA201806120",57,"$Giants challengd call that Anderson was hit by the first pitch; call was overturned - ball"2018MIA.EVN.regular.comment.csv",31

"MIA201806250",21,"$Marlins challenged call that Goldschmidt was safe at 2nd; call was upheld - safe on fielder's choice"2018MIA.EVN.regular.comment.csv",32

"MIA201806280",21,"$Marlins challenged call that Holaday was out to complete double play; call was upheld - double play"2018MIA.EVN.regular.comment.csv",33

