"CHA197704130",52,"$ball blown away from Denny Doyle on the infield fly"FILENAME_TX","LINE_NUMBER_CT"

"CHA197704130",59,"Debut game for Dave Coleman"1977CHA.EVA.regular.comment.csv",2

"CHA197704300",84,"$Jorge Orta hurt on play"1977CHA.EVA.regular.comment.csv",3

"CHA197705180",13,"380' HR"1977CHA.EVA.regular.comment.csv",4

"CHA197705190",7,"390' HR"1977CHA.EVA.regular.comment.csv",5

"CHA197705190",14,"360' HR"1977CHA.EVA.regular.comment.csv",6

"CHA197705220",20,"ej,lemob101,M,fordd901,Fan interference White Sox Manager Bob Lemon ejected by HP umpire Dale Ford arguing the fan interference"1977CHA.EVA.regular.comment.csv",7

"CHA197706030",38,"ej,martb105,M,coont901,Balls and strikes (During pitching change) Yankees Manager Billy Martin ejected by HP umpire Terry Cooney while changing the pitcher"1977CHA.EVA.regular.comment.csv",8

"CHA197706191",0,"Debut for umpire Ted Hendry"1977CHA.EVA.regular.comment.csv",9

"CHA197706191",34,"$Earl Williams out on appeal for leaving 3B too soon"1977CHA.EVA.regular.comment.csv",10

"CHA197706200",43,"$Kevin Bell injured knee in collision at HP; Manny Sanguillen also injured"1977CHA.EVA.regular.comment.csv",11

"CHA197707031",40,"Debut game for Bud Bulling"1977CHA.EVA.regular.comment.csv",12

"CHA197707160",48,"$Richie Zisk flew out to LF, but time had been called by 1B umpire Ted Hendry"1977CHA.EVA.regular.comment.csv",13

"CHA197707260",32,"Debut game for Jack Morris"1977CHA.EVA.regular.comment.csv",14

"CHA197707290",17,"$Chet Lemon was trapped off 2B; Jim Spencer moved off 3B and was run down"1977CHA.EVA.regular.comment.csv",15

"CHA197708010",3,"$Claudell Washington called for interference for running into his own batted ball"1977CHA.EVA.regular.comment.csv",16

"CHA197708020",3,"Debut game for Keith Smith"1977CHA.EVA.regular.comment.csv",17

"CHA197708020",10,"1:45 by rain delay"1977CHA.EVA.regular.comment.csv",18

"CHA197708030",11,"ej,huntb105,M,lucir901,Balls and strikes Rangers manager Billy Hunter ejected by HP umpire Ron Luciano"1977CHA.EVA.regular.comment.csv",19

"CHA197708040",0,"1:02 by rain delay before start of game"1977CHA.EVA.regular.comment.csv",20

"CHA197708220",11,"ej,may-c101,P,garcr901,Called third strike Carlos May ejected by HP umpire Rich Garcia"1977CHA.EVA.regular.comment.csv",21

"CHA197708270",56,"$Jack Brohamer was hurt sometime in the seventh inning"1977CHA.EVA.regular.comment.csv",22

"CHA197709020",68,"Debut game for Mike Dimmel"1977CHA.EVA.regular.comment.csv",23

"CHA197709020",77,"Debut game for John Flannery"1977CHA.EVA.regular.comment.csv",24

"CHA197709130",54,"Debut game for Sam Perlozzo"1977CHA.EVA.regular.comment.csv",25

"CHA197709150",9,"ej,garrr101,P,merrd901,Call at 2B Ralph Garr ejected by 2B umpire Durwood Merrill"1977CHA.EVA.regular.comment.csv",26

"CHA197709160",19,"16 minute rain delay in top third"1977CHA.EVA.regular.comment.csv",27

"CHA197709170",19,"$Andy Etchebarren was hurt on a Jim Essian foul ball"1977CHA.EVA.regular.comment.csv",28

"CHA197710012",44,"6 minute rain delay"1977CHA.EVA.regular.comment.csv",29

