"BAL197504110",25,"$Jim Rice caught in rundown and Bob Montgomery tried to score","FILENAME_TX","LINE_NUMBER_CT"
"BAL197504280",71,"ej,houkr101,M,mckej901,Call at HP Tigers Manager Ralph Houk ejected by HP umpire Jim McKean","1975BAL.EVA.regular.comment.csv",2
"BAL197505112",1,"Debut game for Mike Pazik","1975BAL.EVA.regular.comment.csv",3
"BAL197505112",57,"Debut game for Tom Kelly","1975BAL.EVA.regular.comment.csv",4
"BAL197505170",45,"ej,willd104,M,lucir901,Fair/foul call (Reversed) $Tommy Harper's long drive by the LF pole was ruled fair by 3B umpire Ron Luciano; Mark Belander and Orioles manager Earl Weaver argued with Luciano, who huddled with the other umpires; the call was reversed and Angels manager Dick Williams ran onto the field to argue; williams ejected by Luciano, who later admitted he never saw the ball","1975BAL.EVA.regular.comment.csv",5
"BAL197505180",10,"$Leroy Stanton called for interference and Dave Chalk ruled out","1975BAL.EVA.regular.comment.csv",6
"BAL197505180",45,"$Dave Chalk called out for being out of the batter's box","1975BAL.EVA.regular.comment.csv",7
"BAL197506060",47,"42 minute rain delay","1975BAL.EVA.regular.comment.csv",8
"BAL197506090",65,"ej,weave801,M,bremn901,Fair/foul call $3B umpire Nick Bremigan delayed in calling Bert Campaneris' fly ball fair and a home run; Orioles Manager Earl Weaver argued the call and was ejected by Bremigan; Weaver left his cap on the field","1975BAL.EVA.regular.comment.csv",9
"BAL197506090",108,"Debut game for Dyar Miller","1975BAL.EVA.regular.comment.csv",10
"BAL197506222",40,"ej,burlr001,P,brinj901,Call at 2B Rick Burleson ejected by 2B umpire Joe Brinkman","1975BAL.EVA.regular.comment.csv",11
"BAL197506222",51,"Debut game for Royle Stillman","1975BAL.EVA.regular.comment.csv",12
"BAL197506240",41,"$Mike Torrez, who had hit Thurman Munson in the second, decked Munson with a pitch high and insde","1975BAL.EVA.regular.comment.csv",13
"BAL197506240",58,"Thurman Munson charged pitcher Mike Torrez after grounding out; Brooks Robinson threw a body block at Munson to keep the latter away from the pitcher; both benches cleared","1975BAL.EVA.regular.comment.csv",14
"BAL197506250",21,"Roy White pulled his right hamstring","1975BAL.EVA.regular.comment.csv",15
"BAL197506260",41,"missing play in BAL197506260","1975BAL.EVA.regular.comment.csv",16
"BAL197506260",46,"missing play in BAL197506260","1975BAL.EVA.regular.comment.csv",17
"BAL197506280",36,"ej,weave801,M,lucir901,Balls and strikes Orioles Manager Earl Weaver ejected by HP umpire Ron Luciano sometime in fourth inning","1975BAL.EVA.regular.comment.csv",18
"BAL197506280",55,"Debut game for Fernando Arroyo","1975BAL.EVA.regular.comment.csv",19
"BAL197506290",7,"ej,gricb001,P,garcr901,Call at 2B Bobby Grich ejected by 2B umpire Rich Garcia","1975BAL.EVA.regular.comment.csv",20
"BAL197507200",61,"56 minute rain delay","1975BAL.EVA.regular.comment.csv",21
"BAL197508120",64,"$George Brett called for interference when bunted ball hit his bat on the ground","1975BAL.EVA.regular.comment.csv",22
"BAL197508130",10,"2:08 rain delay","1975BAL.EVA.regular.comment.csv",23
"BAL197508130",57,"42 minute rain delay","1975BAL.EVA.regular.comment.csv",24
"BAL197508130",58,"Debut game for Bob McClure","1975BAL.EVA.regular.comment.csv",25
"BAL197508151",4,"ej,luccf801,M,rodra901,Call at 2B Rangers Manager Frank Lucchesi ejected by 2B umpire Armando Rodriguez","1975BAL.EVA.regular.comment.csv",26
"BAL197508151",39,"ej,weave801,M,lucir901,Call at 1B Orioles Manager Earl Weaver ejected by 1B umpire Ron Luciano","1975BAL.EVA.regular.comment.csv",27
"BAL197508152",0,"ej,weave801,M,lucir901,During exchange of lineups Orioles Manager Earl Weaver ejected by HP umpire Ron Luciano during the pregame meeting at home plate","1975BAL.EVA.regular.comment.csv",28
"BAL197509040",5,"$Lee May saw Carl Yastrzemski (already out) running toward HP","1975BAL.EVA.regular.comment.csv",29
"BAL197509051",29,"Debut game for Mike Flanagan","1975BAL.EVA.regular.comment.csv",30
"BAL197509052",15,"previous two plays one play $Chris Chambliss dropped Larry Gura's pick off throw to 1B; Don Baylor scored and Bobby Grich ruled cuaght stealing; Grich then thrown out trying for 3B","1975BAL.EVA.regular.comment.csv",31
"BAL197509052",36,"38 minute rain delay","1975BAL.EVA.regular.comment.csv",32
"BAL197509060",0,"Protest=H","1975BAL.EVA.regular.comment.csv",33
"BAL197509060",83,"ej,munst101,P,malog901,Balls and strikes (Threw mask) ej,martb105,M,malog901,Second visit to mound ej,weave801,M,malog901,Second visit to mound by opposing manager Thurman Munson ejected by HP umpire George Maloney for throwing his mask while arguing balls and strikes; while Rick Dempsey was getting ready to replace Munson, Yankees Manager Billy Martin made a second trip to the mound during the same batter's plate appearance; Orioles manager Earl Weaver protested the game when the umpires did not eject Martin; Martin was then ejected by Maloney and when Weaver continued his tirade, he was also ejected by Maloney; Tippy Martinez finished the Tommy Davis' at bat and then was removed","1975BAL.EVA.regular.comment.csv",34
"BAL197509060",115,"Debut game for Bob Bailor","1975BAL.EVA.regular.comment.csv",35
"BAL197509200",71,"Debut game for Larry Harlow","1975BAL.EVA.regular.comment.csv",36
