"KCA201903280",25,"$Royals challenged call Mondesi was safe at third; call was upheld - triple","FILENAME_TX","LINE_NUMBER_CT"
"KCA201903280",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",2
"KCA201903280",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",3
"KCA201903280",43,"Injury Delay Mound Visit","2019KCA.EVA.regular.comment.csv",4
"KCA201903280",45,"Mound Visit","2019KCA.EVA.regular.comment.csv",5
"KCA201903280",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",6
"KCA201903280",59,"$Royals challenged call that Anderson was safe at first; call was overturned - ground out","2019KCA.EVA.regular.comment.csv",7
"KCA201903280",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",8
"KCA201903280",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",9
"KCA201903280",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",10
"KCA201903280",72,"Mound Visit","2019KCA.EVA.regular.comment.csv",11
"KCA201903300",24,"Mound Visit","2019KCA.EVA.regular.comment.csv",12
"KCA201903300",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",13
"KCA201903300",49,"Mound Visit","2019KCA.EVA.regular.comment.csv",14
"KCA201903300",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",15
"KCA201903300",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",16
"KCA201903300",64,"Mound Visit","2019KCA.EVA.regular.comment.csv",17
"KCA201903310",23,"Mound Visit","2019KCA.EVA.regular.comment.csv",18
"KCA201903310",36,"Mound Visit","2019KCA.EVA.regular.comment.csv",19
"KCA201903310",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",20
"KCA201903310",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",21
"KCA201903310",49,"Mound Visit","2019KCA.EVA.regular.comment.csv",22
"KCA201903310",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",23
"KCA201903310",56,"Mound Visit","2019KCA.EVA.regular.comment.csv",24
"KCA201903310",65,"Mound Visit","2019KCA.EVA.regular.comment.csv",25
"KCA201903310",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",26
"KCA201903310",72,"$Royals challenged call that Jimenez was safe at 1st; call was overturned - ground out","2019KCA.EVA.regular.comment.csv",27
"KCA201904020",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",28
"KCA201904020",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",29
"KCA201904020",74,"$Royals challenged calle that Rosario was safe at 2nd; call was upheld - safe on wild pitch","2019KCA.EVA.regular.comment.csv",30
"KCA201904020",81,"Mound Visit","2019KCA.EVA.regular.comment.csv",31
"KCA201904020",86,"On-field Delay","2019KCA.EVA.regular.comment.csv",32
"KCA201904030",32,"Mound Visit","2019KCA.EVA.regular.comment.csv",33
"KCA201904030",42,"Mound Visit","2019KCA.EVA.regular.comment.csv",34
"KCA201904030",46,"Mound Visit","2019KCA.EVA.regular.comment.csv",35
"KCA201904030",47,"Mound Visit","2019KCA.EVA.regular.comment.csv",36
"KCA201904030",53,"Mound Visit","2019KCA.EVA.regular.comment.csv",37
"KCA201904030",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",38
"KCA201904030",61,"Mound Visit","2019KCA.EVA.regular.comment.csv",39
"KCA201904030",69,"Mound Visit","2019KCA.EVA.regular.comment.csv",40
"KCA201904030",78,"Mound Visit","2019KCA.EVA.regular.comment.csv",41
"KCA201904030",83,"Mound Visit","2019KCA.EVA.regular.comment.csv",42
"KCA201904080",9,"Injury Delay","2019KCA.EVA.regular.comment.csv",43
"KCA201904080",49,"Mound Visit","2019KCA.EVA.regular.comment.csv",44
"KCA201904080",50,"Mound Visit","2019KCA.EVA.regular.comment.csv",45
"KCA201904080",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",46
"KCA201904080",53,"Mound Visit","2019KCA.EVA.regular.comment.csv",47
"KCA201904080",58,"Mound Visit","2019KCA.EVA.regular.comment.csv",48
"KCA201904080",74,"Mound Visit","2019KCA.EVA.regular.comment.csv",49
"KCA201904090",58,"$Royals challenged call that Encarnacion was safe at home; call was upheld - sacrifice fly","2019KCA.EVA.regular.comment.csv",50
"KCA201904090",60,"Mound Visit","2019KCA.EVA.regular.comment.csv",51
"KCA201904090",62,"Mound Visit","2019KCA.EVA.regular.comment.csv",52
"KCA201904090",64,"Mound Visit","2019KCA.EVA.regular.comment.csv",53
"KCA201904100",14,"Mound Visit","2019KCA.EVA.regular.comment.csv",54
"KCA201904100",24,"Mound Visit","2019KCA.EVA.regular.comment.csv",55
"KCA201904100",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",56
"KCA201904100",39,"$Bruce left with injured ankle","2019KCA.EVA.regular.comment.csv",57
"KCA201904100",57,"Mound Visit","2019KCA.EVA.regular.comment.csv",58
"KCA201904100",65,"Mound Visit","2019KCA.EVA.regular.comment.csv",59
"KCA201904100",72,"Mound Visit","2019KCA.EVA.regular.comment.csv",60
